game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,mode,pair,family,condition
0,expectimax,mcts,B,15,29,11.6831212,3.8659211,25,25,search_board_default_25,expectimax_mcts,Board,Default 5×5
1,expectimax,mcts,A,31,21,11.4622632,4.3555366,25,25,search_board_default_25,expectimax_mcts,Board,Default 5×5
2,expectimax,mcts,A,26,23,10.0594594,3.9335483,25,25,search_board_default_25,expectimax_mcts,Board,Default 5×5
0,expectimax,rule,B,25,28,13.2873025,0.1155202,25,25,search_board_default_25,expectimax_rule,Board,Default 5×5
1,expectimax,rule,A,30,23,14.0466874,0.1182478,25,25,search_board_default_25,expectimax_rule,Board,Default 5×5
2,expectimax,rule,A,32,23,10.7542251,0.0808384,25,25,search_board_default_25,expectimax_rule,Board,Default 5×5
0,mcts,expectimax,A,31,24,4.5375048,15.4436952,25,25,search_board_default_25,mcts_expectimax,Board,Default 5×5
1,mcts,expectimax,A,34,21,4.4661906,12.5060113,25,25,search_board_default_25,mcts_expectimax,Board,Default 5×5
2,mcts,expectimax,A,26,24,4.3581402,12.1151764,25,25,search_board_default_25,mcts_expectimax,Board,Default 5×5
0,mcts,rule,A,33,23,4.2923087,0.0774666,25,25,search_board_default_25,mcts_rule,Board,Default 5×5
1,mcts,rule,B,21,33,4.1213468,0.0841783,25,25,search_board_default_25,mcts_rule,Board,Default 5×5
2,mcts,rule,B,26,31,3.9504627,0.0940148,25,25,search_board_default_25,mcts_rule,Board,Default 5×5
0,rule,expectimax,B,21,33,0.0747811,12.5495097,25,25,search_board_default_25,rule_expectimax,Board,Default 5×5
1,rule,expectimax,A,33,25,0.0779824,14.2827907,25,25,search_board_default_25,rule_expectimax,Board,Default 5×5
2,rule,expectimax,A,33,19,0.178604,14.046995,25,25,search_board_default_25,rule_expectimax,Board,Default 5×5
0,rule,mcts,B,23,35,0.0932788,4.0858253,25,25,search_board_default_25,rule_mcts,Board,Default 5×5
1,rule,mcts,A,32,26,0.0690938,4.0868045,25,25,search_board_default_25,rule_mcts,Board,Default 5×5
2,rule,mcts,A,27,20,0.1092052,4.2100681,25,25,search_board_default_25,rule_mcts,Board,Default 5×5
0,expectimax,mcts,B,0,2,1.8480014,0.2387485,4,4,search_board_dual_arena_25,expectimax_mcts,Board,Dual arena 5×7
1,expectimax,mcts,A,80,36,12.6092162,3.7350114,25,25,search_board_dual_arena_25,expectimax_mcts,Board,Dual arena 5×7
2,expectimax,mcts,A,67,37,11.0944799,4.0605331,25,25,search_board_dual_arena_25,expectimax_mcts,Board,Dual arena 5×7
0,expectimax,rule,B,0,4,2.2915473,0.0168553,4,4,search_board_dual_arena_25,expectimax_rule,Board,Dual arena 5×7
1,expectimax,rule,A,75,41,12.8420401,0.1616258,25,25,search_board_dual_arena_25,expectimax_rule,Board,Dual arena 5×7
2,expectimax,rule,B,44,61,12.1775014,0.2155589,25,25,search_board_dual_arena_25,expectimax_rule,Board,Dual arena 5×7
0,mcts,expectimax,A,70,39,4.0857974,14.3099038,25,25,search_board_dual_arena_25,mcts_expectimax,Board,Dual arena 5×7
1,mcts,expectimax,A,58,37,3.8739538,11.6882719,25,25,search_board_dual_arena_25,mcts_expectimax,Board,Dual arena 5×7
2,mcts,expectimax,A,65,42,3.5963881,10.1105577,25,25,search_board_dual_arena_25,mcts_expectimax,Board,Dual arena 5×7
0,mcts,rule,A,73,37,4.0600315,0.1487341,25,25,search_board_dual_arena_25,mcts_rule,Board,Dual arena 5×7
1,mcts,rule,A,69,41,4.5713084,0.1246751,25,25,search_board_dual_arena_25,mcts_rule,Board,Dual arena 5×7
2,mcts,rule,A,71,49,4.5316416,0.1205543,25,25,search_board_dual_arena_25,mcts_rule,Board,Dual arena 5×7
0,rule,expectimax,A,6,0,0.0152085,1.9249986,4,4,search_board_dual_arena_25,rule_expectimax,Board,Dual arena 5×7
1,rule,expectimax,A,58,54,0.1941616,15.2419463,25,25,search_board_dual_arena_25,rule_expectimax,Board,Dual arena 5×7
2,rule,expectimax,draw,59,59,0.1332967,12.8712815,25,25,search_board_dual_arena_25,rule_expectimax,Board,Dual arena 5×7
0,rule,mcts,A,68,54,0.3274929,4.200019,25,25,search_board_dual_arena_25,rule_mcts,Board,Dual arena 5×7
1,rule,mcts,B,37,61,0.1097458,4.1854046,25,25,search_board_dual_arena_25,rule_mcts,Board,Dual arena 5×7
2,rule,mcts,A,71,45,0.1823766,3.7774799,25,25,search_board_dual_arena_25,rule_mcts,Board,Dual arena 5×7
0,expectimax,mcts,B,0,2,2.2622182,0.2398489,4,4,search_board_open_7x7_25,expectimax_mcts,Board,Open 7×7
1,expectimax,mcts,draw,0,0,0.1431062,0.0161273,1,1,search_board_open_7x7_25,expectimax_mcts,Board,Open 7×7
2,expectimax,mcts,B,25,48,12.2981443,3.346247,25,25,search_board_open_7x7_25,expectimax_mcts,Board,Open 7×7
0,expectimax,rule,B,40,44,12.5676911,0.1673327,25,25,search_board_open_7x7_25,expectimax_rule,Board,Open 7×7
1,expectimax,rule,A,3,0,0.3925678,0.0030726,3,2,search_board_open_7x7_25,expectimax_rule,Board,Open 7×7
2,expectimax,rule,A,55,32,13.8337642,0.1706433,25,25,search_board_open_7x7_25,expectimax_rule,Board,Open 7×7
0,mcts,expectimax,A,4,3,0.3894365,2.5192189,5,4,search_board_open_7x7_25,mcts_expectimax,Board,Open 7×7
1,mcts,expectimax,draw,0,0,0.0253413,0.1426735,1,1,search_board_open_7x7_25,mcts_expectimax,Board,Open 7×7
2,mcts,expectimax,draw,0,0,0.2573402,1.089289,5,4,search_board_open_7x7_25,mcts_expectimax,Board,Open 7×7
0,mcts,rule,B,37,59,3.8279967,0.3366431,25,25,search_board_open_7x7_25,mcts_rule,Board,Open 7×7
1,mcts,rule,A,3,0,0.0503151,0.0031329,3,2,search_board_open_7x7_25,mcts_rule,Board,Open 7×7
2,mcts,rule,A,4,2,0.4062545,0.0130752,5,4,search_board_open_7x7_25,mcts_rule,Board,Open 7×7
0,rule,expectimax,B,4,6,0.0255589,3.0044988,6,6,search_board_open_7x7_25,rule_expectimax,Board,Open 7×7
1,rule,expectimax,A,49,39,0.2281005,13.9421249,25,25,search_board_open_7x7_25,rule_expectimax,Board,Open 7×7
2,rule,expectimax,B,40,46,0.2109264,13.1153776,25,25,search_board_open_7x7_25,rule_expectimax,Board,Open 7×7
0,rule,mcts,B,42,46,0.2084799,4.1042037,25,25,search_board_open_7x7_25,rule_mcts,Board,Open 7×7
1,rule,mcts,draw,0,0,0.0025575,0.0171287,1,1,search_board_open_7x7_25,rule_mcts,Board,Open 7×7
2,rule,mcts,B,21,33,0.0529667,1.7485688,18,17,search_board_open_7x7_25,rule_mcts,Board,Open 7×7
0,expectimax,mcts,draw,0,0,2.2877396,0.2621098,4,4,search_board_bottleneck_7x7_25,expectimax_mcts,Board,Bottleneck 7×7
1,expectimax,mcts,draw,0,0,0.1388972,0.0153179,1,1,search_board_bottleneck_7x7_25,expectimax_mcts,Board,Bottleneck 7×7
2,expectimax,mcts,A,75,35,10.5578073,3.396327999,25,25,search_board_bottleneck_7x7_25,expectimax_mcts,Board,Bottleneck 7×7
0,expectimax,rule,A,61,46,12.5487581,0.1911849,25,25,search_board_bottleneck_7x7_25,expectimax_rule,Board,Bottleneck 7×7
1,expectimax,rule,A,3,0,0.3888342,0.0037065,3,2,search_board_bottleneck_7x7_25,expectimax_rule,Board,Bottleneck 7×7
2,expectimax,rule,A,15,5,2.4417593,0.0338219,7,7,search_board_bottleneck_7x7_25,expectimax_rule,Board,Bottleneck 7×7
0,mcts,expectimax,draw,3,3,0.4067165,2.2365867,5,4,search_board_bottleneck_7x7_25,mcts_expectimax,Board,Bottleneck 7×7
1,mcts,expectimax,draw,0,0,0.024035,0.1421984,1,1,search_board_bottleneck_7x7_25,mcts_expectimax,Board,Bottleneck 7×7
2,mcts,expectimax,draw,0,0,0.2273767,1.0356324,4,4,search_board_bottleneck_7x7_25,mcts_expectimax,Board,Bottleneck 7×7
0,mcts,rule,A,64,48,3.4619837,0.1564335,25,25,search_board_bottleneck_7x7_25,mcts_rule,Board,Bottleneck 7×7
1,mcts,rule,A,3,0,0.0476271,0.0037339,3,2,search_board_bottleneck_7x7_25,mcts_rule,Board,Bottleneck 7×7
2,mcts,rule,B,3,6,0.3037593,0.0080297,5,4,search_board_bottleneck_7x7_25,mcts_rule,Board,Bottleneck 7×7
0,rule,expectimax,draw,6,6,0.0239764,2.9012238,6,6,search_board_bottleneck_7x7_25,rule_expectimax,Board,Bottleneck 7×7
1,rule,expectimax,A,66,52,0.1876287,11.1533868,25,25,search_board_bottleneck_7x7_25,rule_expectimax,Board,Bottleneck 7×7
2,rule,expectimax,draw,3,3,0.0179212,1.8009586,5,4,search_board_bottleneck_7x7_25,rule_expectimax,Board,Bottleneck 7×7
0,rule,mcts,A,9,0,0.0201114,0.2341527,4,4,search_board_bottleneck_7x7_25,rule_mcts,Board,Bottleneck 7×7
1,rule,mcts,draw,0,0,0.0025913,0.023976,1,1,search_board_bottleneck_7x7_25,rule_mcts,Board,Bottleneck 7×7
2,rule,mcts,B,4,19,0.0312453,0.776968,7,7,search_board_bottleneck_7x7_25,rule_mcts,Board,Bottleneck 7×7
0,expectimax,mcts,B,1,6,1.5792057,0.314152,6,6,search_pieces_2_25,expectimax_mcts,Pieces,2 pieces
1,expectimax,mcts,draw,4,4,1.1128569,0.5601928,8,8,search_pieces_2_25,expectimax_mcts,Pieces,2 pieces
2,expectimax,mcts,draw,1,1,1.0825919,0.2950715,5,4,search_pieces_2_25,expectimax_mcts,Pieces,2 pieces
0,expectimax,rule,B,26,30,7.1914483,0.047324,25,25,search_pieces_2_25,expectimax_rule,Pieces,2 pieces
1,expectimax,rule,B,22,31,6.922126,0.0424873,25,25,search_pieces_2_25,expectimax_rule,Pieces,2 pieces
2,expectimax,rule,A,28,21,6.3312454,0.0361079,25,25,search_pieces_2_25,expectimax_rule,Pieces,2 pieces
0,mcts,expectimax,draw,5,5,0.4779268,1.5422052,8,7,search_pieces_2_25,mcts_expectimax,Pieces,2 pieces
1,mcts,expectimax,B,17,34,2.6617441,5.9526195,25,25,search_pieces_2_25,mcts_expectimax,Pieces,2 pieces
2,mcts,expectimax,A,22,17,2.3988453,4.7863141,25,24,search_pieces_2_25,mcts_expectimax,Pieces,2 pieces
0,mcts,rule,A,25,23,2.5131122,0.0422022,25,25,search_pieces_2_25,mcts_rule,Pieces,2 pieces
1,mcts,rule,A,33,16,2.8573921,0.0380789,25,25,search_pieces_2_25,mcts_rule,Pieces,2 pieces
2,mcts,rule,B,18,32,2.6354798,0.0365209,25,25,search_pieces_2_25,mcts_rule,Pieces,2 pieces
0,rule,expectimax,draw,25,25,0.0513158,6.357271,25,25,search_pieces_2_25,rule_expectimax,Pieces,2 pieces
1,rule,expectimax,A,30,17,0.0393796,7.259315,25,25,search_pieces_2_25,rule_expectimax,Pieces,2 pieces
2,rule,expectimax,A,29,21,0.038757,6.7766911,25,25,search_pieces_2_25,rule_expectimax,Pieces,2 pieces
0,rule,mcts,B,26,28,0.052165599,2.9608925,25,25,search_pieces_2_25,rule_mcts,Pieces,2 pieces
1,rule,mcts,B,18,30,0.0321034,2.9876016,25,25,search_pieces_2_25,rule_mcts,Pieces,2 pieces
2,rule,mcts,A,27,23,0.0459047,2.6850536,25,25,search_pieces_2_25,rule_mcts,Pieces,2 pieces
0,expectimax,mcts,draw,0,0,2.4455065,0.4607564,4,4,search_pieces_4_25,expectimax_mcts,Pieces,4 pieces
1,expectimax,mcts,A,22,21,12.0481811,4.646571699,25,25,search_pieces_4_25,expectimax_mcts,Pieces,4 pieces
2,expectimax,mcts,B,14,33,13.080226,4.7238354,25,25,search_pieces_4_25,expectimax_mcts,Pieces,4 pieces
0,expectimax,rule,B,12,30,14.2673139,0.1801166,25,25,search_pieces_4_25,expectimax_rule,Pieces,4 pieces
1,expectimax,rule,B,16,35,19.3083932,0.2339446,25,25,search_pieces_4_25,expectimax_rule,Pieces,4 pieces
2,expectimax,rule,B,19,30,12.9838995,0.0993889,25,25,search_pieces_4_25,expectimax_rule,Pieces,4 pieces
0,mcts,expectimax,A,29,23,5.0084005,16.8330742,25,25,search_pieces_4_25,mcts_expectimax,Pieces,4 pieces
1,mcts,expectimax,A,33,19,4.7542783,15.092026,25,25,search_pieces_4_25,mcts_expectimax,Pieces,4 pieces
2,mcts,expectimax,A,29,20,4.7479716,16.4056406,25,25,search_pieces_4_25,mcts_expectimax,Pieces,4 pieces
0,mcts,rule,B,11,41,4.3951479,0.141894,25,25,search_pieces_4_25,mcts_rule,Pieces,4 pieces
1,mcts,rule,B,17,41,4.9861326,0.188265,25,25,search_pieces_4_25,mcts_rule,Pieces,4 pieces
2,mcts,rule,A,29,22,4.8561581,0.0790984,25,25,search_pieces_4_25,mcts_rule,Pieces,4 pieces
0,rule,expectimax,A,29,19,0.260411,15.5606731,25,25,search_pieces_4_25,rule_expectimax,Pieces,4 pieces
1,rule,expectimax,A,39,13,0.2192835,16.1305925,25,25,search_pieces_4_25,rule_expectimax,Pieces,4 pieces
2,rule,expectimax,A,40,12,0.2165186,16.2947607,25,25,search_pieces_4_25,rule_expectimax,Pieces,4 pieces
0,rule,mcts,A,32,16,0.2214391,4.7862109,24,25,search_pieces_4_25,rule_mcts,Pieces,4 pieces
1,rule,mcts,A,29,26,0.094932,5.1006747,25,25,search_pieces_4_25,rule_mcts,Pieces,4 pieces
2,rule,mcts,A,30,23,0.1674139,4.6885216,25,25,search_pieces_4_25,rule_mcts,Pieces,4 pieces
0,expectimax,mcts,B,12,25,13.2204417,4.6530342,25,25,search_deck_movement_25,expectimax_mcts,Deck,Movement-heavy
1,expectimax,mcts,B,6,27,12.4912575,4.7324902,25,25,search_deck_movement_25,expectimax_mcts,Deck,Movement-heavy
2,expectimax,mcts,B,15,22,12.1130889,4.6735727,25,25,search_deck_movement_25,expectimax_mcts,Deck,Movement-heavy
0,expectimax,rule,B,6,31,12.9837517,0.179225,25,25,search_deck_movement_25,expectimax_rule,Deck,Movement-heavy
1,expectimax,rule,B,16,21,13.2043466,0.1599312,25,25,search_deck_movement_25,expectimax_rule,Deck,Movement-heavy
2,expectimax,rule,B,10,28,14.2323899,0.1632615,25,25,search_deck_movement_25,expectimax_rule,Deck,Movement-heavy
0,mcts,expectimax,A,25,14,4.9454284,13.6663785,25,25,search_deck_movement_25,mcts_expectimax,Deck,Movement-heavy
1,mcts,expectimax,A,30,8,5.1308974,14.3077043,25,25,search_deck_movement_25,mcts_expectimax,Deck,Movement-heavy
2,mcts,expectimax,A,25,11,5.2231497,15.5141308,25,25,search_deck_movement_25,mcts_expectimax,Deck,Movement-heavy
0,mcts,rule,B,17,22,4.9004267,0.1404711,25,25,search_deck_movement_25,mcts_rule,Deck,Movement-heavy
1,mcts,rule,B,7,31,4.9843895,0.2058265,25,25,search_deck_movement_25,mcts_rule,Deck,Movement-heavy
2,mcts,rule,B,16,21,4.9150216,0.1563401,25,25,search_deck_movement_25,mcts_rule,Deck,Movement-heavy
0,rule,expectimax,A,27,11,0.1958904,15.3486767,25,25,search_deck_movement_25,rule_expectimax,Deck,Movement-heavy
1,rule,expectimax,A,26,13,0.1604684,14.5751569,25,25,search_deck_movement_25,rule_expectimax,Deck,Movement-heavy
2,rule,expectimax,A,33,3,0.2018077,13.9294793,25,25,search_deck_movement_25,rule_expectimax,Deck,Movement-heavy
0,rule,mcts,A,21,18,0.1602106,4.9004291,25,25,search_deck_movement_25,rule_mcts,Deck,Movement-heavy
1,rule,mcts,B,11,28,0.1030551,5.0292035,25,25,search_deck_movement_25,rule_mcts,Deck,Movement-heavy
2,rule,mcts,A,24,14,0.1364808,4.8254519,25,25,search_deck_movement_25,rule_mcts,Deck,Movement-heavy
0,expectimax,mcts,draw,0,0,0.7575589,0.0721879,3,2,search_deck_capture_25,expectimax_mcts,Deck,Capture-heavy
1,expectimax,mcts,B,6,8,2.1172919,0.6933446,7,6,search_deck_capture_25,expectimax_mcts,Deck,Capture-heavy
2,expectimax,mcts,draw,0,0,0.1280435,0.0,1,0,search_deck_capture_25,expectimax_mcts,Deck,Capture-heavy
0,expectimax,rule,A,39,36,11.2610257,0.0547913,25,23,search_deck_capture_25,expectimax_rule,Deck,Capture-heavy
1,expectimax,rule,B,33,54,10.307363301,0.093635,25,25,search_deck_capture_25,expectimax_rule,Deck,Capture-heavy
2,expectimax,rule,draw,0,0,0.111392,0.0,1,0,search_deck_capture_25,expectimax_rule,Deck,Capture-heavy
0,mcts,expectimax,draw,0,0,0.1275054,0.4527926,3,2,search_deck_capture_25,mcts_expectimax,Deck,Capture-heavy
1,mcts,expectimax,B,25,55,3.0772742,10.3111176,25,25,search_deck_capture_25,mcts_expectimax,Deck,Capture-heavy
2,mcts,expectimax,draw,0,0,0.0146572,0.0,1,0,search_deck_capture_25,mcts_expectimax,Deck,Capture-heavy
0,mcts,rule,A,6,4,0.1829022,0.0018666,5,3,search_deck_capture_25,mcts_rule,Deck,Capture-heavy
