game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b,mode,pair
0,expectimax_d2,expectimax_d3,A,29,18,5.6295729,44.0537745,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
1,expectimax_d2,expectimax_d3,A,30,22,5.9634804,50.3289413,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
2,expectimax_d2,expectimax_d3,A,33,16,4.5839235,38.3380427,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,greedy,B,21,27,5.6741784,0.4949253,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_greedy
1,expectimax_d2,greedy,A,27,16,4.7098125,0.3840332,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_greedy
2,expectimax_d2,greedy,B,21,27,6.1931618,0.4823872,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_greedy
0,expectimax_d2,mcts,B,13,36,5.2245215,6.7610214,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_mcts
1,expectimax_d2,mcts,A,35,16,4.6012785,6.4262643,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_mcts
2,expectimax_d2,mcts,B,12,38,4.5632798,6.6437136,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_mcts
0,expectimax_d2,random,A,41,4,3.8980945,0.0001105,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_random
1,expectimax_d2,random,A,48,5,4.1183849,9.84e-05,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_random
2,expectimax_d2,random,A,33,9,4.776554,0.0001,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_random
0,expectimax_d2,rule,B,15,39,5.7601449,0.206079,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_rule
1,expectimax_d2,rule,draw,26,26,5.4290863,0.224843,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_rule
2,expectimax_d2,rule,B,19,35,4.0403289,0.1540747,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,B,23,25,57.2976556,6.0829966,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
1,expectimax_d3,expectimax_d2,A,33,19,42.8000721,5.051353899,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
2,expectimax_d3,expectimax_d2,A,38,14,39.343269,4.6263863,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,greedy,A,31,21,37.8755278,0.3489297,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_greedy
1,expectimax_d3,greedy,A,30,17,36.2714335,0.3419086,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_greedy
2,expectimax_d3,greedy,B,22,23,43.3660245,0.4625152,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_greedy
0,expectimax_d3,mcts,B,14,37,38.0327698,6.5151375,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_mcts
1,expectimax_d3,mcts,A,34,18,44.2419212,6.1285215,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_mcts
2,expectimax_d3,mcts,A,28,23,35.4094045,5.9075679,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_mcts
0,expectimax_d3,random,A,46,2,35.8991416,9.52e-05,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_random
1,expectimax_d3,random,A,50,0,41.2391317,0.0001166,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_random
2,expectimax_d3,random,A,41,2,37.4348652,8.91e-05,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_random
0,expectimax_d3,rule,B,22,30,40.2046801,0.153111701,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_rule
1,expectimax_d3,rule,A,31,24,33.363069299,0.2000242,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_rule
2,expectimax_d3,rule,B,27,29,38.5425641,0.1651353,25,25,25,25,reduced_board_default_fixed_r2,expectimax_d3_rule
0,greedy,expectimax_d2,B,12,33,0.3682346,3.8465278,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d2
1,greedy,expectimax_d2,B,24,26,0.4437194,5.0630758,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d2
2,greedy,expectimax_d2,B,15,36,0.3629414,3.9277362,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d2
0,greedy,expectimax_d3,B,18,30,0.5177629,39.0153365,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d3
1,greedy,expectimax_d3,A,32,20,0.3896731,45.9970242,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d3
2,greedy,expectimax_d3,B,16,36,0.4642877,50.0811368,25,25,25,25,reduced_board_default_fixed_r2,greedy_expectimax_d3
0,greedy,mcts,B,15,35,0.3363301,7.1650743,25,25,25,25,reduced_board_default_fixed_r2,greedy_mcts
1,greedy,mcts,A,31,16,0.3807503,6.1469899,25,25,25,25,reduced_board_default_fixed_r2,greedy_mcts
2,greedy,mcts,B,20,29,0.4188456,7.3444416,25,25,25,25,reduced_board_default_fixed_r2,greedy_mcts
0,greedy,random,A,39,4,0.3685516,0.0001084,25,25,25,25,reduced_board_default_fixed_r2,greedy_random
1,greedy,random,A,52,3,0.2925395,0.0001082,25,25,25,25,reduced_board_default_fixed_r2,greedy_random
2,greedy,random,A,36,5,0.5859235,0.0001063,25,25,25,25,reduced_board_default_fixed_r2,greedy_random
0,greedy,rule,B,21,34,0.4740302,0.1750842,25,25,25,25,reduced_board_default_fixed_r2,greedy_rule
1,greedy,rule,B,24,28,0.2529861,0.1611722,25,25,25,25,reduced_board_default_fixed_r2,greedy_rule
2,greedy,rule,B,18,34,0.3363617,0.160056001,25,25,25,25,reduced_board_default_fixed_r2,greedy_rule
0,mcts,expectimax_d2,A,28,22,6.5674295,4.6197788,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d2
1,mcts,expectimax_d2,A,48,3,6.671842301,5.2253378,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d2
2,mcts,expectimax_d2,A,31,16,6.6515556,4.8904633,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d2
0,mcts,expectimax_d3,B,24,27,6.4958935,35.2671521,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d3
1,mcts,expectimax_d3,A,36,15,6.4104976,34.6920613,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d3
2,mcts,expectimax_d3,A,26,21,6.0795629,33.1923398,25,25,25,25,reduced_board_default_fixed_r2,mcts_expectimax_d3
0,mcts,greedy,A,35,16,6.242299,0.367396,25,25,25,25,reduced_board_default_fixed_r2,mcts_greedy
1,mcts,greedy,A,45,6,6.5853609,0.2386617,25,25,25,25,reduced_board_default_fixed_r2,mcts_greedy
2,mcts,greedy,A,28,20,6.6435864,0.4087655,25,25,25,25,reduced_board_default_fixed_r2,mcts_greedy
0,mcts,random,A,40,3,5.8256462,7.95e-05,24,24,25,25,reduced_board_default_fixed_r2,mcts_random
1,mcts,random,A,47,5,6.4742588,9.27e-05,25,25,25,25,reduced_board_default_fixed_r2,mcts_random
2,mcts,random,A,42,7,5.8072077,6.67e-05,25,25,25,25,reduced_board_default_fixed_r2,mcts_random
0,mcts,rule,A,33,23,6.6419061,0.1068682,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
1,mcts,rule,B,21,33,6.190325,0.1073725,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
2,mcts,rule,B,26,31,6.404874399,0.1282883,25,25,25,25,reduced_board_default_fixed_r2,mcts_rule
0,random,expectimax_d2,B,3,38,0.0001078,4.4995762,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
1,random,expectimax_d2,B,11,40,9.94e-05,4.056372,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
2,random,expectimax_d2,B,4,45,9.33e-05,4.109783,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d2
0,random,expectimax_d3,B,6,42,9.13e-05,39.6033838,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
1,random,expectimax_d3,B,9,43,9.57e-05,32.3603771,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
2,random,expectimax_d3,B,5,45,9.73e-05,42.9808255,25,25,25,25,reduced_board_default_fixed_r2,random_expectimax_d3
0,random,greedy,B,5,39,0.0001041,0.5060063,25,25,25,25,reduced_board_default_fixed_r2,random_greedy
1,random,greedy,B,4,48,0.0001088,0.3010297,25,25,25,25,reduced_board_default_fixed_r2,random_greedy
