turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,move1,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,capture,move2,mobilize,1,move2,2-0,2-1,-1,-1
2,0,0,0,capture,swap,mobilize,1,swap,1-4,2-3,-1,-1
3,1,0,0,capture,swap,move1,2,move1,1-0,1-1,3-0,2-0
4,0,0,3,mobilize,swap,move1,0,mobilize,2-3,2-1,2-4,-1
5,1,0,3,mobilize,move2,move1,1,move2,2-0,2-3,-1,-1
6,0,0,4,mobilize,move2,move1,1,move2,2-0,2-2,-1,-1
7,1,0,4,swap,move2,move1,0,swap,1-1,2-1,1-0,2-0
8,0,0,5,mobilize,move2,move1,0,mobilize,3-4,2-3,-1,-1
9,1,0,5,mobilize,mobilize,move1,1,mobilize,3-4,3-2,-1,-1
10,0,0,6,move1,mobilize,move1,0,move1,2-4,3-4,2-3,3-3
11,1,0,6,move1,mobilize,move1,1,mobilize,2-1,3-1,2-0,3-0
12,0,0,7,move1,move2,move1,1,move2,3-4,2-4,3-3,2-3
13,1,0,7,move1,move1,move1,1,move1,3-0,4-1,-1,-1
14,0,0,8,move1,move1,move1,0,move1,2-3,1-3,-1,-1
15,1,0,8,capture,move1,move1,0,capture,4-1,4-2,-1,-1
16,0,0,12,capture,move1,move1,0,capture,2-2,3-2,-1,-1
17,1,0,12,capture,swap,move1,1,swap,3-1,3-2,-1,-1
18,0,0,16,move1,swap,move1,0,move1,2-2,3-2,-1,-1
19,1,0,16,move1,move1,move1,1,move1,1-0,1-3,-1,-1
20,0,0,17,capture,move1,move1,0,capture,2-4,2-3,-1,-1
21,1,3,17,move1,move1,move1,0,move1,1-3,2-3,-1,-1
22,0,3,17,swap,move1,move1,0,swap,2-2,1-2,-1,-1
23,1,3,17,capture,move1,move1,0,capture,4-2,1-2,-1,-1
24,0,3,20,move2,move1,move1,0,move2,1-4,1-3,-1,-1
25,1,3,20,move2,move1,move1,0,move2,1-2,2-1,-1,-1
26,0,3,20,move2,move1,move1,0,move2,1-0,1-2,-1,-1
27,1,3,20,move1,move1,move1,0,move1,3-0,3-1,-1,-1
28,0,3,20,capture,move1,move1,0,capture,4-2,3-2,-1,-1
29,1,6,20,move1,move1,move1,0,move1,3-1,3-2,-1,-1
30,0,6,20,mobilize,move1,move1,0,mobilize,1-2,1-3,-1,-1
31,1,7,20,mobilize,move2,move1,1,move2,2-1,2-2,-1,-1
32,0,7,20,mobilize,capture,move1,1,capture,1-3,2-3,-1,-1
33,1,11,20,mobilize,mobilize,move1,1,mobilize,2-2,2-3,-1,-1
34,0,11,20,swap,mobilize,move1,0,swap,1-4,1-3,3-4,3-3
35,1,12,20,swap,move2,move1,1,move2,2-0,2-1,3-1,3-2
36,0,12,20,move1,move2,move1,0,move1,2-4,3-2,-1,-1
37,1,13,20,move1,mobilize,move1,1,mobilize,2-4,2-3,-1,-1
38,0,13,20,move2,mobilize,move1,0,move2,1-3,1-2,-1,-1
39,1,14,20,move2,move2,move1,1,move2,2-1,1-1,2-3,1-3
40,0,14,20,move1,move2,move1,0,move1,3-3,4-2,-1,-1
41,1,14,20,mobilize,move2,move1,0,mobilize,2-2,2-1,-1,-1
42,0,14,21,mobilize,move2,move1,2,move1,1-2,2-2,-1,-1
43,1,14,21,mobilize,move2,capture,2,capture,1-3,2-3,-1,-1
44,0,14,25,mobilize,move2,move1,2,move1,2-2,2-1,-1,-1
45,1,14,25,swap,move2,move1,0,swap,1-1,2-1,1-0,2-0
46,0,14,26,capture,move2,move1,0,capture,4-2,2-1,-1,-1
47,1,17,26,capture,move2,move1,0,capture,2-0,2-1,-1,-1
48,0,17,30,swap,move2,move1,0,swap,2-2,2-3,-1,-1
