turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,move2,move1,-1,None,-1,-1,-1,-1
1,1,0,0,capture,move2,move1,1,move2,1-0,2-1,-1,-1
2,0,0,0,capture,capture,move1,1,capture,1-4,0-4,-1,-1
3,1,3,0,mobilize,capture,move1,0,mobilize,2-1,2-4,2-0,-1
4,0,3,0,move1,capture,move1,0,move1,0-4,0-3,3-4,2-4
5,1,6,0,move1,mobilize,move1,1,mobilize,2-1,2-4,2-0,-1
6,0,6,0,move1,move1,move1,1,move1,0-3,1-3,2-4,3-4
7,1,6,0,mobilize,move1,move1,0,mobilize,2-1,3-1,-1,-1
8,0,6,0,move1,move1,move1,0,move1,1-3,2-3,3-4,3-3
9,1,6,0,capture,move1,move1,0,capture,2-0,2-1,-1,-1
10,0,6,0,capture,move1,swap,2,swap,1-4,1-3,-1,-1
11,1,9,0,move2,move1,swap,0,move2,3-1,3-3,3-0,-1
12,0,9,1,swap,move1,swap,0,swap,1-3,2-2,-1,-1
13,1,9,1,swap,swap,swap,1,swap,3-0,2-0,-1,-1
14,0,9,1,swap,swap,move1,2,move1,2-2,2-1,-1,-1
15,1,10,1,swap,swap,move1,0,swap,2-0,2-1,-1,-1
16,0,10,1,swap,mobilize,move1,1,mobilize,2-3,2-1,-1,-1
17,1,10,1,move2,mobilize,move1,0,move2,2-2,2-1,-1,-1
18,0,10,2,move2,mobilize,move1,2,move1,2-0,3-0,-1,-1
19,1,10,2,capture,mobilize,move1,0,capture,2-3,3-2,-1,-1
20,0,10,2,capture,move1,move1,1,move1,2-2,2-3,3-0,4-0
21,1,11,2,capture,move1,move1,1,move1,3-2,2-2,-1,-1
22,0,11,2,capture,move2,move1,1,move2,1-4,2-4,-1,-1
23,1,15,2,move2,move2,move1,0,move2,2-2,2-3,-1,-1
24,0,15,2,capture,move2,move1,0,capture,4-0,3-0,-1,-1
25,1,19,2,mobilize,move2,move1,0,mobilize,2-2,2-4,2-1,-1
26,0,19,2,mobilize,capture,move1,1,capture,1-4,2-3,-1,-1
27,1,23,2,mobilize,swap,move1,1,swap,2-2,2-3,-1,-1
28,0,23,2,mobilize,move2,move1,1,move2,3-0,3-1,-1,-1
29,1,24,2,mobilize,move2,move2,2,move2,3-0,2-0,-1,-1
30,0,24,2,mobilize,move1,move2,1,move1,1-4,2-3,-1,-1
31,1,25,2,mobilize,move1,move1,2,move1,2-0,1-1,-1,-1
32,0,25,2,mobilize,move1,move1,0,mobilize,2-3,3-3,2-4,1-4
33,1,25,2,mobilize,swap,move1,1,swap,2-2,1-2,-1,-1
34,0,25,2,move2,swap,move1,0,move2,3-3,2-3,3-1,3-2
35,1,26,2,mobilize,swap,move1,0,mobilize,2-1,2-2,-1,-1
36,0,26,2,move2,swap,move1,0,move2,3-2,3-3,1-4,2-4
37,1,27,2,move2,capture,move1,1,capture,1-1,2-3,-1,-1
38,0,27,2,move2,capture,move1,2,move1,2-4,3-4,-1,-1
39,1,31,2,move2,capture,move1,1,capture,2-3,3-3,-1,-1
40,0,31,2,move1,capture,move1,0,move1,1-4,2-4,-1,-1
41,1,35,2,move1,move2,move1,1,move2,2-3,2-4,-1,-1
42,0,35,2,swap,move2,move1,0,swap,1-1,0-1,-1,-1
43,1,35,2,mobilize,move2,move1,0,mobilize,2-2,1-4,-1,-1
44,0,35,3,mobilize,move1,move1,1,move1,3-4,4-4,-1,-1
45,1,35,3,move1,move1,move1,0,move1,1-4,2-4,1-2,1-3
46,0,35,3,move1,move1,mobilize,2,mobilize,2-2,2-1,-1,-1
47,1,36,3,move1,move1,mobilize,0,move1,2-3,2-2,-1,-1
48,0,36,3,move1,capture,mobilize,1,capture,2-1,1-1,-1,-1
49,1,37,3,capture,capture,mobilize,0,capture,2-4,2-3,-1,-1
50,0,37,3,capture,capture,move2,2,move2,0-1,0-0,1-1,2-1
51,1,41,3,swap,capture,move2,0,swap,2-2,2-1,-1,-1
52,0,41,3,swap,capture,capture,2,capture,0-0,1-0,-1,-1
53,1,45,3,swap,swap,capture,1,swap,1-3,1-4,-1,-1
54,0,45,3,mobilize,swap,capture,0,mobilize,1-0,1-3,-1,-1
55,1,49,3,mobilize,swap,move1,2,move1,2-3,1-3,-1,-1
56,0,49,3,mobilize,swap,mobilize,2,mobilize,1-4,0-4,-1,-1
57,1,50,3,mobilize,swap,mobilize,0,mobilize,2-3,1-3,1-0,1-1
58,0,50,3,move2,swap,mobilize,0,move2,0-4,1-4,4-4,4-3
59,1,50,3,move2,mobilize,mobilize,1,mobilize,2-2,2-4,-1,-1
60,0,50,4,move2,mobilize,move1,2,move1,1-4,0-4,4-3,3-3
61,1,50,4,move2,move1,move1,1,move1,2-4,2-3,1-1,1-2
62,0,50,5,move2,capture,move1,1,capture,3-3,4-3,-1,-1
63,1,53,5,move2,move2,move1,1,move2,2-3,4-3,1-3,-1
64,0,53,5,move1,move2,move1,0,move1,2-2,2-0,-1,-1
65,1,54,5,swap,move2,move1,0,swap,2-3,2-2,-1,-1
66,0,54,5,move1,move2,move1,0,move1,0-4,1-2,-1,-1
67,1,55,5,move1,swap,move1,1,swap,0-4,0-2,-1,-1
68,0,55,5,move1,swap,move2,2,move2,2-0,2-1,-1,-1
69,1,55,5,move1,move1,move2,1,move1,2-2,1-2,-1,-1
70,0,55,6,move1,move1,move2,0,move1,2-1,1-1,-1,-1
71,1,55,6,move1,move1,capture,2,capture,0-2,0-3,-1,-1
72,0,55,6,move1,move1,capture,0,move1,2-2,2-1,-1,-1
73,1,58,6,move1,move1,move2,2,move2,1-3,1-4,-1,-1
74,0,58,6,move1,move1,move2,2,move2,1-1,0-2,-1,-1
75,1,59,6,move1,move1,mobilize,2,mobilize,1-3,2-2,-1,-1
76,0,59,6,move1,move1,capture,2,capture,2-1,1-1,1-4,1-3
77,1,63,6,move1,move1,move2,2,move2,1-2,1-3,-1,-1
78,0,63,6,move1,mobilize,move2,1,mobilize,1-4,2-4,-1,-1
79,1,64,6,move1,mobilize,swap,2,swap,0-3,2-3,-1,-1
80,0,64,6,move1,mobilize,mobilize,2,mobilize,0-2,2-3,-1,-1
81,1,65,6,capture,mobilize,mobilize,0,capture,1-2,1-3,-1,-1
82,0,65,6,capture,mobilize,move1,2,move1,1-1,0-1,2-4,1-4
83,1,69,6,swap,mobilize,move1,0,swap,1-3,1-4,-1,-1
84,0,69,6,swap,move1,move1,1,move1,2-3,3-3,0-1,1-1
85,1,70,6,swap,move1,move1,1,move1,0-2,1-2,-1,-1
86,0,70,6,swap,swap,move1,1,swap,1-1,0-1,-1,-1
87,1,70,6,move1,swap,move1,0,move1,2-2,3-3,-1,-1
88,0,70,7,move1,swap,capture,2,capture,0-1,1-1,-1,-1
89,1,73,7,move1,swap,move1,2,move1,1-3,1-4,-1,-1
90,0,73,7,move1,move2,move1,1,move2,2-2,3-3,-1,-1
91,1,73,7,move1,move1,move1,1,move1,2-2,2-3,-1,-1
