game,agent_a,agent_b,winner,score_a,score_b
0,greedy,random,A,83,7
1,greedy,random,A,99,6
2,greedy,random,A,71,14
3,greedy,random,A,71,19
4,greedy,random,A,83,10
5,greedy,random,A,60,24
6,greedy,random,A,84,4
7,greedy,random,A,76,16
8,greedy,random,draw,0,0
9,greedy,random,A,76,7
10,greedy,random,A,76,9
11,greedy,random,A,88,3
12,greedy,random,A,82,4
13,greedy,random,A,74,7
14,greedy,random,A,72,16
15,greedy,random,A,87,6
16,greedy,random,A,81,11
17,greedy,random,A,72,19
18,greedy,random,A,80,18
19,greedy,random,A,77,12
