game,agent_a,agent_b,winner,score_a,score_b
0,random,greedy,B,15,77
1,random,greedy,B,11,85
2,random,greedy,B,6,90
3,random,greedy,draw,0,0
4,random,greedy,B,16,81
5,random,greedy,draw,0,0
6,random,greedy,B,14,80
7,random,greedy,B,13,71
8,random,greedy,draw,0,0
9,random,greedy,B,9,87
10,random,greedy,B,3,92
11,random,greedy,B,10,83
12,random,greedy,B,6,79
13,random,greedy,B,13,73
14,random,greedy,B,14,73
15,random,greedy,B,3,86
16,random,greedy,B,10,89
17,random,greedy,draw,4,4
18,random,greedy,B,8,77
19,random,greedy,B,17,73
