turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,move1,mobilize,0,swap,1-0,2-1,-1,-1
2,0,0,0,swap,mobilize,mobilize,1,mobilize,2-4,2-3,-1,-1
3,1,1,0,swap,move1,mobilize,1,move1,2-1,2-2,3-0,3-1
4,0,1,0,swap,move1,mobilize,1,move1,3-4,2-4,-1,-1
5,1,2,0,swap,move1,mobilize,0,swap,2-0,2-3,-1,-1
6,0,2,1,capture,move1,mobilize,0,capture,1-4,2-2,-1,-1
7,1,5,1,swap,move1,mobilize,0,swap,1-4,2-4,-1,-1
8,0,5,2,move1,move1,mobilize,0,move1,2-0,2-3,-1,-1
9,1,5,2,move2,move1,mobilize,0,move2,2-0,3-0,-1,-1
10,0,5,3,move1,move1,mobilize,0,move1,2-4,3-3,-1,-1
11,1,5,3,capture,move1,mobilize,0,capture,1-4,2-4,-1,-1
12,0,5,7,move1,move1,mobilize,0,move1,2-3,2-4,-1,-1
13,1,5,7,capture,move1,mobilize,0,capture,1-0,2-0,-1,-1
14,0,5,11,mobilize,move1,mobilize,0,mobilize,2-2,2-0,2-3,-1
15,1,5,11,capture,move1,mobilize,0,capture,3-0,2-0,3-1,2-1
16,0,5,15,move2,move1,mobilize,0,move2,2-2,2-1,-1,-1
17,1,5,15,capture,move1,mobilize,0,capture,1-0,2-1,-1,-1
18,0,5,19,move1,move1,mobilize,0,move1,2-2,2-1,-1,-1
19,1,5,19,mobilize,move1,mobilize,0,mobilize,1-0,1-1,-1,-1
20,0,5,20,mobilize,move1,mobilize,1,move1,3-3,3-2,-1,-1
21,1,5,20,mobilize,move2,mobilize,1,move2,1-1,2-1,-1,-1
22,0,5,21,mobilize,move2,mobilize,1,move2,2-3,3-3,-1,-1
23,1,5,21,mobilize,swap,mobilize,1,swap,2-1,3-1,-1,-1
24,0,5,22,mobilize,mobilize,mobilize,1,mobilize,3-3,3-1,-1,-1
25,1,5,22,move2,mobilize,mobilize,0,move2,3-3,2-3,2-0,2-1
26,0,5,23,move1,mobilize,mobilize,0,move1,3-1,4-2,-1,-1
27,1,5,23,move1,mobilize,mobilize,0,move1,3-0,2-0,-1,-1
28,0,5,24,capture,mobilize,mobilize,0,capture,3-2,3-3,-1,-1
29,1,8,24,swap,mobilize,mobilize,0,swap,2-3,3-3,-1,-1
