turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,mobilize,swap,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,swap,1,mobilize,1-0,1-1,3-0,3-1
2,0,0,0,capture,mobilize,swap,0,capture,1-4,1-1,-1,-1
3,1,3,0,capture,mobilize,swap,0,capture,1-4,2-4,-1,-1
4,0,3,3,move1,mobilize,swap,0,move1,2-4,1-4,-1,-1
5,1,3,3,capture,mobilize,swap,0,capture,3-1,2-1,-1,-1
6,0,3,6,move2,mobilize,swap,0,move2,1-1,2-1,-1,-1
7,1,3,6,move2,mobilize,mobilize,2,mobilize,3-0,1-1,-1,-1
8,0,3,6,move2,move1,mobilize,1,move1,3-0,3-1,3-4,3-3
9,1,3,6,move2,move1,mobilize,0,move2,2-0,2-1,-1,-1
10,0,3,6,move2,move1,move2,2,move2,3-1,3-2,2-4,2-3
11,1,3,6,move2,move2,move2,1,move2,1-0,2-0,-1,-1
12,0,3,7,move1,move2,move2,0,move1,3-2,2-2,-1,-1
13,1,3,7,mobilize,move2,move2,0,mobilize,1-1,1-0,-1,-1
14,0,3,8,mobilize,move1,move2,1,move1,3-3,2-4,-1,-1
15,1,3,8,mobilize,move2,move2,1,move2,1-0,1-1,-1,-1
16,0,3,9,mobilize,move1,move2,1,move1,2-4,1-3,-1,-1
17,1,3,9,mobilize,move1,move2,1,move1,2-0,1-0,-1,-1
18,0,3,10,mobilize,move1,swap,2,swap,1-3,2-4,-1,-1
19,1,4,10,mobilize,move1,capture,2,capture,1-0,2-2,-1,-1
20,0,4,13,mobilize,move1,swap,2,swap,1-0,1-1,-1,-1
21,1,5,13,mobilize,move1,move1,2,move1,2-0,2-3,-1,-1
22,0,5,13,move1,move1,move1,0,move1,2-0,3-0,2-4,1-4
23,1,6,13,mobilize,move1,move1,0,mobilize,2-1,1-1,-1,-1
24,0,6,13,move2,move1,move1,0,move2,1-0,2-0,1-4,1-3
25,1,7,13,move2,capture,move1,1,capture,1-1,2-1,-1,-1
26,0,7,16,move2,mobilize,move1,1,mobilize,2-0,2-1,-1,-1
27,1,8,16,swap,mobilize,move1,0,swap,1-0,2-1,-1,-1
28,0,8,16,swap,mobilize,move1,0,swap,3-0,2-1,-1,-1
29,1,9,16,mobilize,mobilize,move1,0,mobilize,3-0,2-1,-1,-1
30,0,9,16,mobilize,mobilize,move1,0,mobilize,2-0,1-0,1-3,1-2
31,1,10,16,mobilize,mobilize,move1,2,move1,2-1,1-1,-1,-1
32,0,10,16,mobilize,mobilize,move1,2,move1,3-0,3-1,-1,-1
33,1,11,16,mobilize,mobilize,move2,2,move2,1-1,2-1,-1,-1
34,0,11,16,mobilize,mobilize,swap,2,swap,1-0,1-1,-1,-1
35,1,12,16,mobilize,mobilize,move1,2,move1,2-3,1-2,-1,-1
36,0,12,16,mobilize,mobilize,move2,2,move2,2-3,1-3,-1,-1
37,1,12,16,mobilize,mobilize,move1,2,move1,2-2,2-3,-1,-1
38,0,12,16,mobilize,mobilize,capture,2,capture,3-1,3-2,-1,-1
39,1,15,16,mobilize,mobilize,capture,2,capture,2-3,1-3,-1,-1
40,0,15,19,mobilize,mobilize,move1,2,move1,1-1,2-1,-1,-1
41,1,16,19,swap,mobilize,move1,0,swap,2-3,2-2,1-0,2-0
42,0,16,19,move2,mobilize,move1,0,move2,1-4,1-2,-1,-1
43,1,17,19,move2,mobilize,move1,0,move2,1-4,2-3,-1,-1
44,0,17,19,capture,mobilize,move1,0,capture,3-2,2-1,-1,-1
45,1,21,19,mobilize,mobilize,move1,0,mobilize,2-2,1-2,-1,-1
46,0,21,19,move1,mobilize,move1,0,move1,2-1,3-1,1-4,1-3
47,1,22,19,capture,mobilize,move1,0,capture,2-0,2-1,-1,-1
48,0,22,22,capture,mobilize,move1,0,capture,1-1,2-1,-1,-1
49,1,26,22,move2,mobilize,move1,0,move2,2-3,1-3,-1,-1
50,0,26,22,move1,mobilize,move1,0,move1,1-4,1-2,-1,-1
51,1,27,22,mobilize,mobilize,move1,0,mobilize,1-0,2-0,-1,-1
52,0,27,22,mobilize,mobilize,capture,2,capture,3-1,2-1,-1,-1
53,1,31,22,mobilize,mobilize,move1,2,move1,2-2,1-2,-1,-1
54,0,31,22,capture,mobilize,move1,0,capture,2-1,3-1,1-4,1-3
55,1,35,22,move1,mobilize,move1,0,move1,2-3,1-3,-1,-1
56,0,35,22,move2,mobilize,move1,0,move2,1-4,1-3,-1,-1
57,1,36,22,move2,mobilize,swap,2,swap,2-0,2-1,-1,-1
58,0,36,22,move2,mobilize,capture,2,capture,3-1,2-1,-1,-1
59,1,40,22,move2,mobilize,mobilize,2,mobilize,2-3,1-3,-1,-1
60,0,40,22,move1,mobilize,mobilize,0,move1,1-4,1-2,-1,-1
61,1,41,22,move1,mobilize,mobilize,0,move1,3-1,3-2,-1,-1
62,0,41,22,move2,mobilize,mobilize,0,move2,2-1,3-1,-1,-1
63,1,42,22,capture,mobilize,mobilize,0,capture,2-3,3-3,-1,-1
64,0,42,25,move1,mobilize,mobilize,0,move1,3-1,3-2,-1,-1
65,1,43,25,move1,move2,mobilize,1,move2,1-0,2-0,3-3,3-2
66,0,43,25,move1,mobilize,mobilize,1,mobilize,3-1,2-1,-1,-1
67,1,44,25,mobilize,mobilize,mobilize,0,mobilize,2-0,3-0,-1,-1
68,0,44,25,move2,mobilize,mobilize,0,move2,2-1,3-1,1-2,1-3
69,1,45,25,move1,mobilize,mobilize,0,move1,3-0,2-1,-1,-1
70,0,45,25,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
71,1,46,25,swap,mobilize,mobilize,0,swap,2-1,2-0,-1,-1
72,0,46,25,capture,mobilize,mobilize,0,capture,1-1,3-2,-1,-1
73,1,50,25,swap,mobilize,mobilize,0,swap,2-2,3-2,-1,-1
74,0,50,25,move1,mobilize,mobilize,0,move1,1-4,1-1,-1,-1
75,1,51,25,move1,swap,mobilize,1,swap,2-0,2-1,1-4,2-4
76,0,51,25,move1,move2,mobilize,1,move2,3-1,2-1,-1,-1
77,1,52,25,move1,move2,move2,2,move2,3-1,3-2,2-4,2-3
78,0,52,25,move1,move1,move2,1,move1,2-1,1-0,-1,-1
79,1,53,25,mobilize,move1,move2,0,mobilize,2-3,3-3,-1,-1
80,0,53,25,mobilize,move1,move2,2,move2,1-0,2-1,-1,-1
81,1,54,25,mobilize,mobilize,move2,1,mobilize,3-3,2-3,-1,-1
82,0,54,25,mobilize,mobilize,move1,2,move1,2-1,1-0,-1,-1
83,1,55,25,mobilize,mobilize,capture,2,capture,2-3,3-3,-1,-1
84,0,55,28,mobilize,mobilize,move2,2,move2,1-2,2-2,-1,-1
85,1,56,28,mobilize,mobilize,move1,2,move1,2-0,2-2,-1,-1
86,0,56,28,mobilize,mobilize,move1,2,move1,1-1,2-1,-1,-1
87,1,57,28,mobilize,mobilize,swap,2,swap,3-3,2-3,-1,-1
88,0,57,29,mobilize,mobilize,swap,2,swap,1-0,2-2,-1,-1
89,1,58,29,mobilize,mobilize,mobilize,2,mobilize,1-0,2-2,-1,-1
90,0,58,29,move1,mobilize,mobilize,0,move1,1-0,2-0,1-2,1-1
91,1,59,29,swap,mobilize,mobilize,0,swap,2-3,3-3,-1,-1
92,0,59,29,move2,mobilize,mobilize,0,move2,2-0,3-2,-1,-1
93,1,60,29,capture,mobilize,mobilize,0,capture,2-0,3-1,-1,-1
94,0,60,32,mobilize,mobilize,mobilize,0,mobilize,3-2,3-3,-1,-1
95,1,61,32,capture,mobilize,mobilize,0,capture,3-1,3-0,1-0,2-0
96,0,61,35,swap,mobilize,mobilize,0,swap,2-1,2-0,-1,-1
97,1,62,35,move1,mobilize,mobilize,0,move1,3-0,2-1,-1,-1
98,0,62,35,capture,mobilize,mobilize,0,capture,3-0,3-1,-1,-1
99,1,66,35,mobilize,mobilize,mobilize,0,mobilize,2-2,3-2,-1,-1
100,0,66,35,move2,mobilize,mobilize,0,move2,1-4,1-3,1-1,1-2
