turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,3-1
2,0,0,0,swap,capture,move2,2,move2,1-4,1-3,3-4,3-3
3,1,1,0,swap,capture,capture,2,capture,2-0,2-2,-1,-1
4,0,1,1,move2,capture,capture,0,move2,3-3,2-2,-1,-1
5,1,1,1,mobilize,capture,capture,0,mobilize,3-3,4-2,-1,-1
6,0,1,2,move2,capture,capture,0,move2,1-3,1-4,2-4,2-3
7,1,1,2,move1,capture,capture,0,move1,4-2,4-1,-1,-1
8,0,1,3,mobilize,capture,capture,0,mobilize,1-4,2-4,-1,-1
9,1,1,3,move1,capture,capture,0,move1,1-1,1-0,3-1,3-0
10,0,1,4,mobilize,capture,capture,0,mobilize,2-4,3-4,-1,-1
11,1,1,4,move1,capture,capture,0,move1,1-0,1-1,4-1,3-1
12,0,1,5,move1,capture,capture,0,move1,3-4,2-4,-1,-1
13,1,1,5,move2,capture,capture,0,move2,1-1,1-0,-1,-1
14,0,1,6,move1,capture,capture,0,move1,2-3,0-3,-1,-1
15,1,1,6,move1,capture,capture,0,move1,1-0,2-0,-1,-1
16,0,1,7,move2,capture,capture,0,move2,0-3,1-3,-1,-1
17,1,1,7,move1,capture,capture,0,move1,3-1,4-0,-1,-1
18,0,1,8,capture,capture,capture,0,capture,1-3,2-3,-1,-1
19,1,1,8,capture,capture,capture,-1,None,-1,-1,-1,-1
20,0,1,12,swap,capture,capture,0,swap,2-2,2-0,2-3,-1
21,1,2,12,move2,capture,capture,0,move2,1-0,2-2,-1,-1
22,0,2,12,move1,capture,capture,0,move1,2-3,1-3,-1,-1
23,1,6,12,move1,swap,capture,1,swap,3-0,1-0,4-0,-1
24,0,6,13,move1,swap,capture,1,swap,1-4,2-2,-1,-1
25,1,9,13,move1,swap,capture,2,capture,1-4,2-4,-1,-1
26,0,9,17,move1,swap,capture,2,capture,1-3,1-4,-1,-1
27,1,10,17,move1,move2,capture,1,move2,1-0,2-2,-1,-1
