turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,3-1
2,0,0,0,move2,capture,mobilize,0,move2,1-4,1-1,-1,-1
3,1,3,0,move2,capture,mobilize,1,capture,1-4,2-4,-1,-1
4,0,3,3,move2,move2,mobilize,1,move2,2-4,1-4,-1,-1
5,1,3,3,mobilize,move2,mobilize,0,mobilize,3-1,2-1,-1,-1
6,0,3,4,mobilize,move2,mobilize,1,move2,1-1,2-2,-1,-1
7,1,3,4,mobilize,move1,mobilize,1,move1,2-1,1-1,-1,-1
8,0,3,5,mobilize,move1,mobilize,0,mobilize,2-4,2-3,3-4,3-3
9,1,3,5,mobilize,move1,mobilize,1,move1,2-0,2-1,-1,-1
10,0,3,6,mobilize,mobilize,mobilize,1,mobilize,2-3,1-3,-1,-1
11,1,3,6,move1,mobilize,mobilize,0,move1,1-0,2-0,2-1,3-1
12,0,3,7,move1,mobilize,mobilize,0,move1,1-3,2-3,-1,-1
13,1,3,7,move2,mobilize,mobilize,0,move2,3-1,2-1,-1,-1
14,0,3,8,move1,mobilize,mobilize,0,move1,3-3,2-4,-1,-1
15,1,3,8,move1,mobilize,mobilize,0,move1,2-0,1-0,-1,-1
16,0,3,9,move2,mobilize,mobilize,0,move2,2-3,3-3,-1,-1
17,1,3,9,move1,mobilize,mobilize,0,move1,1-0,2-0,-1,-1
18,0,3,10,capture,mobilize,mobilize,0,capture,3-3,2-3,-1,-1
19,1,6,10,swap,mobilize,mobilize,0,swap,2-1,2-2,-1,-1
20,0,6,10,move2,mobilize,mobilize,0,move2,2-4,2-1,-1,-1
21,1,7,10,move1,mobilize,mobilize,0,move1,1-1,2-2,-1,-1
22,0,7,10,swap,mobilize,mobilize,0,swap,1-4,1-3,-1,-1
23,1,8,10,swap,mobilize,mobilize,0,swap,2-0,2-3,-1,-1
24,0,8,11,capture,mobilize,mobilize,0,capture,1-3,2-2,-1,-1
