turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move2,swap,capture,0,move2,1-0,1-1,3-0,3-1
2,0,0,0,move1,swap,capture,0,move1,3-4,4-4,-1,-1
3,1,0,0,capture,swap,capture,0,capture,1-1,2-1,-1,-1
4,0,0,0,capture,mobilize,capture,1,mobilize,2-4,2-1,-1,-1
5,1,3,0,move1,mobilize,capture,0,move1,2-4,1-4,-1,-1
6,0,3,0,move1,mobilize,capture,1,mobilize,1-4,1-3,4-4,4-3
7,1,6,0,move1,mobilize,capture,2,capture,2-0,2-1,-1,-1
8,0,6,0,capture,mobilize,capture,0,capture,4-3,4-2,-1,-1
9,1,9,0,move1,mobilize,capture,0,move1,2-4,1-4,-1,-1
10,0,9,0,move1,move1,capture,1,move1,1-3,2-3,1-4,0-4
11,1,12,0,move1,move1,capture,2,capture,2-4,2-3,-1,-1
12,0,12,0,move1,swap,capture,1,swap,0-4,0-3,-1,-1
13,1,15,0,move1,swap,move2,2,move2,2-4,1-4,-1,-1
14,0,15,0,move1,move1,move2,1,move1,1-4,2-4,-1,-1
15,1,15,0,move1,move1,move2,0,move1,3-1,2-1,-1,-1
16,0,15,0,move1,move1,move2,0,move1,0-3,0-4,-1,-1
17,1,15,0,move1,move1,move2,2,move2,1-4,1-2,-1,-1
18,0,15,0,move1,move1,mobilize,2,mobilize,4-2,3-3,-1,-1
19,1,16,0,move1,move1,mobilize,0,move1,1-2,2-2,-1,-1
20,0,16,0,move1,swap,mobilize,1,swap,3-3,4-3,-1,-1
21,1,17,0,move2,swap,mobilize,0,move2,2-0,1-0,-1,-1
22,0,17,0,move2,swap,move2,2,move2,2-4,3-4,0-4,0-3
23,1,18,0,swap,swap,move2,0,swap,1-0,2-0,-1,-1
24,0,18,0,swap,swap,move2,2,move2,4-3,4-1,-1,-1
25,1,19,0,swap,swap,mobilize,2,mobilize,2-0,1-1,-1,-1
26,0,19,0,swap,swap,move1,2,move1,0-3,1-3,4-1,4-2
27,1,20,0,swap,swap,move2,2,move2,1-1,1-2,-1,-1
28,0,20,0,move1,swap,move2,0,move1,4-2,2-1,-1,-1
29,1,21,0,move1,move1,move2,1,move1,4-2,2-1,-1,-1
30,0,21,0,move1,move1,capture,2,capture,3-4,4-3,-1,-1
31,1,25,0,move1,move1,capture,2,capture,1-2,1-3,-1,-1
32,0,25,0,move2,move1,capture,0,move2,4-3,4-4,-1,-1
33,1,29,0,move2,move1,mobilize,2,mobilize,2-2,4-2,1-2,-1
34,0,29,0,move2,mobilize,mobilize,1,mobilize,2-4,2-3,-1,-1
35,1,30,0,capture,mobilize,mobilize,0,capture,1-2,1-1,-1,-1
36,0,30,3,capture,mobilize,mobilize,0,capture,2-3,2-2,-1,-1
37,1,33,3,move1,mobilize,mobilize,0,move1,1-1,1-4,1-0,-1
38,0,33,3,move2,mobilize,mobilize,0,move2,2-3,2-4,-1,-1
39,1,34,3,move2,move1,mobilize,1,move1,1-0,2-0,2-1,2-2
40,0,34,3,move2,move1,mobilize,2,mobilize,4-4,4-3,2-4,2-3
41,1,35,3,move2,move1,mobilize,1,move1,1-1,2-1,-1,-1
42,0,35,3,move2,move1,move2,2,move2,4-3,4-4,1-4,1-3
43,1,36,3,mobilize,move1,move2,0,mobilize,2-0,3-1,-1,-1
44,0,36,3,mobilize,move1,swap,2,swap,4-4,4-3,-1,-1
45,1,37,3,mobilize,move1,mobilize,2,mobilize,3-1,2-3,-1,-1
46,0,37,3,mobilize,move1,move1,2,move1,4-3,4-2,3-1,3-2
47,1,38,3,mobilize,move1,move1,1,move1,2-1,1-1,-1,-1
48,0,38,3,move2,move1,move1,0,move2,4-2,4-1,1-3,1-2
49,1,39,3,move2,swap,move1,1,swap,1-1,2-1,-1,-1
50,0,39,3,move2,move2,move1,1,move2,1-2,2-1,-1,-1
51,1,40,3,move2,move2,capture,2,capture,2-3,1-3,-1,-1
52,0,40,3,move2,move1,capture,1,move1,3-2,4-2,-1,-1
53,1,44,3,move2,move1,move1,2,move1,2-2,4-2,1-2,-1
54,0,44,3,capture,move1,move1,0,capture,4-1,3-0,-1,-1
55,1,48,3,capture,move1,move1,0,capture,2-2,2-1,-1,-1
56,0,48,6,move2,move1,move1,0,move2,1-4,1-3,-1,-1
57,1,49,6,move2,mobilize,move1,1,mobilize,1-0,1-1,-1,-1
58,0,49,6,move1,mobilize,move1,0,move1,1-4,2-3,-1,-1
59,1,50,6,swap,mobilize,move1,0,swap,1-1,2-1,-1,-1
60,0,50,6,swap,move1,move1,1,move1,3-0,2-0,2-4,1-4
61,1,51,6,swap,move1,move1,0,swap,1-2,2-3,-1,-1
62,0,51,7,move2,move1,move1,0,move2,2-0,2-2,-1,-1
63,1,51,7,capture,move1,move1,0,capture,2-3,3-2,-1,-1
64,0,51,8,capture,mobilize,move1,1,mobilize,1-4,0-4,-1,-1
65,1,54,8,move1,mobilize,move1,0,move1,2-1,2-2,-1,-1
66,0,54,8,move1,move2,move1,1,move2,1-4,1-3,1-2,0-2
67,1,55,8,mobilize,move2,move1,0,mobilize,3-2,2-2,-1,-1
68,0,55,8,capture,move2,move1,0,capture,1-3,1-4,0-2,1-2
69,1,59,8,move2,move2,move1,0,move2,2-2,1-2,-1,-1
70,0,59,8,move2,move2,move1,1,move2,0-4,1-3,-1,-1
71,1,60,8,move1,move2,move1,0,move1,2-0,3-1,-1,-1
72,0,60,8,mobilize,move2,move1,0,mobilize,1-3,0-3,-1,-1
73,1,61,8,mobilize,move2,move1,2,move1,3-1,3-2,-1,-1
74,0,61,8,mobilize,move2,swap,2,swap,1-4,0-4,-1,-1
75,1,62,8,mobilize,move1,swap,1,move1,3-2,2-3,-1,-1
76,0,62,8,mobilize,mobilize,swap,1,mobilize,2-4,3-4,-1,-1
77,1,63,8,mobilize,mobilize,swap,2,swap,2-3,0-3,-1,-1
78,0,63,8,move2,mobilize,swap,0,move2,0-4,1-4,2-3,3-3
79,1,64,8,capture,mobilize,swap,0,capture,0-3,1-2,-1,-1
80,0,64,8,capture,capture,swap,1,capture,1-4,1-3,3-4,2-4
81,1,68,8,move1,capture,swap,0,move1,1-2,1-3,-1,-1
82,0,68,8,swap,capture,swap,0,swap,3-3,4-3,-1,-1
83,1,72,8,swap,move2,swap,1,move2,2-2,2-4,2-1,-1
84,0,72,8,swap,mobilize,swap,1,mobilize,2-4,3-4,-1,-1
85,1,73,8,swap,move1,swap,1,move1,2-1,1-1,1-2,1-3
86,0,73,8,mobilize,move1,swap,0,mobilize,1-4,1-3,-1,-1
87,1,74,8,mobilize,move1,swap,2,swap,1-4,1-3,-1,-1
88,0,74,8,capture,move1,swap,0,capture,1-4,0-4,3-4,4-4
89,1,75,8,capture,move1,swap,1,move1,1-1,1-2,-1,-1
90,0,75,8,capture,move1,mobilize,2,mobilize,4-3,1-3,-1,-1
91,1,79,8,move1,move1,mobilize,0,move1,1-2,1-3,-1,-1
92,0,79,8,move1,move1,move2,2,move2,1-4,1-3,4-4,3-4
93,1,80,8,move1,move1,move1,2,move1,4-3,3-2,-1,-1
94,0,80,8,move1,move1,move1,1,move1,3-4,2-4,-1,-1
95,1,81,8,move1,move1,move1,0,move1,1-2,1-1,-1,-1
96,0,81,8,move1,move1,move2,2,move2,2-4,3-4,-1,-1
97,1,82,8,capture,move1,move2,0,capture,1-1,2-1,-1,-1
98,0,82,8,capture,move1,mobilize,2,mobilize,1-3,0-3,-1,-1
99,1,83,8,capture,swap,mobilize,1,swap,2-1,3-1,-1,-1
100,0,83,8,capture,swap,move1,2,move1,0-4,1-4,0-3,1-3
