turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,move1,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,move1,0,mobilize,2-0,2-1,-1,-1
2,0,0,0,move2,capture,move1,0,move2,1-4,1-3,2-4,2-3
3,1,0,0,move2,capture,move2,2,move2,3-0,2-0,-1,-1
4,0,0,1,move2,capture,move2,0,move2,1-3,2-2,-1,-1
5,1,3,1,move2,move1,move2,1,move1,2-1,2-2,-1,-1
6,0,3,2,move2,move1,move2,1,move1,2-3,2-2,-1,-1
7,1,3,2,move2,capture,move2,1,capture,1-0,1-1,-1,-1
8,0,3,6,move2,swap,move2,1,swap,2-2,2-1,-1,-1
9,1,3,6,mobilize,swap,move2,0,mobilize,2-0,2-1,-1,-1
10,0,3,7,mobilize,swap,move2,1,swap,1-4,1-1,-1,-1
11,1,3,7,mobilize,move1,move2,1,move1,1-4,1-1,-1,-1
12,0,3,8,mobilize,move1,move2,2,move2,1-4,2-3,-1,-1
13,1,3,8,mobilize,move1,move2,1,move1,1-0,2-0,-1,-1
14,0,3,9,mobilize,mobilize,move2,1,mobilize,3-4,2-4,-1,-1
15,1,3,9,mobilize,mobilize,swap,2,swap,2-0,1-0,-1,-1
16,0,3,10,mobilize,mobilize,mobilize,2,mobilize,2-4,2-1,-1,-1
17,1,3,10,capture,mobilize,mobilize,0,capture,1-1,1-2,2-4,1-4
18,0,3,14,move1,mobilize,mobilize,0,move1,2-2,1-2,-1,-1
19,1,3,14,mobilize,mobilize,mobilize,0,mobilize,1-4,1-3,-1,-1
20,0,3,15,move2,mobilize,mobilize,0,move2,2-3,3-3,2-1,3-1
21,1,3,15,capture,mobilize,mobilize,0,capture,1-3,1-1,-1,-1
22,0,3,16,capture,swap,mobilize,1,swap,3-3,2-3,3-1,2-1
23,1,6,16,capture,swap,mobilize,0,capture,2-0,2-1,-1,-1
24,0,6,20,move2,swap,mobilize,0,move2,2-2,2-0,2-3,-1
25,1,7,20,move2,move1,mobilize,1,move1,1-0,2-2,-1,-1
26,0,7,20,capture,move1,mobilize,0,capture,2-3,1-2,-1,-1
27,1,11,20,move1,move1,mobilize,0,move1,2-2,1-2,-1,-1
28,0,11,20,mobilize,move1,mobilize,0,mobilize,2-4,2-3,-1,-1
29,1,12,20,mobilize,move1,mobilize,1,move1,2-0,2-1,-1,-1
30,0,12,20,swap,move1,mobilize,0,swap,1-0,0-0,1-4,1-3
31,1,13,20,swap,swap,mobilize,1,swap,1-1,1-2,-1,-1
32,0,13,21,move2,swap,mobilize,0,move2,1-3,2-2,-1,-1
33,1,14,21,move2,move1,mobilize,1,move1,1-3,2-2,-1,-1
34,0,14,21,move1,move1,mobilize,0,move1,2-3,3-2,-1,-1
35,1,15,21,move2,move1,mobilize,0,move2,2-1,1-1,-1,-1
36,0,15,21,move2,move1,mobilize,0,move2,3-2,2-1,-1,-1
37,1,16,21,capture,move1,mobilize,0,capture,1-1,0-2,-1,-1
38,0,16,24,mobilize,move1,mobilize,0,mobilize,1-3,1-2,-1,-1
39,1,17,24,move1,move1,mobilize,0,move1,0-2,1-2,1-0,1-1
40,0,17,24,capture,move1,mobilize,0,capture,0-0,0-1,-1,-1
41,1,21,24,move1,move1,mobilize,0,move1,1-2,1-3,-1,-1
42,0,21,24,capture,move1,mobilize,0,capture,0-1,0-0,-1,-1
43,1,25,24,move1,move1,mobilize,0,move1,1-2,1-4,1-1,-1
44,0,25,24,move2,move1,mobilize,0,move2,0-0,0-1,-1,-1
45,1,26,24,move2,move1,mobilize,0,move2,1-2,2-3,-1,-1
46,0,26,24,swap,move1,mobilize,0,swap,2-1,3-2,-1,-1
47,1,27,24,swap,capture,mobilize,1,capture,1-1,1-2,-1,-1
48,0,27,27,swap,swap,mobilize,1,swap,3-2,2-2,-1,-1
49,1,28,27,swap,swap,mobilize,2,mobilize,2-3,2-2,1-0,1-1
50,0,28,28,move2,swap,mobilize,0,move2,1-4,2-2,-1,-1
51,1,29,28,move2,mobilize,mobilize,1,mobilize,1-4,2-2,-1,-1
52,0,29,28,capture,mobilize,mobilize,0,capture,3-2,2-1,-1,-1
53,1,33,28,move2,mobilize,mobilize,0,move2,1-2,1-4,1-1,-1
54,0,33,28,move1,mobilize,mobilize,0,move1,2-1,3-2,-1,-1
55,1,34,28,capture,mobilize,mobilize,0,capture,1-1,2-1,-1,-1
56,0,34,31,capture,mobilize,mobilize,0,capture,3-2,2-2,-1,-1
57,1,35,31,capture,capture,mobilize,1,capture,1-0,1-1,2-1,2-2
58,0,35,34,move2,capture,mobilize,0,move2,0-1,1-1,-1,-1
59,1,39,34,move2,move2,mobilize,1,move2,2-2,3-2,-1,-1
60,0,39,34,move1,move2,mobilize,0,move1,2-4,2-3,-1,-1
61,1,40,34,move1,move2,mobilize,0,move1,1-0,1-1,-1,-1
62,0,40,34,mobilize,move2,mobilize,0,mobilize,0-1,0-0,-1,-1
63,1,41,34,mobilize,move1,mobilize,1,move1,1-1,2-1,-1,-1
64,0,41,34,move2,move1,mobilize,0,move2,0-0,0-1,1-4,1-3
65,1,42,34,move2,swap,mobilize,1,swap,1-2,1-1,-1,-1
66,0,42,35,move2,move1,mobilize,1,move1,0-1,2-2,-1,-1
67,1,42,35,mobilize,move1,mobilize,0,mobilize,2-1,1-0,-1,-1
68,0,42,36,mobilize,move1,mobilize,1,move1,2-3,3-3,-1,-1
69,1,42,36,move1,move1,mobilize,0,move1,0-1,0-2,1-1,1-2
70,0,42,37,move1,move1,mobilize,2,mobilize,3-3,3-2,1-3,2-3
71,1,42,37,move2,move1,mobilize,0,move2,1-0,1-1,-1,-1
72,0,42,38,move2,move2,mobilize,1,move2,2-3,3-3,-1,-1
73,1,42,38,capture,move2,mobilize,0,capture,1-1,0-1,-1,-1
74,0,42,42,swap,move2,mobilize,0,swap,2-2,1-2,-1,-1
75,1,43,42,swap,move2,mobilize,0,swap,1-0,2-2,-1,-1
76,0,43,43,swap,move2,mobilize,0,swap,1-0,2-2,-1,-1
77,1,44,43,move1,move2,mobilize,0,move1,1-0,2-2,-1,-1
78,0,44,43,move2,move2,mobilize,0,move2,1-0,1-1,-1,-1
79,1,44,43,move2,move2,mobilize,0,move2,2-2,1-2,-1,-1
80,0,44,44,capture,move2,mobilize,0,capture,1-1,2-2,-1,-1
81,1,47,44,mobilize,move2,mobilize,0,mobilize,1-2,2-2,-1,-1
82,0,47,45,capture,move2,mobilize,0,capture,3-2,2-2,1-4,1-3
83,1,50,45,move1,move2,mobilize,0,move1,1-2,2-2,-1,-1
84,0,50,46,move1,move1,mobilize,1,move1,3-3,2-2,-1,-1
85,1,50,46,mobilize,move1,mobilize,0,mobilize,0-1,1-1,-1,-1
86,0,50,47,move1,move1,mobilize,0,move1,1-4,2-4,1-3,2-3
87,1,50,47,move2,move1,mobilize,0,move2,1-1,0-1,-1,-1
88,0,50,48,swap,move1,mobilize,0,swap,2-4,1-3,-1,-1
89,1,51,48,move1,move1,mobilize,0,move1,0-1,2-2,-1,-1
90,0,51,48,swap,move1,mobilize,0,swap,1-3,1-4,-1,-1
91,1,52,48,move2,move1,mobilize,0,move2,0-2,2-3,-1,-1
92,0,52,48,move1,move1,mobilize,0,move1,0-1,2-1,-1,-1
93,1,53,48,move2,move1,mobilize,0,move2,1-2,1-3,-1,-1
94,0,53,48,mobilize,move1,mobilize,0,mobilize,1-4,0-4,-1,-1
95,1,54,48,mobilize,mobilize,mobilize,1,mobilize,1-3,1-2,-1,-1
96,0,54,48,swap,mobilize,mobilize,0,swap,0-4,0-3,0-2,0-1
97,1,55,48,capture,mobilize,mobilize,0,capture,2-3,2-1,-1,-1
98,0,55,51,move1,mobilize,mobilize,0,move1,2-3,2-2,-1,-1
99,1,56,51,move1,move1,mobilize,1,move1,1-0,2-0,1-2,2-2
100,0,56,51,swap,move1,mobilize,0,swap,0-3,0-2,-1,-1
