turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,mobilize,swap,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,swap,1,mobilize,1-0,1-1,3-0,3-1
2,0,0,0,capture,mobilize,swap,0,capture,1-4,1-1,-1,-1
3,1,3,0,capture,mobilize,swap,0,capture,1-4,2-4,-1,-1
4,0,3,3,move1,mobilize,swap,0,move1,2-4,1-4,-1,-1
5,1,3,3,capture,mobilize,swap,0,capture,3-1,2-1,-1,-1
6,0,3,6,move2,mobilize,swap,0,move2,1-1,2-1,-1,-1
7,1,3,6,mobilize,mobilize,swap,0,mobilize,3-0,2-1,-1,-1
8,0,3,6,mobilize,mobilize,move1,2,move1,2-4,2-1,-1,-1
9,1,3,6,move2,mobilize,move1,0,move2,2-0,3-0,2-4,2-3
10,0,3,7,move2,move2,move1,1,move2,2-1,2-2,3-4,3-3
11,1,3,7,move2,move2,move1,0,move2,1-0,2-1,-1,-1
12,0,3,8,move1,move2,move1,0,move1,1-1,1-3,-1,-1
13,1,3,8,move1,mobilize,move1,1,mobilize,3-0,3-2,-1,-1
14,0,3,9,move1,mobilize,move1,0,move1,1-3,1-2,-1,-1
15,1,3,9,move2,mobilize,move1,0,move2,3-2,3-1,-1,-1
16,0,3,10,move1,mobilize,move1,0,move1,3-3,3-2,-1,-1
17,1,3,10,move1,mobilize,move1,0,move1,2-3,3-3,-1,-1
18,0,3,10,move1,swap,move1,1,swap,1-2,1-3,2-2,2-3
19,1,3,10,move1,capture,move1,1,capture,2-1,2-3,-1,-1
20,0,3,13,move1,swap,move1,1,swap,3-2,3-3,-1,-1
21,1,3,13,move1,move1,move1,1,move1,1-0,2-1,-1,-1
22,0,3,13,move1,move1,move1,0,move1,1-3,1-2,-1,-1
23,1,4,13,mobilize,move1,move1,0,mobilize,2-3,2-2,-1,-1
24,0,4,13,mobilize,move2,move1,1,move2,1-0,1-1,-1,-1
25,1,5,13,mobilize,capture,move1,1,capture,3-1,2-0,-1,-1
26,0,5,16,mobilize,mobilize,move1,1,mobilize,1-1,2-1,-1,-1
27,1,5,16,mobilize,mobilize,swap,2,swap,2-2,2-1,-1,-1
28,0,5,16,mobilize,mobilize,move2,2,move2,3-2,2-1,-1,-1
29,1,5,16,mobilize,mobilize,swap,2,swap,3-2,3-0,-1,-1
30,0,5,16,mobilize,mobilize,move1,2,move1,1-2,1-0,-1,-1
31,1,6,16,mobilize,mobilize,move1,2,move1,1-2,2-2,-1,-1
32,0,6,16,mobilize,mobilize,move1,2,move1,1-1,1-2,-1,-1
33,1,7,16,mobilize,mobilize,move1,2,move1,3-0,3-1,-1,-1
34,0,7,16,mobilize,mobilize,swap,2,swap,1-0,1-1,-1,-1
35,1,7,16,mobilize,mobilize,move1,2,move1,2-2,2-1,-1,-1
36,0,7,17,mobilize,mobilize,move2,2,move2,1-2,1-3,-1,-1
37,1,7,17,mobilize,mobilize,move2,2,move2,2-0,3-0,-1,-1
38,0,7,18,capture,mobilize,move2,0,capture,1-1,1-2,1-3,2-3
39,1,10,18,capture,mobilize,move2,0,capture,2-1,2-2,-1,-1
40,0,10,19,capture,move1,move2,1,move1,1-2,2-2,1-4,2-4
41,1,13,19,swap,move1,move2,0,swap,2-1,2-2,-1,-1
42,0,13,19,move2,move1,move2,0,move2,2-4,2-1,-1,-1
43,1,13,19,mobilize,move1,move2,0,mobilize,2-4,3-3,-1,-1
44,0,13,20,capture,move1,move2,0,capture,1-4,1-3,2-1,2-2
45,1,16,20,mobilize,move1,move2,0,mobilize,3-3,2-3,-1,-1
46,0,16,21,mobilize,move1,move2,2,move2,1-4,2-3,-1,-1
47,1,16,21,mobilize,capture,move2,1,capture,3-3,3-2,-1,-1
48,0,16,25,mobilize,capture,move2,1,capture,2-2,3-2,-1,-1
49,1,16,25,mobilize,capture,move2,0,mobilize,3-1,2-1,3-0,2-0
50,0,16,29,mobilize,move2,move2,1,move2,2-2,2-1,-1,-1
51,1,16,29,mobilize,move1,move2,1,move1,3-0,2-1,-1,-1
52,0,16,30,mobilize,move1,mobilize,2,mobilize,1-3,2-4,-1,-1
53,1,16,30,mobilize,mobilize,mobilize,1,mobilize,1-0,1-1,-1,-1
54,0,16,30,mobilize,mobilize,mobilize,0,mobilize,2-4,3-4,2-2,3-2
55,1,17,30,move1,mobilize,mobilize,0,move1,2-1,2-2,1-1,1-2
56,0,17,30,move1,move1,mobilize,1,move1,3-4,2-4,3-2,3-3
57,1,18,30,swap,move1,mobilize,0,swap,2-0,2-1,-1,-1
58,0,18,31,capture,move1,mobilize,0,capture,2-4,2-2,-1,-1
59,1,21,31,capture,move1,mobilize,0,capture,2-4,2-3,-1,-1
60,0,21,35,move2,move1,mobilize,0,move2,2-2,1-2,-1,-1
61,1,21,35,move2,move1,move2,2,move2,2-4,2-3,1-0,2-0
62,0,21,36,move1,move1,move2,0,move1,1-4,1-3,-1,-1
63,1,21,36,move1,move1,capture,2,capture,2-0,1-1,-1,-1
64,0,21,40,move1,move1,move1,2,move1,2-2,2-1,-1,-1
65,1,21,40,move2,move1,move1,0,move2,2-3,2-4,-1,-1
66,0,21,41,swap,move1,move1,0,swap,1-3,2-3,-1,-1
67,1,21,41,move2,move1,move1,0,move2,1-1,2-3,-1,-1
68,0,21,42,move2,move2,move1,1,move2,1-1,2-1,-1,-1
69,1,21,42,move1,move2,move1,0,move1,1-0,1-2,-1,-1
70,0,21,43,move1,move1,move1,1,move1,3-3,3-2,-1,-1
71,1,21,43,swap,move1,move1,0,swap,1-2,1-3,-1,-1
72,0,21,44,capture,move1,move1,0,capture,2-1,2-3,-1,-1
73,1,24,44,move2,move1,move1,0,move2,2-4,2-3,-1,-1
74,0,24,45,move1,move1,move1,0,move1,3-2,2-3,-1,-1
75,1,24,45,swap,move1,move1,0,swap,2-1,1-1,-1,-1
76,0,24,45,capture,move1,move1,0,capture,2-2,1-3,-1,-1
77,1,28,45,mobilize,move1,move1,0,mobilize,2-4,2-3,-1,-1
78,0,28,45,mobilize,move1,move1,1,move1,3-4,3-3,-1,-1
79,1,29,45,mobilize,move1,move1,0,mobilize,2-4,2-3,1-1,2-1
80,0,29,45,move2,move1,move1,0,move2,1-3,1-2,3-3,3-2
81,1,30,45,move1,move1,move1,0,move1,2-3,1-3,-1,-1
82,0,30,45,mobilize,move1,move1,0,mobilize,3-2,3-1,-1,-1
83,1,31,45,mobilize,move1,move1,1,move1,1-3,2-3,-1,-1
84,0,31,45,move2,move1,move1,0,move2,1-4,1-3,3-1,3-2
85,1,32,45,mobilize,move1,move1,0,mobilize,2-3,3-3,-1,-1
86,0,32,45,mobilize,swap,move1,1,swap,1-3,2-3,-1,-1
87,1,33,45,mobilize,swap,move1,1,swap,3-3,3-2,-1,-1
88,0,33,45,mobilize,swap,move1,1,swap,3-3,3-2,-1,-1
89,1,34,45,mobilize,capture,move1,1,capture,3-3,3-2,-1,-1
90,0,34,48,mobilize,move1,move1,1,move1,3-3,3-2,-1,-1
91,1,35,48,mobilize,swap,move1,1,swap,1-0,2-0,-1,-1
92,0,35,48,mobilize,move2,move1,1,move2,3-3,2-1,-1,-1
93,1,36,48,capture,move2,move1,0,capture,2-0,3-0,3-3,3-2
94,0,36,51,move1,move2,move1,0,move1,1-2,2-2,-1,-1
95,1,36,51,move1,mobilize,move1,1,mobilize,1-0,2-0,-1,-1
96,0,36,52,move2,mobilize,move1,0,move2,1-2,2-2,-1,-1
97,1,36,52,move2,mobilize,move1,0,move2,3-2,3-1,-1,-1
98,0,36,53,capture,mobilize,move1,0,capture,2-1,1-2,-1,-1
99,1,36,53,capture,mobilize,move1,2,move1,3-1,2-1,-1,-1
100,0,36,57,capture,mobilize,move1,0,capture,2-2,2-1,-1,-1
