turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,3-1
2,0,0,0,swap,capture,move1,2,move1,2-4,2-3,3-4,3-3
3,1,0,0,swap,capture,mobilize,2,mobilize,1-1,2-1,-1,-1
4,0,0,1,swap,capture,move2,2,move2,1-4,1-3,2-3,2-2
5,1,3,1,swap,capture,move2,1,capture,2-1,2-2,-1,-1
6,0,3,1,swap,capture,move2,2,move2,3-3,4-3,-1,-1
7,1,4,1,swap,capture,capture,2,capture,3-1,2-2,-1,-1
8,0,4,2,move1,capture,capture,0,move1,1-4,2-2,-1,-1
9,1,7,2,move1,move1,capture,1,move1,1-4,1-3,-1,-1
10,0,7,6,move1,move1,move2,2,move2,2-4,1-4,-1,-1
11,1,7,6,move1,move1,move1,2,move1,1-0,1-1,-1,-1
12,0,7,7,move1,move1,capture,2,capture,2-4,2-3,-1,-1
13,1,10,7,move1,move1,capture,2,capture,2-1,2-2,-1,-1
14,0,10,7,move2,move1,capture,0,move2,2-3,3-3,-1,-1
15,1,11,7,move2,move1,capture,0,move2,1-1,2-2,-1,-1
16,0,11,7,swap,move1,capture,0,swap,1-4,2-3,-1,-1
17,1,15,7,swap,move1,swap,2,swap,2-2,2-3,-1,-1
18,0,15,8,swap,move1,move1,2,move1,1-4,2-2,-1,-1
19,1,15,8,move1,move1,move1,0,move1,1-4,3-3,-1,-1
20,0,15,9,move1,move1,move1,1,move1,1-4,2-4,-1,-1
21,1,15,9,move2,move1,move1,0,move2,3-3,3-2,-1,-1
22,0,15,10,move2,move1,mobilize,2,mobilize,2-4,1-4,-1,-1
23,1,15,10,move1,move1,mobilize,0,move1,3-2,3-1,-1,-1
24,0,15,11,move1,mobilize,mobilize,1,mobilize,1-4,1-3,-1,-1
25,1,15,11,swap,mobilize,mobilize,0,swap,3-1,3-0,-1,-1
26,0,15,12,swap,move1,mobilize,1,move1,1-3,2-3,4-3,3-3
