turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,3-1
2,0,0,0,swap,capture,move2,2,move2,1-4,0-4,3-4,3-3
3,1,0,0,swap,capture,capture,2,capture,1-1,2-1,-1,-1
4,0,0,0,move2,capture,capture,0,move2,3-3,2-1,-1,-1
5,1,3,0,move2,mobilize,capture,1,mobilize,2-0,2-1,-1,-1
6,0,3,0,move2,mobilize,capture,0,move2,2-4,4-4,-1,-1
7,1,4,0,move1,mobilize,capture,0,move1,2-0,2-2,-1,-1
8,0,4,0,mobilize,mobilize,capture,0,mobilize,4-4,3-4,-1,-1
9,1,8,0,mobilize,mobilize,move1,2,move1,3-3,3-4,-1,-1
10,0,8,0,mobilize,mobilize,move1,1,mobilize,0-4,0-3,2-4,3-4
11,1,8,0,move1,mobilize,move1,0,move1,2-2,2-3,3-1,3-2
12,0,8,0,move1,move1,move1,1,move1,0-3,0-4,1-4,2-4
13,1,9,0,move2,move1,move1,0,move2,2-3,2-2,-1,-1
14,0,9,0,move2,move1,move1,2,move1,2-4,2-3,-1,-1
15,1,10,0,move1,move1,move1,0,move1,3-3,4-2,-1,-1
16,0,10,0,move1,move2,move1,1,move2,0-4,0-3,-1,-1
17,1,11,0,move1,move1,move1,1,move1,4-2,3-1,-1,-1
18,0,11,0,move1,capture,move1,1,capture,3-4,3-3,-1,-1
19,1,15,0,move1,swap,move1,1,swap,2-2,2-3,-1,-1
20,0,15,0,move1,swap,move2,2,move2,3-3,2-3,-1,-1
21,1,15,0,move1,move1,move2,1,move1,2-2,2-3,-1,-1
22,0,15,1,swap,move1,move2,0,swap,0-3,0-2,-1,-1
23,1,15,1,swap,move1,swap,2,swap,2-3,3-3,-1,-1
24,0,15,2,swap,capture,swap,1,capture,0-2,1-2,-1,-1
25,1,18,2,swap,capture,swap,1,capture,3-2,2-2,-1,-1
26,0,18,2,swap,capture,move1,2,move1,2-4,3-2,-1,-1
