turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,capture,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,move2,capture,1,move2,1-0,2-1,-1,-1
2,0,0,1,mobilize,move1,capture,1,move1,2-4,2-2,-1,-1
3,1,3,1,mobilize,move1,move2,2,move2,2-1,2-2,-1,-1
4,0,3,2,mobilize,move1,capture,2,capture,2-4,2-2,-1,-1
5,1,6,2,mobilize,move1,move2,2,move2,2-1,2-2,-1,-1
6,0,6,3,mobilize,move1,move2,2,move2,2-4,2-2,-1,-1
7,1,6,3,mobilize,move1,swap,2,swap,3-0,3-1,-1,-1
8,0,6,4,mobilize,move1,mobilize,2,mobilize,3-4,3-1,-1,-1
9,1,6,4,mobilize,mobilize,mobilize,1,mobilize,3-4,3-3,-1,-1
10,0,6,5,mobilize,mobilize,mobilize,0,mobilize,1-4,1-3,3-1,3-2
11,1,6,5,swap,mobilize,mobilize,0,swap,2-1,3-1,2-0,3-0
12,0,6,6,capture,mobilize,mobilize,0,capture,1-3,3-3,-1,-1
13,1,9,6,move1,mobilize,mobilize,0,move1,3-1,3-2,-1,-1
14,0,9,7,move1,capture,mobilize,1,capture,3-3,2-3,1-4,2-4
15,1,12,7,move1,move2,mobilize,1,move2,1-3,2-3,-1,-1
16,0,12,8,move1,move1,mobilize,1,move1,2-4,2-3,-1,-1
17,1,12,8,move1,move1,swap,2,swap,3-1,3-2,1-3,1-2
18,0,12,9,move1,move1,swap,2,swap,1-4,1-2,-1,-1
19,1,12,9,move1,move1,move1,2,move1,1-4,1-2,-1,-1
20,0,12,10,move1,move1,move1,0,move1,1-4,1-3,-1,-1
21,1,12,10,move1,move1,move1,0,move1,3-0,3-1,-1,-1
22,0,12,11,capture,move1,move1,0,capture,2-3,2-4,-1,-1
23,1,15,11,mobilize,move1,move1,0,mobilize,1-2,1-3,-1,-1
24,0,15,12,move1,move1,move1,0,move1,1-4,1-3,2-4,2-3
25,1,15,12,move1,move1,move1,0,move1,1-2,1-1,-1,-1
26,0,15,13,move1,move1,move1,0,move1,1-3,1-2,-1,-1
27,1,15,13,capture,move1,move1,0,capture,1-1,2-1,-1,-1
28,0,15,17,swap,move1,move1,0,swap,2-2,2-1,-1,-1
29,1,15,17,capture,move1,move1,0,capture,1-0,1-2,-1,-1
30,0,15,21,move1,move1,move1,0,move1,2-2,3-2,-1,-1
31,1,15,21,move2,move1,move1,0,move2,3-1,2-1,-1,-1
32,0,15,22,move2,move2,move1,1,move2,1-0,1-1,-1,-1
33,1,15,22,move2,move2,move1,0,move2,2-0,3-1,-1,-1
34,0,15,23,move2,move2,move1,0,move2,1-1,2-0,-1,-1
35,1,15,23,move1,move2,move1,0,move1,1-2,1-1,-1,-1
36,0,15,24,move1,mobilize,move1,1,mobilize,2-3,1-2,-1,-1
37,1,15,24,move1,move1,move1,1,move1,3-1,3-0,1-1,1-0
38,0,15,25,move2,move1,move1,0,move2,1-2,1-1,-1,-1
