turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,1,capture,3-0,2-1,-1,-1
2,0,0,0,capture,capture,mobilize,0,capture,1-4,1-3,3-4,3-3
3,1,3,0,move2,capture,mobilize,0,move2,2-1,2-4,2-0,-1
4,0,3,3,move2,swap,mobilize,1,swap,1-3,1-0,1-4,-1
5,1,4,3,move2,swap,swap,2,swap,1-0,1-1,2-1,2-2
6,0,4,3,move2,swap,swap,1,swap,1-4,1-1,-1,-1
7,1,5,3,move2,move1,swap,1,move1,1-4,1-1,-1,-1
8,0,5,3,move2,move2,swap,1,move2,3-3,2-3,-1,-1
9,1,6,3,mobilize,move2,swap,0,mobilize,1-1,0-2,-1,-1
10,0,6,4,mobilize,move2,mobilize,2,mobilize,1-4,2-2,-1,-1
11,1,6,4,move2,move2,mobilize,0,move2,0-2,0-1,2-0,1-0
12,0,6,5,capture,move2,mobilize,0,capture,1-3,1-2,-1,-1
13,1,6,5,capture,move2,move1,2,move1,1-0,2-0,1-4,1-3
14,0,6,9,move2,move2,move1,0,move2,2-2,2-0,2-3,-1
15,1,6,9,move2,move2,swap,2,swap,0-1,1-1,-1,-1
16,0,6,10,move2,move2,move1,2,move1,2-3,1-1,-1,-1
17,1,6,10,move2,move2,move1,0,move2,1-0,2-1,-1,-1
18,0,6,11,capture,move2,move1,0,capture,1-1,0-2,-1,-1
19,1,9,11,move1,move2,move1,0,move1,2-3,2-2,-1,-1
20,0,9,11,move1,move1,move1,1,move1,1-4,0-3,-1,-1
21,1,10,11,move1,move1,mobilize,2,mobilize,2-3,2-2,-1,-1
22,0,10,11,capture,move1,mobilize,0,capture,0-2,0-1,-1,-1
23,1,14,11,move1,move1,mobilize,0,move1,2-2,1-2,-1,-1
24,0,14,11,move1,move1,move1,2,move1,1-4,0-4,0-1,0-2
25,1,15,11,move1,move1,move1,0,move1,2-1,3-1,-1,-1
26,0,15,11,swap,move1,move1,0,swap,0-4,1-4,-1,-1
27,1,16,11,swap,move2,move1,1,move2,1-3,1-2,-1,-1
28,0,16,11,move1,move2,move1,0,move1,1-4,1-2,-1,-1
29,1,17,11,move1,mobilize,move1,1,mobilize,3-1,3-3,-1,-1
30,0,17,11,move1,mobilize,move1,0,move1,0-3,1-3,-1,-1
31,1,18,11,move1,mobilize,move2,2,move2,1-4,0-4,-1,-1
32,0,18,11,move1,mobilize,move2,0,move1,1-3,0-3,-1,-1
33,1,19,11,move1,capture,move2,1,capture,3-3,4-3,0-4,1-4
34,0,19,14,move1,swap,move2,1,swap,1-2,2-2,-1,-1
35,1,19,14,move1,swap,move1,2,move1,1-0,0-1,-1,-1
36,0,19,15,capture,swap,move1,0,capture,1-2,2-2,-1,-1
37,1,20,15,capture,move2,move1,1,move2,1-4,2-2,-1,-1
38,0,20,18,capture,move2,move1,0,capture,0-2,0-1,-1,-1
39,1,21,18,capture,move2,swap,2,swap,4-3,3-3,-1,-1
40,0,21,18,capture,mobilize,swap,1,mobilize,0-2,1-3,-1,-1
41,1,22,18,capture,mobilize,mobilize,2,mobilize,3-3,1-3,-1,-1
42,0,22,21,swap,mobilize,mobilize,0,swap,1-4,1-3,-1,-1
43,1,23,21,swap,move2,mobilize,1,move2,1-0,0-0,2-0,2-1
44,0,23,21,swap,move2,move1,2,move1,1-4,1-3,3-3,2-3
45,1,24,21,move2,move2,move1,0,move2,2-1,2-3,-1,-1
46,0,24,21,mobilize,move2,move1,0,mobilize,2-1,1-2,-1,-1
47,1,25,21,mobilize,move2,move1,0,mobilize,0-0,0-1,2-3,2-4
48,0,25,21,mobilize,move1,move1,1,move1,0-3,0-2,-1,-1
49,1,26,21,move2,move1,move1,0,move2,0-1,1-1,2-4,1-4
50,0,26,21,move2,capture,move1,1,capture,0-2,0-3,-1,-1
51,1,30,21,move2,capture,move1,1,capture,1-4,1-3,-1,-1
52,0,30,24,move2,swap,move1,1,swap,1-2,1-1,-1,-1
53,1,31,24,move2,swap,swap,2,swap,1-0,0-0,-1,-1
54,0,31,24,mobilize,swap,swap,0,mobilize,2-4,1-3,-1,-1
55,1,32,24,mobilize,move2,swap,1,move2,0-0,1-2,-1,-1
56,0,32,24,mobilize,move2,move1,2,move1,0-0,1-2,-1,-1
57,1,33,24,mobilize,move2,capture,2,capture,1-4,0-4,-1,-1
58,0,33,27,mobilize,move2,capture,2,capture,1-2,2-2,-1,-1
59,1,36,27,mobilize,move2,move1,2,move1,0-4,0-3,-1,-1
60,0,36,28,mobilize,move2,move1,0,mobilize,1-4,2-4,1-2,2-2
61,1,36,28,mobilize,swap,move1,1,swap,0-0,0-2,-1,-1
62,0,36,29,mobilize,swap,mobilize,2,mobilize,2-4,2-3,-1,-1
63,1,36,29,mobilize,swap,move2,2,move2,0-2,0-3,0-4,1-4
64,0,36,30,mobilize,swap,mobilize,2,mobilize,1-3,1-2,-1,-1
65,1,37,30,mobilize,move2,mobilize,1,move2,0-3,2-2,-1,-1
66,0,37,30,move1,move2,mobilize,0,move1,2-3,1-3,0-3,0-2
