turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,move2,move1,-1,None,-1,-1,-1,-1
1,1,0,0,capture,move2,move2,2,move2,3-0,4-0,-1,-1
2,0,0,0,capture,mobilize,move2,1,mobilize,1-4,2-3,-1,-1
3,1,0,0,capture,capture,move2,1,capture,1-0,0-0,4-0,4-1
4,0,0,3,swap,capture,move2,0,swap,2-3,2-0,2-4,-1
5,1,0,3,swap,capture,move1,2,move1,4-1,3-1,-1,-1
6,0,0,4,swap,capture,move2,2,move2,2-3,2-2,-1,-1
7,1,1,4,mobilize,capture,move2,0,mobilize,1-0,2-2,-1,-1
8,0,1,7,mobilize,move1,move2,1,move1,1-0,0-0,-1,-1
9,1,2,7,mobilize,move1,move2,2,move2,3-1,4-1,-1,-1
10,0,2,7,mobilize,move1,swap,2,swap,3-4,2-3,-1,-1
11,1,3,7,move1,move1,swap,0,move1,2-0,2-1,4-1,3-1
12,0,3,7,move1,move1,mobilize,2,mobilize,1-0,2-1,-1,-1
13,1,4,7,swap,move1,mobilize,0,swap,1-0,1-1,-1,-1
14,0,4,8,move2,move1,mobilize,0,move2,2-4,2-2,-1,-1
15,1,4,8,move2,move1,capture,2,capture,1-1,1-2,2-4,3-4
16,0,4,12,move2,move1,swap,2,swap,2-2,1-2,-1,-1
17,1,5,12,move2,move1,capture,2,capture,1-0,2-2,-1,-1
18,0,5,15,move2,move1,mobilize,2,mobilize,2-1,3-1,-1,-1
19,1,6,15,move1,move1,mobilize,0,move1,3-4,3-3,-1,-1
20,0,6,15,move1,move1,move1,2,move1,1-0,1-1,2-3,1-3
21,1,7,15,move1,move2,move1,1,move2,2-0,1-0,-1,-1
22,0,7,15,move1,mobilize,move1,1,mobilize,1-3,1-2,-1,-1
23,1,7,15,move1,capture,move1,1,capture,2-2,3-2,1-0,0-0
24,0,7,16,move1,capture,move1,0,move1,2-1,2-2,-1,-1
25,1,10,16,move1,move1,move1,1,move1,3-2,2-2,-1,-1
26,0,10,16,move2,move1,move1,0,move2,1-4,1-3,-1,-1
27,1,11,16,capture,move1,move1,0,capture,3-3,2-2,-1,-1
28,0,11,19,mobilize,move1,move1,0,mobilize,1-2,2-2,-1,-1
29,1,12,19,mobilize,move1,move1,0,mobilize,3-2,2-2,0-0,0-1
30,0,12,19,mobilize,capture,move1,1,capture,1-1,2-1,-1,-1
31,1,12,19,mobilize,capture,move1,0,mobilize,2-2,3-2,1-0,0-0
32,0,12,20,mobilize,capture,swap,2,swap,2-1,2-2,-1,-1
33,1,13,20,mobilize,capture,move2,2,move2,3-2,2-2,-1,-1
34,0,13,23,mobilize,capture,move2,1,capture,3-2,2-2,-1,-1
35,1,13,23,move1,capture,move2,0,move1,1-0,2-0,0-1,0-2
36,0,13,26,move1,move1,move2,1,move1,1-2,0-2,-1,-1
37,1,13,26,move1,move1,move2,1,move1,2-0,3-0,-1,-1
38,0,13,27,swap,move1,move2,0,swap,3-2,2-2,-1,-1
39,1,13,27,swap,move1,mobilize,2,mobilize,1-0,2-0,-1,-1
40,0,13,27,capture,move1,mobilize,0,capture,2-2,2-0,-1,-1
41,1,17,27,move1,move1,mobilize,0,move1,3-0,2-0,-1,-1
42,0,17,27,mobilize,move1,mobilize,0,mobilize,1-3,2-3,-1,-1
43,1,18,27,mobilize,move1,move1,2,move1,3-0,2-0,0-0,1-0
44,0,18,27,move2,move1,move1,0,move2,1-4,2-4,1-2,1-3
45,1,19,27,move2,move1,move1,0,move2,2-0,1-1,-1,-1
46,0,19,27,move1,move1,move1,0,move1,2-4,1-4,-1,-1
47,1,20,27,capture,move1,move1,0,capture,1-1,0-1,-1,-1
48,0,20,30,move2,move1,move1,0,move2,1-3,1-0,1-4,-1
49,1,21,30,move2,swap,move1,1,swap,0-1,1-1,-1,-1
50,0,21,30,move2,swap,move1,1,swap,1-4,1-1,-1,-1
51,1,22,30,move2,swap,move2,2,move2,1-4,2-4,-1,-1
52,0,22,30,mobilize,swap,move2,0,mobilize,1-1,1-2,-1,-1
53,1,23,30,mobilize,move1,move2,1,move1,2-4,1-3,-1,-1
54,0,23,30,mobilize,move1,move2,2,move2,2-4,3-3,-1,-1
55,1,24,30,mobilize,move1,move1,2,move1,1-0,0-1,-1,-1
56,0,24,30,mobilize,move1,move1,1,move1,3-3,3-2,-1,-1
57,1,25,30,mobilize,move1,move2,2,move2,0-1,0-0,-1,-1
58,0,25,30,mobilize,capture,move2,1,capture,3-2,3-3,-1,-1
59,1,29,30,mobilize,move2,move2,1,move2,1-3,1-2,-1,-1
60,0,29,30,mobilize,move1,move2,1,move1,1-4,2-4,-1,-1
61,1,30,30,mobilize,move1,move1,2,move1,0-0,0-1,-1,-1
62,0,30,30,mobilize,capture,move1,1,capture,2-4,3-4,-1,-1
63,1,34,30,mobilize,move2,move1,1,move2,1-3,2-3,-1,-1
64,0,34,30,capture,move2,move1,0,capture,3-4,2-4,3-3,2-3
65,1,38,30,mobilize,move2,move1,0,mobilize,2-2,2-3,-1,-1
66,0,38,30,mobilize,mobilize,move1,1,mobilize,3-4,2-3,-1,-1
67,1,39,30,capture,mobilize,move1,0,capture,1-3,1-2,0-1,1-1
68,0,39,33,swap,mobilize,move1,0,swap,2-3,2-2,-1,-1
69,1,39,33,swap,swap,move1,1,swap,1-2,0-2,1-0,2-0
70,0,39,33,swap,swap,swap,2,swap,1-4,1-3,-1,-1
71,1,39,33,swap,move1,swap,1,move1,1-1,1-3,-1,-1
72,0,39,33,move1,move1,swap,0,move1,1-1,1-3,-1,-1
73,1,39,33,move1,mobilize,swap,1,mobilize,0-2,0-1,-1,-1
74,0,39,34,mobilize,mobilize,swap,0,mobilize,2-3,2-2,-1,-1
75,1,40,34,mobilize,mobilize,move2,2,move2,2-0,2-2,-1,-1
76,0,40,34,move1,mobilize,move2,0,move1,1-3,2-3,2-0,2-1
77,1,41,34,move1,mobilize,capture,2,capture,0-1,0-0,-1,-1
78,0,41,37,move1,mobilize,move2,2,move2,2-1,1-1,-1,-1
79,1,42,37,move1,swap,move2,1,swap,0-0,0-1,1-0,1-1
80,0,42,37,move1,swap,mobilize,2,mobilize,2-1,3-2,-1,-1
81,1,43,37,move1,swap,move1,2,move1,0-1,0-2,1-1,1-2
82,0,43,37,move1,move1,move1,1,move1,2-4,1-2,-1,-1
83,1,44,37,mobilize,move1,move1,0,mobilize,2-4,3-4,-1,-1
84,0,44,37,move1,move1,move1,0,move1,1-2,1-3,3-2,3-3
85,1,45,37,move1,move2,move1,1,move2,3-4,4-4,-1,-1
86,0,45,37,move1,swap,move1,1,swap,1-3,2-4,-1,-1
87,1,46,37,move1,swap,swap,2,swap,4-4,4-3,-1,-1
88,0,46,37,mobilize,swap,swap,0,mobilize,2-4,3-4,-1,-1
89,1,47,37,mobilize,capture,swap,1,capture,4-3,3-3,-1,-1
90,0,47,40,mobilize,move2,swap,1,move2,2-3,3-3,-1,-1
91,1,48,40,move1,move2,swap,0,move1,0-2,0-3,1-0,1-1
92,0,48,40,move1,swap,swap,1,swap,3-4,3-3,-1,-1
93,1,49,40,move1,swap,capture,2,capture,0-3,3-3,-1,-1
94,0,49,43,move1,swap,capture,2,capture,2-3,3-3,-1,-1
95,1,53,43,move1,swap,mobilize,2,mobilize,2-2,2-3,-1,-1
96,0,53,43,move1,move1,mobilize,1,move1,1-4,1-1,-1,-1
97,1,54,43,move1,move1,move1,2,move1,1-0,2-0,1-4,1-3
98,0,54,43,move2,move1,move1,0,move2,0-3,0-2,-1,-1
99,1,55,43,move2,move1,move1,0,move2,1-3,1-2,-1,-1
100,0,55,43,move2,move1,move1,0,move2,0-2,0-1,-1,-1
