turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move2,move1,capture,0,move2,2-0,3-1,-1,-1
2,0,0,1,move1,move1,capture,0,move1,2-4,2-2,-1,-1
3,1,3,1,move1,move1,swap,2,swap,3-1,3-4,3-0,-1
4,0,3,2,mobilize,move1,swap,0,mobilize,1-4,1-3,-1,-1
5,1,3,2,mobilize,capture,swap,1,capture,3-1,4-1,-1,-1
6,0,3,2,swap,capture,swap,0,swap,2-2,3-2,2-4,1-4
7,1,3,2,swap,capture,swap,0,swap,4-1,3-2,-1,-1
8,0,3,2,move2,capture,swap,0,move2,1-3,1-0,-1,-1
9,1,6,2,move2,swap,swap,1,swap,1-3,1-4,-1,-1
10,0,6,2,mobilize,swap,swap,0,mobilize,1-0,2-1,-1,-1
11,1,6,2,capture,swap,swap,0,capture,1-3,1-2,3-0,2-0
12,0,6,2,capture,move1,swap,1,move1,2-1,2-0,-1,-1
13,1,9,2,move1,move1,swap,0,move1,2-1,2-0,-1,-1
14,0,9,2,mobilize,move1,swap,0,mobilize,2-4,2-3,-1,-1
15,1,10,2,capture,move1,swap,0,capture,1-2,2-2,3-2,3-1
16,0,10,5,mobilize,move1,swap,0,mobilize,4-1,3-1,-1,-1
17,1,11,5,mobilize,move1,move2,2,move2,2-1,4-1,-1,-1
18,0,11,5,mobilize,move1,move1,2,move1,1-4,2-4,-1,-1
19,1,12,5,mobilize,move1,move1,0,mobilize,1-0,1-1,4-1,3-1
20,0,12,5,move1,move1,move1,0,move1,2-3,3-3,2-4,1-4
21,1,13,5,move1,move1,move1,2,move1,1-1,1-0,-1,-1
22,0,13,5,move1,move1,capture,2,capture,2-1,2-0,-1,-1
23,1,14,5,move2,move1,capture,0,move2,1-0,0-0,-1,-1
24,0,14,5,move1,move1,capture,0,move1,2-0,1-1,-1,-1
25,1,15,5,move2,move1,capture,0,move2,0-0,1-0,-1,-1
26,0,15,5,mobilize,move1,capture,0,mobilize,1-4,1-3,-1,-1
27,1,19,5,mobilize,move1,move1,2,move1,1-0,1-1,-1,-1
28,0,19,5,swap,move1,move1,0,swap,3-3,4-3,1-4,2-4
29,1,20,5,mobilize,move1,move1,0,mobilize,1-0,1-3,-1,-1
30,0,20,5,swap,move1,move1,0,swap,2-4,1-4,1-0,1-1
31,1,21,5,swap,move2,move1,1,move2,3-1,4-1,-1,-1
32,0,21,5,swap,move2,move2,2,move2,4-3,3-3,-1,-1
33,1,22,5,swap,move1,move2,1,move1,4-1,3-1,-1,-1
34,0,22,5,swap,move1,swap,2,swap,3-3,4-2,-1,-1
35,1,23,5,swap,move1,capture,2,capture,3-1,1-1,-1,-1
36,0,23,5,swap,mobilize,capture,1,mobilize,4-2,3-2,-1,-1
37,1,24,5,capture,mobilize,capture,0,capture,1-1,1-4,-1,-1
38,0,24,5,capture,mobilize,capture,1,mobilize,3-2,4-2,3-1,3-0
39,1,25,5,capture,move1,capture,1,move1,1-3,2-3,1-4,2-4
40,0,25,5,capture,capture,capture,1,capture,1-1,1-2,-1,-1
41,1,29,5,move1,capture,capture,0,move1,2-2,1-2,-1,-1
42,0,29,5,move1,capture,capture,0,move1,3-0,3-1,-1,-1
43,1,33,5,move1,move2,capture,1,move2,2-4,1-4,-1,-1
44,0,33,5,move1,move2,capture,0,move1,3-1,2-1,-1,-1
45,1,37,5,move1,move2,move2,2,move2,2-2,2-1,2-3,-1
46,0,37,5,move1,move1,move2,1,move1,4-2,3-3,-1,-1
47,1,38,5,move1,move1,swap,2,swap,2-3,1-3,-1,-1
48,0,38,5,move1,move1,move2,2,move2,3-3,1-3,-1,-1
