turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,1,capture,swap,capture,2,capture,2-4,2-2,-1,-1
3,1,3,1,capture,swap,move1,2,move1,2-1,2-2,2-0,-1
4,0,3,1,capture,move1,move1,1,move1,2-4,2-1,-1,-1
5,1,6,1,swap,move1,move1,0,swap,2-0,2-1,-1,-1
6,0,6,1,swap,capture,move1,1,capture,1-3,1-2,-1,-1
7,1,9,1,swap,move2,move1,1,move2,2-4,1-4,-1,-1
8,0,9,2,swap,move2,move2,2,move2,1-2,2-2,-1,-1
9,1,10,2,mobilize,move2,move2,0,mobilize,2-4,2-2,-1,-1
10,0,10,2,mobilize,move2,move2,0,mobilize,1-4,1-3,2-4,2-3
11,1,11,2,mobilize,move2,move1,2,move1,3-0,3-1,-1,-1
12,0,11,2,move1,move2,move1,0,move1,1-3,1-2,2-3,2-4
13,1,12,2,move1,move2,capture,2,capture,3-1,2-1,-1,-1
14,0,12,5,move1,move2,move1,2,move1,1-2,2-2,-1,-1
15,1,13,5,move2,move2,move1,0,move2,2-1,2-2,-1,-1
16,0,13,5,capture,move2,move1,0,capture,1-2,2-1,-1,-1
17,1,17,5,mobilize,move2,move1,0,mobilize,2-0,2-1,-1,-1
18,0,17,5,mobilize,move2,move1,0,mobilize,1-4,1-3,2-4,2-3
19,1,18,5,move1,move2,move1,0,move1,1-0,1-1,2-0,3-0
20,0,18,5,move2,move2,move1,0,move2,1-3,1-2,-1,-1
21,1,19,5,move1,move2,move1,0,move1,3-0,2-1,-1,-1
22,0,19,5,swap,move2,move1,0,swap,1-2,1-3,-1,-1
23,1,20,5,swap,swap,move1,1,swap,1-1,1-2,-1,-1
24,0,20,6,mobilize,swap,move1,0,mobilize,3-4,2-2,-1,-1
25,1,21,6,mobilize,move1,move1,1,move1,2-1,2-2,-1,-1
26,0,21,6,capture,move1,move1,0,capture,1-3,1-4,2-3,2-4
27,1,25,6,mobilize,move1,move1,0,mobilize,3-4,2-4,-1,-1
28,0,25,6,move2,move1,move1,0,move2,1-4,1-3,2-4,2-3
29,1,26,6,move2,move1,move2,2,move2,3-4,3-3,-1,-1
30,0,26,6,capture,move1,move2,0,capture,1-3,1-4,-1,-1
31,1,30,6,move1,move1,move2,0,move1,3-3,2-3,-1,-1
32,0,30,6,move1,move1,move2,0,move1,1-4,1-3,-1,-1
33,1,31,6,move1,move1,mobilize,2,mobilize,3-3,4-4,-1,-1
34,0,31,6,move2,move1,mobilize,0,move2,1-3,1-4,-1,-1
35,1,32,6,move1,move1,mobilize,0,move1,4-4,4-2,-1,-1
36,0,32,6,swap,move1,mobilize,0,swap,1-4,1-3,-1,-1
37,1,33,6,swap,move1,swap,2,swap,1-2,0-2,4-2,3-2
38,0,33,7,mobilize,move1,swap,0,mobilize,2-4,2-2,-1,-1
39,1,34,7,mobilize,move1,move2,2,move2,3-2,2-2,-1,-1
40,0,34,7,swap,move1,move2,0,swap,1-3,1-2,3-2,3-1
41,1,35,7,swap,move1,move2,1,move1,2-4,1-4,-1,-1
42,0,35,8,capture,move1,move2,0,capture,3-1,2-2,-1,-1
43,1,38,8,move1,move1,move2,0,move1,3-1,2-1,-1,-1
44,0,38,9,move1,move1,capture,2,capture,2-4,1-3,-1,-1
45,1,38,9,capture,move1,capture,0,capture,0-2,0-1,-1,-1
46,0,38,13,move1,move1,capture,0,move1,1-3,1-4,-1,-1
47,1,38,13,move1,swap,capture,1,swap,1-0,0-0,-1,-1
