turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move1,move1,capture,0,move1,1-0,2-1,-1,-1
2,0,0,0,mobilize,move1,capture,0,mobilize,2-4,2-3,-1,-1
3,1,3,0,mobilize,move1,mobilize,2,mobilize,2-1,2-3,2-0,-1
4,0,3,0,mobilize,swap,mobilize,1,swap,2-4,2-3,-1,-1
5,1,4,0,move2,swap,mobilize,0,move2,2-1,2-2,3-0,3-1
6,0,4,0,move2,swap,move1,2,move1,1-4,1-3,3-4,2-4
7,1,5,0,move2,move2,move1,1,move2,2-0,2-3,-1,-1
8,0,5,0,swap,move2,move1,0,swap,2-0,1-1,-1,-1
9,1,6,0,swap,move2,move2,2,move2,3-1,2-1,-1,-1
10,0,6,0,move1,move2,move2,0,move1,1-1,2-3,-1,-1
11,1,7,0,swap,move2,move2,0,swap,1-1,1-2,-1,-1
12,0,7,1,move2,move2,move2,0,move2,2-4,2-2,-1,-1
13,1,7,1,move1,move2,move2,0,move1,2-1,1-1,-1,-1
14,0,7,2,move1,mobilize,move2,1,mobilize,1-3,0-2,-1,-1
15,1,7,2,move1,mobilize,capture,2,capture,2-4,1-3,-1,-1
16,0,7,6,move1,mobilize,mobilize,2,mobilize,0-2,1-2,-1,-1
17,1,7,6,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
18,0,7,7,move1,mobilize,mobilize,0,move1,0-2,0-3,-1,-1
19,1,7,7,mobilize,mobilize,mobilize,0,mobilize,1-2,1-3,-1,-1
20,0,7,8,capture,mobilize,mobilize,0,capture,0-3,0-2,2-3,3-3
21,1,7,8,capture,move2,mobilize,1,move2,1-3,1-2,1-1,2-1
22,0,7,12,swap,move2,mobilize,0,swap,2-2,2-1,-1,-1
23,1,8,12,capture,move2,mobilize,0,capture,1-0,2-2,-1,-1
24,0,8,15,move1,move2,mobilize,0,move1,0-2,1-2,-1,-1
25,1,9,15,move1,capture,mobilize,1,capture,3-0,2-1,-1,-1
26,0,9,18,move1,capture,mobilize,1,capture,1-0,2-0,-1,-1
27,1,13,18,move1,move2,mobilize,1,move2,2-0,1-0,-1,-1
28,0,13,18,move1,mobilize,mobilize,1,mobilize,1-4,1-3,-1,-1
29,1,14,18,capture,mobilize,mobilize,0,capture,2-1,3-1,-1,-1
30,0,14,18,capture,mobilize,mobilize,1,mobilize,0-2,1-2,3-3,2-3
31,1,18,18,move2,mobilize,mobilize,0,move2,2-2,1-2,-1,-1
32,0,18,18,move2,move2,mobilize,1,move2,1-4,2-4,1-3,1-2
33,1,19,18,swap,move2,mobilize,0,swap,3-1,2-1,-1,-1
34,0,19,18,swap,move2,mobilize,0,swap,2-4,2-1,-1,-1
35,1,20,18,move2,move2,mobilize,0,move2,2-4,2-1,-1,-1
36,0,20,18,move2,move2,mobilize,2,mobilize,2-4,1-4,2-3,1-3
37,1,21,18,move1,move2,mobilize,0,move1,2-0,3-1,-1,-1
38,0,21,18,move1,move1,mobilize,1,move1,1-4,0-3,-1,-1
39,1,22,18,capture,move1,mobilize,0,capture,3-1,3-2,-1,-1
40,0,22,21,capture,move1,mobilize,0,capture,1-2,2-2,-1,-1
41,1,23,21,capture,swap,mobilize,1,swap,3-2,2-2,-1,-1
42,0,23,24,move1,swap,mobilize,0,move1,1-2,1-0,1-3,-1
43,1,24,24,move1,move1,mobilize,1,move1,1-0,1-2,-1,-1
44,0,24,24,move1,move1,mobilize,0,move1,1-0,1-1,-1,-1
45,1,25,24,mobilize,move1,mobilize,0,mobilize,2-1,3-1,-1,-1
46,0,25,24,mobilize,move1,mobilize,1,move1,0-3,0-2,-1,-1
47,1,26,24,mobilize,swap,mobilize,1,swap,3-1,3-2,-1,-1
48,0,26,24,mobilize,capture,mobilize,1,capture,1-3,1-2,-1,-1
49,1,30,24,mobilize,move2,mobilize,1,move2,1-3,1-2,-1,-1
50,0,30,24,mobilize,move1,mobilize,1,move1,0-2,1-2,-1,-1
51,1,31,24,mobilize,move2,mobilize,1,move2,1-3,2-3,-1,-1
52,0,31,24,mobilize,swap,mobilize,1,swap,1-4,1-3,-1,-1
53,1,32,24,mobilize,move2,mobilize,1,move2,3-2,1-2,-1,-1
54,0,32,24,mobilize,move1,mobilize,1,move1,3-2,3-1,-1,-1
55,1,33,24,mobilize,swap,mobilize,1,swap,2-3,3-3,-1,-1
56,0,33,24,mobilize,move2,mobilize,1,move2,3-1,3-3,-1,-1
57,1,34,24,mobilize,move1,mobilize,1,move1,3-1,2-1,-1,-1
58,0,34,24,mobilize,move1,mobilize,1,move1,3-3,2-3,-1,-1
59,1,35,24,mobilize,move2,mobilize,1,move2,1-2,0-2,-1,-1
60,0,35,24,mobilize,swap,mobilize,1,swap,1-1,1-2,-1,-1
61,1,36,24,mobilize,capture,mobilize,1,capture,0-2,1-2,-1,-1
62,0,36,27,mobilize,mobilize,mobilize,1,mobilize,1-3,1-2,-1,-1
63,1,37,27,mobilize,mobilize,mobilize,0,mobilize,1-0,1-1,2-1,3-1
64,0,37,27,move1,mobilize,mobilize,0,move1,2-3,3-3,0-2,1-2
65,1,38,27,move1,move2,mobilize,1,move2,1-1,2-1,3-1,3-2
66,0,38,27,capture,move2,mobilize,0,capture,3-3,2-3,-1,-1
67,1,42,27,capture,move2,mobilize,0,capture,2-2,2-3,-1,-1
68,0,42,30,move1,move2,mobilize,0,move1,1-2,2-2,-1,-1
69,1,43,30,move1,move2,move1,2,move1,3-2,2-2,1-0,2-0
70,0,43,30,move1,mobilize,move1,1,mobilize,1-4,0-3,-1,-1
71,1,44,30,move2,mobilize,move1,0,move2,2-0,3-0,-1,-1
72,0,44,30,capture,mobilize,move1,0,capture,0-3,0-2,-1,-1
73,1,48,30,swap,mobilize,move1,0,swap,2-2,1-2,-1,-1
74,0,48,30,swap,mobilize,move2,2,move2,0-2,1-2,-1,-1
75,1,49,30,swap,mobilize,capture,2,capture,3-0,3-2,-1,-1
76,0,49,33,swap,mobilize,move1,2,move1,1-2,2-2,-1,-1
77,1,49,33,move1,mobilize,move1,0,move1,1-0,1-2,-1,-1
78,0,49,33,move1,mobilize,move1,0,move1,1-0,1-1,-1,-1
79,1,50,33,capture,mobilize,move1,0,capture,1-2,2-2,-1,-1
80,0,50,36,mobilize,mobilize,move1,0,mobilize,1-1,2-1,-1,-1
81,1,51,36,mobilize,mobilize,capture,2,capture,1-0,2-0,-1,-1
