turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,capture,move2,1,capture,2-4,2-1,-1,-1
3,1,3,0,move1,capture,move2,0,move1,2-4,1-4,-1,-1
4,0,3,3,move1,move1,move2,1,move1,2-1,2-0,-1,-1
5,1,4,3,move1,move1,swap,2,swap,2-4,2-2,-1,-1
6,0,4,4,move1,move1,capture,2,capture,1-4,2-2,-1,-1
7,1,4,4,move2,move1,capture,0,move2,1-0,2-0,-1,-1
8,0,4,8,move2,move1,move2,2,move2,2-1,2-0,-1,-1
9,1,4,8,mobilize,move1,move2,0,mobilize,1-4,1-2,-1,-1
10,0,4,9,mobilize,move1,mobilize,2,mobilize,3-4,2-4,-1,-1
11,1,4,9,move1,move1,mobilize,0,move1,1-2,1-1,3-0,2-0
12,0,4,10,move1,move1,move1,2,move1,2-1,3-1,2-4,2-3
13,1,4,10,capture,move1,move1,0,capture,1-1,2-1,-1,-1
14,0,4,14,move1,move1,move1,0,move1,3-1,2-1,-1,-1
15,1,4,14,move2,move1,move1,0,move2,2-0,2-1,-1,-1
16,0,4,15,move2,move1,capture,2,capture,3-1,3-2,-1,-1
17,1,7,15,move2,move1,mobilize,2,mobilize,2-1,2-2,-1,-1
18,0,7,16,move2,move1,mobilize,2,mobilize,1-4,1-3,3-2,2-2
19,1,7,16,move2,move1,mobilize,1,move1,3-0,2-0,-1,-1
20,0,7,17,move2,move1,move2,2,move2,1-3,1-2,2-3,2-4
21,1,7,17,move2,move1,move2,1,move1,1-0,1-1,-1,-1
22,0,7,18,move2,move1,swap,2,swap,1-2,1-4,-1,-1
23,1,8,18,move2,move1,swap,2,swap,2-0,2-2,-1,-1
24,0,8,19,move2,move1,mobilize,2,mobilize,2-4,2-2,-1,-1
25,1,8,19,move2,move1,move1,2,move1,2-4,2-3,1-1,1-2
26,0,8,20,move2,move1,move1,0,move2,2-0,3-0,-1,-1
27,1,8,20,move2,move2,move1,1,move2,2-3,1-3,-1,-1
28,0,8,21,move2,swap,move1,1,swap,1-4,2-4,-1,-1
29,1,8,21,move2,swap,swap,2,swap,2-1,1-1,-1,-1
30,0,8,22,capture,swap,swap,0,capture,3-0,2-0,-1,-1
31,1,11,22,move1,swap,swap,0,move1,1-2,2-2,-1,-1
32,0,11,22,move1,mobilize,swap,1,mobilize,2-0,1-2,-1,-1
33,1,11,22,move1,mobilize,mobilize,2,mobilize,2-0,1-2,-1,-1
34,0,11,22,mobilize,mobilize,mobilize,0,mobilize,2-0,2-1,-1,-1
35,1,12,22,swap,mobilize,mobilize,0,swap,1-3,2-3,1-2,2-2
36,0,12,22,swap,mobilize,capture,2,capture,2-4,3-4,2-1,3-1
37,1,13,22,swap,move2,capture,1,move2,2-3,1-3,1-1,1-2
38,0,13,25,swap,move2,move1,2,move1,1-4,1-3,-1,-1
39,1,14,25,swap,move2,move1,2,move1,1-0,1-1,-1,-1
40,0,14,26,swap,move2,move1,0,swap,3-4,2-2,-1,-1
41,1,15,26,capture,move2,move1,0,capture,3-4,2-2,-1,-1
42,0,15,26,capture,capture,move1,1,capture,1-4,2-4,-1,-1
43,1,16,26,capture,capture,move2,2,move2,1-1,2-1,-1,-1
44,0,16,29,capture,capture,move2,0,capture,3-1,2-1,-1,-1
45,1,17,29,capture,capture,move1,2,move1,1-0,1-1,-1,-1
46,0,17,29,capture,capture,move1,2,move1,2-4,2-3,-1,-1
47,1,21,29,mobilize,capture,move1,0,mobilize,2-2,2-3,-1,-1
