turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,2-0,2-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-3,3-4,3-3
3,1,0,0,swap,capture,mobilize,0,swap,1-0,2-0,-1,-1
4,0,0,0,move1,capture,mobilize,0,move1,2-4,2-1,-1,-1
5,1,3,0,move1,move1,mobilize,1,move1,2-0,2-1,-1,-1
6,0,3,0,mobilize,move1,mobilize,0,mobilize,3-3,2-3,-1,-1
7,1,3,0,mobilize,move1,mobilize,0,mobilize,2-0,2-1,3-0,3-1
8,0,3,1,mobilize,capture,mobilize,1,capture,2-3,2-2,-1,-1
9,1,6,1,mobilize,capture,mobilize,1,capture,2-1,2-2,-1,-1
10,0,6,4,mobilize,move2,mobilize,1,move2,1-4,2-4,-1,-1
11,1,7,4,mobilize,move2,mobilize,0,mobilize,2-1,2-2,1-0,1-1
12,0,7,4,mobilize,move2,mobilize,1,move2,3-4,2-3,-1,-1
13,1,8,4,move2,move2,mobilize,0,move2,1-1,2-1,3-1,3-2
14,0,8,4,capture,move2,mobilize,0,capture,1-4,2-4,-1,-1
15,1,12,4,swap,move2,mobilize,0,swap,2-2,2-3,-1,-1
16,0,12,5,move1,move2,mobilize,0,move1,1-4,2-2,-1,-1
17,1,12,5,move1,move2,mobilize,1,move2,2-1,1-2,-1,-1
18,0,12,6,move1,move2,mobilize,1,move2,2-4,2-3,-1,-1
19,1,12,6,capture,move2,mobilize,0,capture,3-2,3-1,-1,-1
20,0,12,10,move1,move2,mobilize,0,move1,1-3,1-2,-1,-1
21,1,12,10,move1,move2,move2,2,move2,1-0,2-0,3-1,2-1
22,0,12,11,swap,move2,move2,0,swap,1-3,1-2,-1,-1
23,1,13,11,move1,move2,move2,0,move1,1-4,2-2,-1,-1
24,0,13,11,move1,move2,move2,0,move1,2-3,1-3,-1,-1
25,1,14,11,move1,swap,move2,1,swap,2-0,3-1,-1,-1
26,0,14,12,move1,swap,move2,1,swap,1-4,2-2,-1,-1
27,1,14,12,move1,mobilize,move2,1,mobilize,1-4,1-2,-1,-1
28,0,14,13,move1,capture,move2,1,capture,1-4,2-4,1-3,2-3
29,1,17,13,move1,mobilize,move2,1,mobilize,1-2,2-2,-1,-1
30,0,17,13,capture,mobilize,move2,0,capture,1-4,1-3,-1,-1
31,1,20,13,mobilize,mobilize,move2,0,mobilize,1-2,1-3,-1,-1
32,0,20,13,mobilize,mobilize,swap,2,swap,1-4,1-3,-1,-1
33,1,21,13,move2,mobilize,swap,0,move2,1-2,2-2,3-1,3-2
34,0,21,14,move2,mobilize,swap,2,swap,2-4,2-2,-1,-1
35,1,22,14,move2,mobilize,capture,2,capture,2-4,2-2,-1,-1
36,0,22,17,move2,mobilize,move2,2,move2,2-3,2-2,-1,-1
37,1,23,17,move2,capture,move2,1,capture,1-0,2-0,3-2,2-2
38,0,23,20,move2,move1,move2,1,move1,2-3,2-2,-1,-1
39,1,23,20,move2,move1,move2,1,move1,1-0,1-1,-1,-1
40,0,23,21,swap,move1,move2,0,swap,1-3,2-2,-1,-1
41,1,24,21,capture,move1,move2,0,capture,2-0,2-2,-1,-1
42,0,24,24,move1,move1,move2,0,move1,2-0,2-1,-1,-1
43,1,24,24,move1,move1,move2,0,move1,2-2,1-2,-1,-1
44,0,24,25,move1,move1,move1,2,move1,2-0,2-2,-1,-1
45,1,24,25,move1,move1,move1,0,move1,1-2,1-3,-1,-1
46,0,24,26,move2,move1,move1,0,move2,2-3,3-3,-1,-1
47,1,24,26,move2,move1,move1,1,move1,1-3,1-2,-1,-1
48,0,24,27,move2,move2,move1,1,move2,3-3,2-3,-1,-1
49,1,24,27,move2,move2,move1,0,move2,1-0,2-1,-1,-1
50,0,24,28,mobilize,move2,move1,0,mobilize,2-4,3-3,-1,-1
51,1,24,28,mobilize,mobilize,move1,1,mobilize,2-1,1-0,-1,-1
52,0,24,29,mobilize,mobilize,capture,2,capture,3-3,3-2,-1,-1
53,1,27,29,mobilize,mobilize,swap,2,swap,1-2,2-2,-1,-1
54,0,27,29,mobilize,mobilize,mobilize,2,mobilize,1-4,1-2,-1,-1
55,1,27,29,move1,mobilize,mobilize,0,move1,1-4,1-3,1-0,2-0
56,0,27,30,move1,mobilize,mobilize,1,mobilize,3-2,3-3,1-2,2-2
57,1,27,30,move1,move2,mobilize,1,move2,1-3,1-2,2-0,1-0
58,0,27,31,capture,move2,mobilize,0,capture,3-3,3-2,-1,-1
59,1,30,31,move1,move2,mobilize,0,move1,1-2,2-2,-1,-1
60,0,30,32,move1,move2,capture,2,capture,3-2,2-2,1-4,2-4
61,1,33,32,move1,move2,move1,2,move1,1-2,2-2,-1,-1
62,0,33,32,mobilize,move2,move1,0,mobilize,2-3,1-3,-1,-1
63,1,34,32,mobilize,move2,move2,2,move2,1-2,2-2,-1,-1
64,0,34,32,mobilize,move2,move2,1,move2,2-4,2-3,-1,-1
65,1,35,32,move1,move2,move2,0,move1,1-1,2-1,1-0,2-0
66,0,35,32,move1,move2,move2,0,move1,1-4,2-4,-1,-1
67,1,36,32,move1,move2,move2,1,move2,2-0,1-1,-1,-1
68,0,36,32,swap,move2,move2,0,swap,2-4,1-4,-1,-1
69,1,37,32,capture,move2,move2,0,capture,1-1,2-3,-1,-1
70,0,37,35,swap,move2,move2,0,swap,1-1,2-1,-1,-1
71,1,38,35,move1,move2,move2,0,move1,1-0,1-3,-1,-1
72,0,38,35,move1,move2,move2,0,move1,1-4,2-4,-1,-1
73,1,39,35,move2,move2,move2,0,move2,1-3,1-2,-1,-1
74,0,39,35,move1,move2,move2,0,move1,2-4,1-3,-1,-1
75,1,40,35,move1,move2,move2,1,move2,2-3,3-2,-1,-1
76,0,40,35,move1,swap,move2,1,swap,1-0,0-1,-1,-1
77,1,41,35,move1,capture,move2,1,capture,3-2,1-1,-1,-1
78,0,41,38,move1,move2,move2,1,move2,0-1,1-1,-1,-1
79,1,42,38,mobilize,move2,move2,0,mobilize,1-0,1-1,-1,-1
80,0,42,38,mobilize,move2,move2,0,mobilize,1-3,2-3,3-2,3-3
81,1,43,38,mobilize,capture,move2,1,capture,1-1,2-1,-1,-1
82,0,43,41,mobilize,capture,move2,1,capture,2-3,2-2,-1,-1
83,1,44,41,capture,capture,move2,0,capture,1-0,1-1,1-2,2-2
84,0,44,44,move1,capture,move2,0,move1,0-1,1-1,-1,-1
85,1,48,44,move1,swap,move2,1,swap,2-2,2-3,-1,-1
86,0,48,44,move1,swap,move2,1,swap,3-3,2-1,-1,-1
87,1,49,44,move1,move2,move2,1,move2,1-0,2-1,-1,-1
88,0,49,44,move1,move2,move2,1,move2,1-4,1-2,-1,-1
89,1,50,44,mobilize,move2,move2,0,mobilize,3-3,3-2,-1,-1
90,0,50,44,mobilize,move2,move2,0,mobilize,0-1,0-2,1-0,1-1
91,1,51,44,mobilize,move2,move2,1,move2,2-1,3-1,-1,-1
92,0,51,44,mobilize,mobilize,move2,1,mobilize,0-2,1-3,-1,-1
93,1,52,44,mobilize,mobilize,move1,2,move1,3-1,4-2,-1,-1
94,0,52,44,mobilize,mobilize,capture,2,capture,1-2,0-2,-1,-1
95,1,56,44,mobilize,mobilize,swap,2,swap,2-2,0-2,3-2,-1
96,0,56,45,mobilize,mobilize,swap,2,swap,1-4,2-2,-1,-1
97,1,57,45,mobilize,mobilize,move1,2,move1,1-4,2-2,-1,-1
98,0,57,45,mobilize,mobilize,move1,2,move1,1-1,1-2,-1,-1
99,1,58,45,mobilize,mobilize,capture,2,capture,4-2,4-1,-1,-1
100,0,58,48,mobilize,mobilize,move1,2,move1,1-2,2-2,-1,-1
