turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,move1,move2,-1,None,-1,-1,-1,-1
1,1,0,0,swap,move1,move1,2,move1,1-0,2-1,-1,-1
2,0,0,0,swap,move1,move1,1,move1,2-4,2-3,-1,-1
3,1,0,0,swap,swap,move1,1,swap,3-0,3-1,-1,-1
4,0,0,0,swap,swap,swap,2,swap,3-4,2-4,-1,-1
5,1,0,0,move1,swap,swap,0,move1,3-1,2-3,-1,-1
6,0,0,0,move1,swap,capture,2,capture,2-4,2-3,-1,-1
7,1,3,0,move1,swap,capture,2,capture,2-4,1-4,-1,-1
8,0,3,1,move2,swap,capture,0,move2,2-3,2-2,-1,-1
9,1,6,1,move2,swap,mobilize,2,mobilize,2-1,2-2,-1,-1
10,0,6,1,mobilize,swap,mobilize,0,mobilize,3-4,2-3,-1,-1
11,1,6,1,mobilize,mobilize,mobilize,1,mobilize,2-0,2-3,-1,-1
12,0,6,1,mobilize,mobilize,mobilize,0,mobilize,3-1,4-1,2-0,3-0
13,1,7,1,move1,mobilize,mobilize,0,move1,2-1,2-2,2-3,3-3
14,0,7,1,move1,mobilize,move2,2,move2,1-4,1-3,3-0,4-0
15,1,8,1,capture,mobilize,move2,0,capture,2-4,2-3,-1,-1
16,0,8,1,capture,capture,move2,1,capture,1-3,1-4,4-0,3-0
17,1,9,1,capture,capture,move2,2,move2,3-3,3-2,-1,-1
18,0,9,1,capture,capture,move1,2,move1,3-0,2-0,-1,-1
19,1,13,1,mobilize,capture,move1,0,mobilize,2-2,2-0,2-3,-1
20,0,13,1,mobilize,capture,capture,2,capture,2-4,3-4,-1,-1
21,1,13,1,move2,capture,capture,0,move2,2-2,2-1,2-3,3-3
22,0,13,1,move1,capture,capture,0,move1,3-4,4-3,-1,-1
23,1,16,1,move1,move1,capture,1,move1,3-3,4-3,-1,-1
24,0,16,1,move1,swap,capture,1,swap,4-1,3-1,-1,-1
25,1,19,1,move1,swap,move2,2,move2,2-1,3-1,-1,-1
26,0,19,1,move1,swap,capture,2,capture,2-4,2-3,-1,-1
27,1,22,1,move1,swap,capture,2,capture,3-3,3-4,-1,-1
28,0,22,1,move1,move2,capture,1,move2,2-4,3-3,-1,-1
29,1,25,1,move1,move2,move2,2,move2,3-2,3-3,-1,-1
30,0,25,1,move1,move2,move2,2,move2,1-4,0-4,-1,-1
31,1,26,1,swap,move2,move2,0,swap,3-2,2-2,-1,-1
32,0,26,1,swap,move2,swap,2,swap,0-4,0-2,-1,-1
33,1,27,1,mobilize,move2,swap,0,mobilize,2-1,2-3,-1,-1
34,0,27,1,mobilize,mobilize,swap,1,mobilize,0-2,0-0,-1,-1
35,1,28,1,mobilize,mobilize,move1,2,move1,2-4,2-1,-1,-1
36,0,28,1,mobilize,move1,move1,1,move1,0-0,0-1,3-4,3-3
37,1,29,1,mobilize,move1,move1,1,move1,2-1,3-1,-1,-1
38,0,29,1,mobilize,move2,move1,1,move2,3-3,4-3,-1,-1
39,1,30,1,mobilize,move2,move1,2,move1,3-1,2-1,-1,-1
