turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,capture,0,move1,1-0,1-1,3-0,3-1
2,0,0,0,move1,capture,capture,0,move1,2-4,2-3,-1,-1
3,1,0,0,move1,capture,capture,0,move1,1-1,2-1,-1,-1
4,0,0,1,move2,capture,capture,0,move2,2-3,2-2,-1,-1
5,1,3,1,move2,move1,capture,1,move1,2-1,2-2,-1,-1
6,0,3,2,move1,move1,capture,0,move1,2-4,2-2,-1,-1
7,1,6,2,move1,move1,capture,2,capture,2-1,2-2,-1,-1
8,0,6,2,swap,move1,capture,0,swap,2-4,2-3,-1,-1
9,1,9,2,swap,move1,move1,2,move1,2-1,2-3,2-0,-1
10,0,9,2,move2,move1,move1,0,move2,2-4,2-1,-1,-1
11,1,10,2,move2,move1,move1,0,move2,2-4,2-2,-1,-1
12,0,10,2,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
13,1,10,2,mobilize,move1,move1,0,mobilize,2-2,3-2,2-0,3-0
14,0,10,3,swap,move1,move1,0,swap,2-1,2-2,3-4,2-4
15,1,11,3,swap,move1,move1,0,swap,3-0,2-2,-1,-1
16,0,11,4,capture,move1,move1,0,capture,3-0,2-2,-1,-1
17,1,14,4,move1,move1,move1,0,move1,3-2,2-2,-1,-1
18,0,14,4,move2,move1,move1,0,move2,1-3,1-2,-1,-1
19,1,14,4,move1,move1,move1,0,move1,3-0,2-1,-1,-1
20,0,14,5,move2,move1,move1,0,move2,1-2,2-2,-1,-1
21,1,14,5,move2,swap,move1,1,swap,3-1,3-0,-1,-1
22,0,14,6,mobilize,swap,move1,0,mobilize,1-4,2-3,-1,-1
23,1,15,6,mobilize,capture,move1,1,capture,3-0,2-2,-1,-1
24,0,15,9,mobilize,move2,move1,1,move2,2-3,2-2,-1,-1
25,1,16,9,mobilize,move2,move1,0,mobilize,3-2,2-2,1-0,2-0
26,0,16,9,move1,move2,move1,0,move1,3-0,3-1,2-4,1-4
27,1,17,9,move1,move1,move1,1,move1,2-0,1-1,-1,-1
28,0,17,9,capture,move1,move1,0,capture,3-1,3-0,-1,-1
29,1,21,9,move2,move1,move1,0,move2,2-2,2-3,-1,-1
30,0,21,9,move2,move1,move1,0,move2,3-0,3-2,-1,-1
31,1,22,9,swap,move1,move1,0,swap,1-1,2-0,-1,-1
32,0,22,10,capture,move1,move1,0,capture,1-4,2-2,-1,-1
33,1,25,10,move2,move1,move1,0,move2,1-4,2-4,-1,-1
34,0,25,11,move1,move1,move1,0,move1,3-2,2-3,-1,-1
35,1,25,11,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
36,0,25,12,mobilize,swap,move1,1,swap,2-4,1-4,-1,-1
37,1,26,12,mobilize,swap,move1,1,swap,2-0,2-2,-1,-1
38,0,26,13,mobilize,swap,move1,1,swap,1-4,2-2,-1,-1
39,1,27,13,mobilize,capture,move1,1,capture,1-4,2-2,-1,-1
40,0,27,16,mobilize,move1,move1,1,move1,2-0,2-1,-1,-1
41,1,28,16,move1,move1,move1,0,move1,1-3,1-2,1-0,1-1
42,0,28,16,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
43,1,29,16,mobilize,move1,move1,1,move1,1-1,2-1,-1,-1
44,0,29,16,mobilize,move1,move1,0,mobilize,1-3,1-4,2-0,1-0
45,1,30,16,mobilize,mobilize,move1,1,mobilize,2-1,1-1,-1,-1
46,0,30,16,mobilize,mobilize,move1,0,mobilize,1-4,1-3,1-0,0-0
47,1,31,16,mobilize,mobilize,capture,2,capture,1-2,0-2,-1,-1
48,0,31,19,mobilize,mobilize,move2,2,move2,2-3,2-2,-1,-1
49,1,32,19,mobilize,mobilize,move2,2,move2,0-2,2-2,-1,-1
50,0,32,19,capture,mobilize,move2,0,capture,2-3,2-4,1-3,1-2
51,1,36,19,move1,mobilize,move2,0,move1,2-2,1-2,-1,-1
52,0,36,19,move1,mobilize,move2,0,move1,2-4,2-3,-1,-1
53,1,37,19,move1,mobilize,move2,1,mobilize,1-1,2-1,1-0,2-0
54,0,37,19,move2,mobilize,move2,0,move2,1-4,1-3,-1,-1
55,1,38,19,move1,mobilize,move2,0,move1,2-0,1-1,-1,-1
56,0,38,19,move1,mobilize,move2,0,move1,1-3,1-2,-1,-1
57,1,39,19,move1,mobilize,move1,2,move1,1-1,2-0,-1,-1
58,0,39,19,move1,mobilize,move1,0,move1,2-3,2-4,-1,-1
59,1,40,19,swap,mobilize,move1,0,swap,2-0,1-0,-1,-1
60,0,40,20,capture,mobilize,move1,0,capture,2-4,2-2,-1,-1
61,1,43,20,capture,mobilize,move1,0,capture,2-1,2-2,-1,-1
62,0,43,23,swap,mobilize,move1,0,swap,0-0,1-0,-1,-1
63,1,44,23,swap,move2,move1,1,move2,2-4,2-3,2-1,2-2
64,0,44,24,swap,move2,move1,0,swap,1-4,2-2,-1,-1
65,1,44,24,mobilize,move2,move1,0,mobilize,1-4,1-2,-1,-1
66,0,44,25,move2,move2,move1,0,move2,1-4,1-3,0-0,0-1
67,1,44,25,move2,move2,capture,2,capture,1-0,1-1,-1,-1
68,0,44,29,move2,move2,move2,2,move2,0-1,1-1,-1,-1
69,1,44,29,mobilize,move2,move2,0,mobilize,1-0,1-1,-1,-1
70,0,44,30,mobilize,move1,move2,1,move1,0-1,0-2,-1,-1
71,1,44,30,mobilize,move1,move2,1,move1,1-1,2-1,-1,-1
72,0,44,31,mobilize,move1,move2,2,move2,0-2,1-1,-1,-1
73,1,44,31,mobilize,move1,capture,2,capture,2-3,3-2,-1,-1
74,0,44,35,mobilize,move1,mobilize,2,mobilize,2-2,2-1,-1,-1
75,1,44,35,mobilize,swap,mobilize,1,swap,3-2,3-1,-1,-1
76,0,44,36,mobilize,capture,mobilize,1,capture,1-3,1-2,-1,-1
77,1,47,36,mobilize,move1,mobilize,1,move1,1-3,1-2,-1,-1
78,0,47,37,capture,move1,mobilize,0,capture,1-4,2-4,1-1,1-2
79,1,50,37,move2,move1,mobilize,0,move2,1-3,1-2,-1,-1
80,0,50,38,swap,move1,mobilize,0,swap,2-4,2-3,-1,-1
81,1,51,38,move1,move1,mobilize,0,move1,1-0,2-2,-1,-1
82,0,51,38,move2,move1,mobilize,0,move2,1-0,1-1,-1,-1
83,1,52,38,move2,move1,move2,2,move2,3-1,2-1,1-3,1-2
84,0,52,38,capture,move1,move2,0,capture,1-1,1-0,-1,-1
85,1,56,38,move1,move1,move2,0,move1,2-2,2-3,-1,-1
86,0,56,38,capture,move1,move2,0,capture,2-4,2-3,-1,-1
87,1,60,38,capture,move1,move2,0,capture,2-2,2-3,-1,-1
88,0,60,38,capture,move1,move2,1,move1,2-4,2-3,-1,-1
89,1,64,38,move2,move1,move2,0,move2,2-2,2-3,-1,-1
90,0,64,38,move2,move1,move2,0,move2,2-4,2-3,-1,-1
91,1,65,38,move2,move1,move2,1,move1,2-1,1-1,-1,-1
92,0,65,38,mobilize,move1,move2,0,mobilize,1-0,0-0,-1,-1
93,1,66,38,mobilize,swap,move2,1,swap,1-1,2-1,-1,-1
94,0,66,39,mobilize,capture,move2,1,capture,1-4,2-2,-1,-1
95,1,69,39,mobilize,swap,move2,1,swap,2-1,2-2,-1,-1
96,0,69,40,move1,swap,move2,0,move1,0-0,0-1,2-3,2-2
97,1,70,40,move1,mobilize,move2,1,mobilize,1-4,2-2,-1,-1
98,0,70,40,swap,mobilize,move2,0,swap,2-4,2-3,-1,-1
