turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,swap,move2,1,swap,1-0,1-1,3-0,3-1
2,0,0,0,move1,swap,mobilize,2,mobilize,1-4,2-3,-1,-1
3,1,0,0,move1,swap,mobilize,2,mobilize,1-1,2-1,2-0,1-0
4,0,0,0,mobilize,swap,mobilize,0,mobilize,3-4,3-3,-1,-1
5,1,0,0,move2,swap,mobilize,0,move2,1-0,2-0,3-1,4-1
6,0,0,1,capture,swap,mobilize,0,capture,3-3,2-2,-1,-1
7,1,1,1,capture,capture,mobilize,1,capture,2-1,2-2,-1,-1
8,0,1,4,capture,capture,mobilize,0,capture,2-1,2-0,-1,-1
9,1,1,4,capture,capture,move1,2,move1,2-2,1-2,1-0,2-0
10,0,1,7,move2,capture,move1,0,move2,2-1,2-0,-1,-1
11,1,2,7,move2,capture,move2,2,move2,1-2,2-2,-1,-1
12,0,2,10,move2,swap,move2,1,swap,2-3,2-2,-1,-1
13,1,2,10,move1,swap,move2,0,move1,2-0,3-1,-1,-1
14,0,2,11,swap,swap,move2,0,swap,2-1,2-2,-1,-1
15,1,3,11,swap,swap,move2,0,swap,1-0,2-2,-1,-1
16,0,3,12,move1,swap,move2,0,move1,1-0,2-2,-1,-1
17,1,3,12,move1,capture,move2,1,capture,3-1,2-3,-1,-1
18,0,3,16,move1,move1,move2,1,move1,2-4,2-3,-1,-1
19,1,3,16,move1,move1,move2,1,move1,2-0,3-0,-1,-1
20,0,3,17,mobilize,move1,move2,0,mobilize,2-4,2-3,-1,-1
21,1,3,17,mobilize,move1,move2,2,move2,4-1,4-3,-1,-1
22,0,3,18,mobilize,move1,capture,2,capture,3-1,3-3,-1,-1
23,1,3,18,move1,move1,capture,0,move1,3-0,4-0,1-0,0-0
24,0,3,22,move1,move1,move2,2,move2,3-3,4-3,-1,-1
25,1,3,22,move1,move1,move1,2,move1,4-0,4-2,-1,-1
26,0,3,23,capture,move1,move1,0,capture,3-3,3-2,-1,-1
27,1,3,23,capture,move1,swap,2,swap,1-0,2-0,-1,-1
28,0,3,27,swap,move1,swap,0,swap,3-2,4-2,-1,-1
29,1,4,27,mobilize,move1,swap,0,mobilize,1-0,2-2,-1,-1
30,0,4,28,mobilize,move1,move2,2,move2,1-0,2-2,-1,-1
31,1,4,28,mobilize,move1,swap,2,swap,0-0,0-2,-1,-1
32,0,4,29,mobilize,move1,swap,1,move1,3-2,3-3,-1,-1
33,1,4,29,move2,move1,swap,0,move2,0-2,1-2,2-0,3-0
34,0,4,30,move2,move1,mobilize,2,mobilize,3-3,1-2,-1,-1
35,1,4,30,move2,move1,move1,2,move1,1-0,1-1,3-3,4-3
36,0,4,31,move2,mobilize,move1,1,mobilize,2-3,1-3,-1,-1
37,1,4,31,move2,move2,move1,1,move2,1-1,0-1,4-3,4-2
38,0,4,32,move2,move2,mobilize,2,mobilize,1-3,2-3,-1,-1
39,1,4,32,move2,move2,capture,2,capture,4-2,4-3,3-0,4-0
40,0,4,33,move1,move2,capture,0,move1,1-2,1-3,-1,-1
41,1,4,33,move1,move2,capture,1,move2,4-3,4-1,-1,-1
42,0,4,34,capture,move2,capture,0,capture,1-3,1-2,-1,-1
43,1,4,34,capture,swap,capture,1,swap,0-1,1-0,-1,-1
44,0,4,35,capture,move2,capture,1,move2,1-2,1-0,-1,-1
45,1,4,35,capture,move1,capture,1,move1,4-1,3-0,-1,-1
