turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,swap,-1,None,-1,-1,-1,-1
1,1,0,0,capture,move2,swap,0,capture,1-0,1-1,3-0,3-1
2,0,0,0,capture,capture,swap,1,capture,1-4,2-3,-1,-1
3,1,0,0,capture,capture,capture,2,capture,3-1,3-4,-1,-1
4,0,0,3,move1,capture,capture,0,move1,2-3,2-0,2-4,-1
5,1,0,3,mobilize,capture,capture,0,mobilize,1-1,1-2,-1,-1
6,0,0,6,mobilize,move1,capture,1,move1,2-4,3-4,-1,-1
7,1,0,6,capture,move1,capture,0,capture,1-0,0-0,2-0,3-0
8,0,0,9,mobilize,move1,capture,0,mobilize,3-1,3-0,-1,-1
9,1,0,9,mobilize,capture,capture,1,capture,1-0,1-1,-1,-1
10,0,0,10,move1,capture,capture,0,move1,2-3,2-2,3-1,3-2
11,1,0,10,swap,capture,capture,0,swap,0-0,1-0,-1,-1
12,0,0,14,swap,move1,capture,1,move1,2-2,1-2,-1,-1
13,1,0,14,swap,move2,capture,1,move2,1-1,2-1,-1,-1
14,0,0,18,swap,move2,move1,2,move1,2-2,2-1,-1,-1
15,1,0,18,swap,move1,move1,1,move1,3-0,4-1,-1,-1
16,0,0,19,swap,move2,move1,1,move2,2-4,2-3,-1,-1
17,1,1,19,mobilize,move2,move1,0,mobilize,4-1,2-2,-1,-1
18,0,1,19,move2,move2,move1,0,move2,4-1,4-2,2-3,3-3
19,1,2,19,move2,move2,move2,2,move2,2-0,3-0,-1,-1
20,0,2,19,swap,move2,move2,0,swap,4-2,3-1,-1,-1
21,1,3,19,swap,move2,mobilize,2,mobilize,1-0,2-1,-1,-1
22,0,3,19,move1,move2,mobilize,0,move1,3-3,2-1,-1,-1
23,1,4,19,move1,move2,mobilize,0,move1,3-3,3-4,-1,-1
24,0,4,19,move1,move2,mobilize,1,move2,2-1,1-2,-1,-1
25,1,5,19,swap,move2,mobilize,0,swap,3-0,4-0,-1,-1
26,0,5,19,swap,move1,mobilize,1,move1,1-2,2-1,-1,-1
27,1,6,19,mobilize,move1,mobilize,0,mobilize,4-0,3-2,-1,-1
28,0,6,19,mobilize,move1,mobilize,1,move1,4-0,3-0,-1,-1
29,1,6,19,mobilize,mobilize,mobilize,1,mobilize,2-2,2-3,-1,-1
30,0,6,20,capture,mobilize,mobilize,0,capture,2-1,2-2,3-0,2-0
31,1,6,20,capture,capture,mobilize,1,capture,3-2,3-3,3-4,2-4
32,0,6,24,move1,capture,mobilize,0,move1,2-2,2-3,-1,-1
33,1,6,24,swap,capture,mobilize,0,swap,3-3,3-4,-1,-1
34,0,6,28,swap,capture,mobilize,1,capture,2-0,1-0,-1,-1
35,1,7,28,swap,capture,mobilize,0,swap,1-0,2-2,-1,-1
36,0,7,28,swap,capture,move2,2,move2,3-1,2-1,1-0,1-1
37,1,7,28,swap,capture,move2,2,move2,2-2,3-2,-1,-1
38,0,7,31,swap,move1,move2,1,move1,2-1,2-4,2-0,-1
39,1,7,31,swap,move1,move1,2,move1,3-2,4-3,-1,-1
40,0,7,31,mobilize,move1,move1,0,mobilize,2-0,1-0,-1,-1
41,1,7,31,swap,move1,move1,0,swap,3-4,4-4,4-3,3-3
42,0,7,32,swap,move2,move1,1,move2,2-1,2-2,-1,-1
43,1,7,32,swap,move1,move1,1,move1,3-3,3-1,-1,-1
44,0,7,32,capture,move1,move1,0,capture,2-2,2-0,-1,-1
45,1,8,32,capture,move1,move2,2,move2,4-4,4-3,-1,-1
46,0,8,32,capture,move1,move1,2,move1,2-0,2-1,-1,-1
47,1,9,32,capture,move2,move1,1,move2,4-3,4-2,-1,-1
48,0,9,35,mobilize,move2,move1,0,mobilize,2-1,3-1,-1,-1
