turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,swap,-1,None,-1,-1,-1,-1
1,1,0,0,capture,move2,swap,0,capture,1-0,1-1,3-0,3-1
2,0,0,0,capture,capture,swap,1,capture,2-4,1-3,-1,-1
3,1,0,0,capture,capture,capture,2,capture,1-1,1-3,-1,-1
4,0,0,3,capture,move1,capture,1,move1,1-4,1-3,-1,-1
5,1,3,3,mobilize,move1,capture,0,mobilize,1-0,1-1,-1,-1
6,0,3,3,move1,move1,capture,0,move1,2-4,2-3,3-4,3-3
7,1,3,3,capture,move1,capture,0,capture,3-1,4-1,-1,-1
8,0,3,3,capture,mobilize,capture,1,mobilize,1-4,2-4,-1,-1
9,1,3,3,capture,capture,capture,1,capture,1-0,1-1,4-1,4-0
10,0,3,6,capture,move1,capture,1,move1,2-3,2-0,2-4,-1
11,1,3,6,capture,swap,capture,1,swap,1-0,2-0,-1,-1
12,0,3,6,capture,move1,capture,1,move1,2-3,2-0,-1,-1
13,1,3,6,capture,move2,capture,1,move2,4-0,4-1,-1,-1
14,0,3,9,move1,move2,capture,0,move1,3-3,2-3,-1,-1
15,1,3,9,move1,move2,capture,0,move1,1-1,0-1,-1,-1
16,0,3,10,move1,move2,capture,1,move2,2-4,2-2,-1,-1
17,1,3,10,mobilize,move2,capture,0,mobilize,0-1,0-0,-1,-1
18,0,3,11,mobilize,move2,capture,1,move2,2-0,3-1,-1,-1
19,1,3,11,move2,move2,capture,0,move2,0-0,0-1,4-1,4-0
20,0,3,12,swap,move2,capture,0,swap,3-3,4-3,-1,-1
21,1,3,12,swap,mobilize,capture,1,mobilize,0-1,1-2,-1,-1
22,0,3,13,swap,move1,capture,1,move1,3-1,3-2,4-3,3-3
23,1,3,13,swap,move1,capture,1,move1,1-0,2-0,-1,-1
24,0,3,17,swap,move1,move2,2,move2,2-2,1-2,3-2,-1
25,1,4,17,swap,move1,move2,0,swap,2-0,2-2,-1,-1
26,0,4,18,move1,move1,move2,0,move1,3-3,2-2,-1,-1
27,1,4,18,move1,move1,mobilize,2,mobilize,4-0,4-1,-1,-1
28,0,4,19,move1,mobilize,mobilize,1,mobilize,2-0,2-1,-1,-1
29,1,4,19,move2,mobilize,mobilize,0,move2,1-0,0-0,-1,-1
30,0,4,20,move2,capture,mobilize,1,capture,2-1,3-1,3-2,4-2
31,1,4,20,capture,capture,mobilize,0,capture,0-0,2-0,-1,-1
32,0,4,24,move2,capture,mobilize,0,move2,4-2,4-1,-1,-1
33,1,4,24,move2,capture,swap,2,swap,3-3,4-3,1-0,0-0
34,0,4,28,move2,move1,swap,1,move1,4-2,4-3,-1,-1
35,1,4,28,mobilize,move1,swap,0,mobilize,0-0,0-2,-1,-1
36,0,4,29,move1,move1,swap,0,move1,3-1,4-1,4-2,3-2
37,1,5,29,move1,move1,move2,2,move2,2-0,2-2,-1,-1
38,0,5,29,move1,move1,move2,1,move1,4-1,3-1,-1,-1
39,1,5,29,move1,move1,capture,2,capture,2-2,1-3,-1,-1
40,0,5,29,move1,capture,capture,1,capture,3-1,3-0,-1,-1
41,1,5,29,move1,capture,capture,0,move1,1-3,1-4,-1,-1
42,0,5,32,move1,move2,capture,1,move2,2-0,1-0,3-0,-1
43,1,5,32,move1,move1,capture,1,move1,1-4,0-3,-1,-1
44,0,5,35,move1,move1,mobilize,2,mobilize,2-0,1-0,-1,-1
45,1,5,35,move1,move1,swap,2,swap,1-0,0-0,0-2,0-1
46,0,5,36,mobilize,move1,swap,0,mobilize,3-2,2-2,-1,-1
47,1,5,36,mobilize,capture,swap,1,capture,0-1,1-1,-1,-1
48,0,5,40,mobilize,move1,swap,1,move1,2-0,0-0,3-0,-1
