turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,swap,move1,2,move1,3-0,4-1,-1,-1
2,0,0,0,move2,swap,move1,0,move2,2-4,2-3,-1,-1
3,1,0,0,move2,swap,move1,0,move2,1-0,0-0,-1,-1
4,0,0,0,move2,swap,swap,2,swap,1-4,2-4,-1,-1
5,1,0,0,swap,swap,swap,0,swap,4-1,3-1,-1,-1
6,0,0,0,move2,swap,swap,0,move2,3-4,3-1,-1,-1
7,1,0,0,move2,mobilize,swap,1,mobilize,2-0,3-1,-1,-1
8,0,0,1,swap,mobilize,swap,0,swap,2-0,2-2,-1,-1
9,1,0,1,swap,move1,swap,1,move1,3-1,3-0,3-4,4-4
10,0,0,2,swap,mobilize,swap,1,mobilize,2-3,1-3,-1,-1
11,1,1,2,mobilize,mobilize,swap,0,mobilize,3-0,2-2,-1,-1
12,0,1,3,mobilize,mobilize,capture,2,capture,3-0,2-2,-1,-1
13,1,1,3,move1,mobilize,capture,0,move1,3-0,2-0,4-4,3-4
14,0,1,7,move1,mobilize,move1,2,move1,2-4,3-4,-1,-1
15,1,1,7,move1,move1,move1,1,move1,2-0,2-1,1-0,1-1
16,0,1,8,move1,move1,move1,0,move1,1-3,2-3,-1,-1
17,1,1,8,move1,move1,mobilize,2,mobilize,0-0,1-0,-1,-1
18,0,1,9,move1,move1,mobilize,0,move1,2-3,3-3,-1,-1
19,1,1,9,move1,mobilize,mobilize,1,mobilize,2-1,2-0,-1,-1
20,0,1,10,capture,mobilize,mobilize,0,capture,3-3,2-3,-1,-1
21,1,1,10,capture,capture,mobilize,1,capture,2-0,2-1,1-1,1-2
22,0,1,14,move2,capture,mobilize,0,move2,2-2,2-1,-1,-1
23,1,1,14,capture,capture,mobilize,0,capture,1-0,0-1,-1,-1
24,0,1,18,move2,capture,mobilize,0,move2,2-2,1-2,-1,-1
25,1,1,18,move2,capture,capture,2,capture,0-1,0-0,2-0,3-0
26,0,1,19,move2,capture,capture,0,move2,2-4,1-3,-1,-1
27,1,1,19,move1,capture,capture,0,move1,3-0,2-1,-1,-1
28,0,1,23,move1,swap,capture,1,swap,2-2,2-1,-1,-1
29,1,2,23,move1,swap,capture,1,swap,2-0,2-2,-1,-1
30,0,2,26,move1,swap,move1,2,move1,2-3,2-2,-1,-1
31,1,2,26,mobilize,swap,move1,0,mobilize,3-0,3-1,-1,-1
32,0,2,27,move1,swap,move1,0,move1,2-3,2-2,2-0,2-1
33,1,3,27,move1,capture,move1,1,capture,3-1,2-2,-1,-1
34,0,3,30,move1,move2,move1,1,move2,2-1,2-2,-1,-1
35,1,3,30,move1,move2,move1,2,move1,0-0,0-1,-1,-1
36,0,3,31,move1,swap,move1,1,swap,1-3,2-2,-1,-1
37,1,3,31,move1,capture,move1,1,capture,2-0,2-1,-1,-1
38,0,3,35,move1,mobilize,move1,1,mobilize,2-2,2-1,-1,-1
39,1,3,35,mobilize,mobilize,move1,0,mobilize,0-1,0-2,-1,-1
40,0,3,36,move1,mobilize,move1,0,move1,3-1,3-2,2-0,2-1
41,1,3,36,move1,move1,move1,1,move1,0-2,1-2,1-0,2-0
42,0,3,37,move2,move1,move1,0,move2,2-1,3-1,-1,-1
43,1,3,37,move1,move1,move1,0,move1,1-2,0-1,-1,-1
44,0,3,38,move2,move1,move1,0,move2,3-1,2-1,-1,-1
45,1,3,38,move2,move1,mobilize,2,mobilize,0-1,0-2,-1,-1
46,0,3,39,move2,capture,mobilize,1,capture,2-1,3-1,-1,-1
47,1,3,39,move1,capture,mobilize,0,move1,2-0,1-1,-1,-1
48,0,3,43,move1,move2,mobilize,1,move2,2-2,0-2,3-2,-1
49,1,3,43,move1,move2,move2,2,move2,1-0,2-0,3-0,4-0
50,0,3,44,mobilize,move2,move2,0,mobilize,3-1,2-1,-1,-1
51,1,3,44,mobilize,swap,move2,1,swap,1-1,1-3,-1,-1
52,0,3,45,mobilize,capture,move2,1,capture,3-2,2-0,-1,-1
53,1,3,45,move1,capture,move2,0,move1,4-0,4-1,1-3,1-2
54,0,3,49,move1,mobilize,move2,1,mobilize,2-2,3-2,-1,-1
55,1,3,49,move1,mobilize,move2,2,move2,1-2,2-3,-1,-1
56,0,3,50,move1,mobilize,capture,2,capture,2-0,3-1,-1,-1
57,1,3,50,move1,swap,capture,1,swap,1-0,1-1,4-1,4-0
58,0,3,54,move1,swap,move1,2,move1,2-1,1-1,-1,-1
59,1,3,54,move1,move1,move1,1,move1,2-3,3-1,-1,-1
60,0,3,55,capture,move1,move1,0,capture,2-1,1-1,-1,-1
61,1,3,55,capture,move2,move1,1,move2,3-1,3-0,-1,-1
62,0,3,59,swap,move2,move1,0,swap,1-1,1-0,-1,-1
63,1,3,59,swap,move1,move1,1,move1,4-0,4-2,-1,-1
64,0,3,60,swap,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
65,1,3,60,swap,move1,move1,1,move1,4-2,4-1,3-0,3-1
66,0,3,61,capture,move1,move1,0,capture,2-3,3-1,-1,-1
67,1,3,61,capture,move2,move1,1,move2,1-0,2-0,-1,-1
68,0,3,65,swap,move2,move1,0,swap,2-2,2-3,-1,-1
69,1,3,65,swap,swap,move1,1,swap,4-1,3-0,-1,-1
70,0,3,66,swap,swap,move1,2,move1,3-1,2-1,-1,-1
71,1,3,66,move1,swap,move1,0,move1,1-0,1-2,-1,-1
72,0,3,67,move1,mobilize,move1,1,mobilize,1-0,2-0,-1,-1
73,1,3,67,move1,mobilize,move1,1,mobilize,1-0,0-0,1-2,1-3
74,0,3,68,capture,mobilize,move1,0,capture,2-0,1-0,-1,-1
