turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move2,swap,-1,None,-1,-1,-1,-1
1,1,1,0,capture,move2,swap,0,capture,2-0,2-2,-1,-1
2,0,1,0,capture,move2,swap,1,move2,2-4,1-3,-1,-1
3,1,2,0,capture,move2,move1,2,move1,1-0,1-3,-1,-1
4,0,2,3,move1,move2,move1,0,move1,1-4,1-3,-1,-1
5,1,3,3,move1,move1,move1,1,move1,3-0,2-1,-1,-1
6,0,3,3,capture,move1,move1,0,capture,3-4,2-4,-1,-1
7,1,7,3,capture,move1,move1,0,capture,2-2,2-4,2-1,-1
8,0,7,6,capture,move1,move1,0,capture,1-0,2-0,-1,-1
9,1,11,6,move2,move1,move1,0,move2,2-2,2-4,2-1,-1
10,0,11,6,move1,move1,move1,0,move1,1-4,2-3,-1,-1
11,1,12,6,mobilize,move1,move1,0,mobilize,2-0,3-0,-1,-1
12,0,12,6,mobilize,mobilize,move1,1,mobilize,1-0,1-1,-1,-1
13,1,13,6,mobilize,mobilize,capture,2,capture,3-0,3-1,-1,-1
14,0,13,9,mobilize,mobilize,swap,2,swap,2-3,2-2,-1,-1
15,1,14,9,move1,mobilize,swap,0,move1,1-0,2-0,2-1,2-2
16,0,14,10,move1,mobilize,move2,2,move2,2-4,2-2,-1,-1
17,1,14,10,swap,mobilize,move2,0,swap,3-1,3-2,-1,-1
18,0,14,11,mobilize,mobilize,move2,0,mobilize,1-1,3-2,-1,-1
19,1,14,11,move1,mobilize,move2,0,move1,1-1,1-0,2-0,2-1
20,0,14,12,move1,mobilize,move2,0,move1,3-2,3-3,-1,-1
21,1,14,12,swap,mobilize,move2,0,swap,1-0,1-1,-1,-1
22,0,14,13,mobilize,mobilize,move2,0,mobilize,3-3,2-1,-1,-1
23,1,14,13,move2,mobilize,move2,0,move2,1-1,1-0,3-3,3-2
24,0,14,14,move1,mobilize,move2,0,move1,2-1,1-2,-1,-1
25,1,14,14,mobilize,mobilize,move2,0,mobilize,1-0,1-1,-1,-1
26,0,14,15,mobilize,mobilize,swap,2,swap,2-3,1-3,-1,-1
27,1,15,15,mobilize,mobilize,capture,2,capture,2-4,2-2,-1,-1
28,0,15,18,mobilize,mobilize,swap,2,swap,1-2,2-2,-1,-1
29,1,16,18,capture,mobilize,swap,0,capture,1-1,2-1,3-2,2-2
30,0,16,21,move1,mobilize,swap,0,move1,1-2,1-0,1-3,-1
31,1,17,21,move1,mobilize,move2,2,move2,1-0,1-2,-1,-1
32,0,17,21,move1,capture,move2,1,capture,1-0,1-1,2-4,1-4
33,1,21,21,move1,move1,move2,1,move1,1-2,1-3,-1,-1
34,0,21,21,move1,move1,move1,2,move1,2-4,1-3,-1,-1
35,1,22,21,move1,move1,move1,0,move1,1-2,0-2,-1,-1
36,0,22,21,swap,move1,move1,0,swap,1-1,1-2,-1,-1
37,1,23,21,capture,move1,move1,0,capture,0-2,1-2,-1,-1
38,0,23,24,move1,move1,move1,0,move1,1-3,1-2,-1,-1
39,1,24,24,mobilize,move1,move1,0,mobilize,1-0,2-0,-1,-1
40,0,24,24,mobilize,move2,move1,1,move2,0-2,0-3,-1,-1
41,1,25,24,mobilize,move1,move1,1,move1,2-0,3-1,-1,-1
42,0,25,24,mobilize,mobilize,move1,1,mobilize,1-4,2-4,-1,-1
43,1,26,24,mobilize,mobilize,capture,2,capture,3-1,3-2,-1,-1
44,0,26,24,move2,mobilize,capture,0,move2,0-3,0-4,2-4,1-4
45,1,27,24,move2,mobilize,capture,0,move2,3-2,2-3,-1,-1
46,0,27,27,move2,mobilize,move1,2,move1,1-3,2-3,-1,-1
47,1,28,27,move2,mobilize,move2,2,move2,1-0,2-0,-1,-1
48,0,28,27,move2,mobilize,move2,0,move2,0-4,0-3,-1,-1
49,1,29,27,swap,mobilize,move2,0,swap,2-0,3-1,-1,-1
50,0,29,28,move1,mobilize,move2,0,move1,0-3,2-2,-1,-1
51,1,29,28,mobilize,mobilize,move2,0,mobilize,0-3,0-2,-1,-1
52,0,29,29,capture,mobilize,move2,0,capture,1-3,2-3,1-4,2-4
53,1,32,29,move1,mobilize,move2,0,move1,2-1,2-2,-1,-1
54,0,32,29,swap,mobilize,move2,0,swap,1-4,1-3,-1,-1
55,1,33,29,swap,mobilize,move1,2,move1,0-2,2-2,-1,-1
56,0,33,30,move2,mobilize,move1,0,move2,1-3,2-2,-1,-1
57,1,33,30,swap,mobilize,move1,0,swap,2-1,1-2,-1,-1
58,0,33,31,capture,mobilize,move1,0,capture,2-4,1-3,-1,-1
59,1,36,31,mobilize,mobilize,move1,0,mobilize,2-4,2-3,-1,-1
60,0,36,32,mobilize,mobilize,capture,2,capture,1-3,2-3,-1,-1
61,1,39,32,mobilize,mobilize,move1,2,move1,2-4,2-3,-1,-1
62,0,39,33,move1,mobilize,move1,0,move1,1-4,1-3,3-4,3-3
63,1,39,33,move2,mobilize,move1,0,move2,2-4,2-3,-1,-1
64,0,39,34,move2,mobilize,move1,2,move1,3-3,3-2,-1,-1
65,1,39,34,swap,mobilize,move1,0,swap,1-2,1-1,-1,-1
66,0,39,35,mobilize,mobilize,move1,0,mobilize,1-3,2-3,-1,-1
67,1,39,35,move2,mobilize,move1,0,move2,1-1,1-0,1-3,1-2
68,0,39,36,move2,mobilize,capture,2,capture,2-3,3-3,-1,-1
69,1,42,36,move2,mobilize,capture,2,capture,3-1,3-2,-1,-1
70,0,42,40,move2,mobilize,move1,2,move1,2-2,1-2,-1,-1
71,1,42,40,move2,mobilize,move1,0,move2,1-0,1-2,-1,-1
72,0,42,41,move2,mobilize,move1,1,mobilize,3-3,2-3,1-4,2-4
73,1,42,41,move1,mobilize,move1,0,move1,1-2,2-1,-1,-1
74,0,42,42,swap,mobilize,move1,0,swap,2-4,3-4,-1,-1
75,1,43,42,move2,mobilize,move1,0,move2,2-0,2-2,-1,-1
76,0,43,42,move2,mobilize,move1,2,move1,2-3,3-3,-1,-1
77,1,44,42,move2,mobilize,mobilize,2,mobilize,3-1,3-2,-1,-1
78,0,44,42,mobilize,mobilize,mobilize,0,mobilize,2-0,3-1,-1,-1
79,1,45,42,move1,mobilize,mobilize,0,move1,2-1,1-1,3-2,4-2
80,0,45,42,capture,mobilize,mobilize,0,capture,3-1,3-2,-1,-1
81,1,49,42,move1,mobilize,mobilize,0,move1,2-2,3-2,-1,-1
82,0,49,42,move1,move1,mobilize,1,move1,3-3,2-3,1-4,2-4
83,1,50,42,move1,move1,swap,2,swap,1-1,2-1,4-2,3-2
84,0,50,43,move1,move1,swap,2,swap,3-4,2-2,-1,-1
85,1,51,43,move1,move1,capture,2,capture,3-4,2-2,-1,-1
86,0,51,46,move1,move1,mobilize,2,mobilize,2-3,2-2,-1,-1
87,1,52,46,move1,move1,move2,2,move2,1-0,2-0,3-2,2-2
88,0,52,46,move2,move1,move2,0,move2,3-4,3-3,-1,-1
89,1,53,46,move2,move1,move2,0,move2,2-0,1-1,-1,-1
90,0,53,46,move2,capture,move2,1,capture,3-3,3-4,-1,-1
91,1,57,46,move2,move1,move2,1,move1,2-2,2-3,-1,-1
92,0,57,46,move2,move1,move2,0,move2,1-4,2-3,-1,-1
93,1,58,46,move1,move1,move2,0,move1,1-1,2-0,-1,-1
94,0,58,46,move2,move1,move2,0,move2,3-4,3-3,-1,-1
95,1,59,46,capture,move1,move2,0,capture,2-0,1-1,-1,-1
96,0,59,49,move1,move1,move2,0,move1,2-3,2-2,-1,-1
97,1,60,49,move1,move1,move2,2,move2,1-1,2-2,-1,-1
98,0,60,49,move1,move1,move2,0,move1,3-3,3-4,-1,-1
99,1,61,49,swap,move1,move2,0,swap,1-0,2-0,-1,-1
100,0,61,50,move1,move1,move2,0,move1,3-4,2-2,-1,-1
