turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,2-0,2-1
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-1,-1,-1
3,1,3,0,move1,mobilize,mobilize,1,mobilize,1-4,2-4,-1,-1
4,0,3,0,move1,move2,mobilize,1,move2,1-1,1-2,2-4,2-3
5,1,4,0,move1,move2,capture,2,capture,1-4,1-3,2-1,2-2
6,0,4,3,move1,move2,move2,2,move2,1-2,1-3,-1,-1
7,1,5,3,move1,capture,move2,1,capture,1-0,2-1,-1,-1
8,0,5,6,move1,move1,move2,1,move1,1-2,2-2,-1,-1
9,1,6,6,move1,move1,move1,2,move1,2-1,2-2,-1,-1
10,0,6,6,move2,move1,move1,0,move2,3-4,2-4,-1,-1
11,1,7,6,move1,move1,move1,0,move1,1-0,2-1,-1,-1
12,0,7,6,capture,move1,move1,0,capture,1-2,1-3,-1,-1
13,1,11,6,capture,move1,move1,0,capture,2-2,2-3,-1,-1
14,0,11,6,capture,move2,move1,1,move2,1-3,2-3,-1,-1
15,1,15,6,move2,move2,move1,0,move2,2-2,2-3,-1,-1
16,0,15,6,swap,move2,move1,0,swap,3-4,2-3,-1,-1
17,1,16,6,swap,move2,move1,0,swap,2-1,2-3,-1,-1
18,0,16,6,move1,move2,move1,0,move1,1-4,2-3,-1,-1
19,1,17,6,move1,move1,move1,1,move1,1-4,1-2,-1,-1
20,0,17,6,move1,move1,move1,0,move1,2-1,1-1,-1,-1
21,1,18,6,move2,move1,move1,0,move2,3-0,3-1,-1,-1
22,0,18,6,move2,mobilize,move1,1,mobilize,1-1,2-1,-1,-1
23,1,19,6,move1,mobilize,move1,0,move1,3-1,3-2,-1,-1
24,0,19,6,mobilize,mobilize,move1,0,mobilize,2-4,1-4,-1,-1
25,1,20,6,swap,mobilize,move1,0,swap,1-2,1-1,3-2,3-1
26,0,20,6,move1,mobilize,move1,0,move1,1-4,1-1,-1,-1
27,1,21,6,move1,swap,move1,1,swap,1-4,1-3,3-1,3-2
28,0,21,6,move1,mobilize,move1,1,mobilize,1-1,3-2,-1,-1
29,1,22,6,move1,mobilize,move1,0,move1,1-3,1-2,-1,-1
30,0,22,6,swap,mobilize,move1,0,swap,3-2,3-1,-1,-1
31,1,23,6,move1,mobilize,move1,0,move1,1-2,2-1,-1,-1
32,0,23,6,move1,move2,move1,1,move2,2-3,1-3,3-1,3-2
33,1,24,6,move1,move1,move1,1,move1,1-1,2-0,-1,-1
34,0,24,6,capture,move1,move1,0,capture,3-2,3-3,-1,-1
35,1,28,6,capture,move1,move1,0,capture,2-2,1-2,-1,-1
36,0,28,6,capture,capture,move1,1,capture,3-3,2-3,-1,-1
37,1,32,6,mobilize,capture,move1,0,mobilize,2-2,2-3,-1,-1
38,0,32,6,mobilize,capture,move2,2,move2,1-3,2-3,-1,-1
