turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,mobilize,swap,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,swap,1,mobilize,1-0,1-1,2-0,2-1
2,0,0,0,swap,capture,swap,1,capture,1-4,1-3,3-4,3-3
3,1,0,0,capture,capture,swap,0,capture,1-1,1-3,-1,-1
4,0,0,3,capture,move1,swap,1,move1,1-1,2-1,-1,-1
5,1,3,3,capture,move1,swap,0,capture,1-0,1-1,-1,-1
6,0,3,3,capture,move2,swap,1,move2,2-4,2-3,-1,-1
7,1,6,3,mobilize,move2,swap,0,mobilize,1-3,2-3,-1,-1
8,0,6,3,move1,move2,swap,0,move1,1-4,0-4,3-3,3-2
9,1,7,3,move1,move2,swap,1,move2,1-3,2-2,-1,-1
10,0,7,3,move1,move2,swap,1,move2,2-4,1-4,-1,-1
11,1,8,3,move1,move2,move2,2,move2,3-0,3-2,-1,-1
12,0,8,3,move1,move1,move2,1,move1,0-4,0-3,-1,-1
13,1,9,3,move1,move1,mobilize,2,mobilize,1-0,1-2,-1,-1
14,0,9,3,move1,move1,move1,2,move1,0-3,1-3,1-4,2-4
15,1,10,3,move2,move1,move1,0,move2,1-2,1-1,-1,-1
16,0,10,3,move2,move1,move1,1,move1,3-0,3-1,-1,-1
17,1,11,3,move2,move1,move1,1,move1,1-1,2-1,-1,-1
18,0,11,3,move2,move1,swap,2,swap,3-1,4-1,-1,-1
19,1,12,3,move2,capture,swap,1,capture,3-2,3-1,-1,-1
20,0,12,4,move2,capture,swap,2,swap,1-3,2-2,-1,-1
21,1,15,4,move2,move1,swap,1,move1,3-1,4-1,-1,-1
22,0,15,5,move2,move1,move1,2,move1,1-4,1-3,-1,-1
23,1,15,5,mobilize,move1,move1,0,mobilize,1-4,0-4,-1,-1
24,0,15,6,mobilize,move1,move2,2,move2,1-3,2-3,-1,-1
25,1,15,6,capture,move1,move2,0,capture,0-4,0-3,3-1,3-0
26,0,15,10,mobilize,move1,move2,0,mobilize,2-2,2-1,2-3,-1
27,1,15,10,mobilize,move1,move1,2,move1,0-3,1-2,-1,-1
28,0,15,11,capture,move1,move1,0,capture,2-4,3-4,2-3,1-3
29,1,18,11,mobilize,move1,move1,0,mobilize,1-2,1-3,-1,-1
30,0,18,12,mobilize,move1,move1,2,move1,3-4,3-3,-1,-1
31,1,18,12,move2,move1,move1,0,move2,1-0,1-1,3-0,3-1
32,0,18,13,move1,move1,move1,0,move1,3-3,2-3,-1,-1
33,1,18,13,mobilize,move1,move1,0,mobilize,1-1,1-0,-1,-1
34,0,18,14,mobilize,capture,move1,1,capture,2-3,1-3,-1,-1
35,1,21,14,mobilize,capture,move1,1,capture,1-2,1-3,-1,-1
36,0,21,18,mobilize,move1,move1,1,move1,2-2,1-2,-1,-1
37,1,21,18,move2,move1,move1,0,move2,2-0,2-1,1-0,1-1
38,0,21,19,capture,move1,move1,0,capture,1-4,2-3,-1,-1
39,1,24,19,capture,move1,move1,0,capture,2-1,2-2,-1,-1
40,0,24,22,move1,move1,move1,0,move1,2-3,2-1,2-4,-1
41,1,24,22,mobilize,move1,move1,0,mobilize,1-1,1-2,-1,-1
42,0,24,23,mobilize,move2,move1,1,move2,2-3,2-2,-1,-1
43,1,24,23,move1,move2,move1,0,move1,1-0,1-1,3-1,3-0
44,0,24,24,move1,swap,move1,1,swap,1-4,2-3,-1,-1
45,1,25,24,move1,move2,move1,1,move2,3-0,2-2,-1,-1
46,0,25,24,move1,swap,move1,1,swap,2-4,0-4,-1,-1
47,1,26,24,move1,swap,move1,0,move1,1-1,2-1,-1,-1
48,0,26,25,move1,swap,move1,1,swap,3-0,2-2,-1,-1
49,1,27,25,move1,move2,move1,1,move2,3-0,2-2,-1,-1
50,0,27,25,mobilize,move2,move1,0,mobilize,2-3,1-3,-1,-1
51,1,28,25,mobilize,move2,swap,2,swap,2-1,1-1,-1,-1
52,0,28,25,swap,move2,swap,0,swap,1-3,0-3,3-0,4-0
53,1,29,25,swap,move2,swap,1,move2,1-1,2-1,-1,-1
54,0,29,26,swap,move2,capture,2,capture,0-3,2-2,-1,-1
55,1,32,26,swap,move2,move2,2,move2,0-3,0-4,-1,-1
56,0,32,27,swap,move2,move2,1,move2,1-4,2-4,-1,-1
57,1,33,27,mobilize,move2,move2,0,mobilize,0-3,2-2,-1,-1
58,0,33,27,mobilize,capture,move2,1,capture,4-0,2-0,-1,-1
59,1,37,27,mobilize,move1,move2,1,move1,2-2,2-4,2-1,-1
60,0,37,27,mobilize,move1,mobilize,2,mobilize,2-0,4-0,-1,-1
61,1,38,27,mobilize,move1,mobilize,1,move1,2-1,1-1,-1,-1
62,0,38,27,mobilize,move1,mobilize,1,move1,0-3,0-2,-1,-1
63,1,39,27,mobilize,swap,mobilize,1,swap,1-1,2-1,-1,-1
64,0,39,28,mobilize,capture,mobilize,1,capture,1-4,2-2,-1,-1
65,1,42,28,mobilize,mobilize,mobilize,1,mobilize,1-2,0-2,-1,-1
66,0,42,29,mobilize,move1,mobilize,1,move1,2-4,2-3,4-0,3-0
67,1,42,29,move2,move1,mobilize,0,move2,2-1,2-0,1-4,1-3
68,0,42,30,move2,mobilize,mobilize,1,mobilize,3-0,3-1,-1,-1
69,1,42,30,move1,mobilize,mobilize,0,move1,2-0,2-1,-1,-1
70,0,42,31,move1,mobilize,mobilize,1,mobilize,2-3,3-3,3-1,3-0
71,1,42,31,move1,mobilize,mobilize,0,move1,2-1,2-0,-1,-1
72,0,42,32,move1,mobilize,swap,2,swap,3-3,4-3,3-0,3-1
73,1,43,32,move1,mobilize,capture,2,capture,2-0,2-2,-1,-1
74,0,43,32,move1,move1,capture,1,move1,2-0,2-1,3-1,4-1
75,1,47,32,move1,move1,capture,2,capture,2-2,2-1,-1,-1
76,0,47,35,move1,move1,move1,2,move1,1-4,1-3,-1,-1
77,1,48,35,move2,move1,move1,0,move2,1-0,1-1,-1,-1
78,0,48,35,move2,move1,move1,1,move1,1-4,0-4,-1,-1
79,1,49,35,move2,swap,move1,1,swap,1-1,2-1,-1,-1
80,0,49,36,move2,move1,move1,1,move1,4-3,2-2,-1,-1
81,1,49,36,capture,move1,move1,0,capture,4-3,4-2,-1,-1
82,0,49,37,capture,move1,move1,2,move1,4-1,3-1,-1,-1
83,1,52,37,move2,move1,move1,0,move2,2-1,3-1,-1,-1
84,0,52,38,move2,move1,move1,0,move2,1-4,2-3,-1,-1
85,1,52,38,move2,move1,move1,0,move2,4-2,4-1,-1,-1
86,0,52,39,mobilize,move1,move1,0,mobilize,0-4,1-4,-1,-1
87,1,52,39,capture,move1,move1,0,capture,4-1,4-0,1-2,1-1
88,0,52,43,mobilize,move1,move1,0,mobilize,2-2,2-1,2-3,-1
89,1,52,43,move1,move1,move1,0,move1,4-0,4-1,1-1,1-2
90,0,52,44,swap,move1,move1,0,swap,1-4,1-3,-1,-1
91,1,53,44,move2,move1,move1,0,move2,4-1,2-2,-1,-1
92,0,53,44,mobilize,move1,move1,0,mobilize,1-3,0-4,-1,-1
93,1,54,44,mobilize,swap,move1,1,swap,1-0,1-1,-1,-1
94,0,54,45,mobilize,move1,move1,1,move1,2-3,2-2,-1,-1
95,1,54,45,capture,move1,move1,0,capture,2-3,2-4,1-1,1-0
96,0,54,49,mobilize,move1,move1,0,mobilize,2-2,1-2,-1,-1
97,1,54,49,move1,move1,move1,0,move1,2-4,2-3,2-0,2-1
98,0,54,50,move1,move1,capture,2,capture,0-4,0-3,-1,-1
99,1,57,50,move1,move1,capture,2,capture,2-3,2-2,-1,-1
100,0,57,50,move1,move2,capture,1,move2,1-4,1-3,-1,-1
