turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,1,0,move1,move1,capture,0,move1,2-0,2-2,-1,-1
2,0,1,0,mobilize,move1,capture,0,mobilize,1-4,1-3,-1,-1
3,1,2,0,mobilize,move1,capture,0,mobilize,1-0,1-1,3-0,3-1
4,0,2,0,mobilize,swap,capture,1,swap,1-3,1-4,-1,-1
5,1,3,0,move2,swap,capture,0,move2,1-1,1-2,3-1,2-1
6,0,3,1,move2,move1,capture,1,move1,3-4,2-2,-1,-1
7,1,6,1,move2,move1,move2,2,move2,3-4,2-4,-1,-1
8,0,6,2,swap,move1,move2,0,swap,1-4,2-3,-1,-1
9,1,7,2,move2,move1,move2,0,move2,3-4,2-2,-1,-1
10,0,7,2,move2,move1,move2,1,move1,3-4,3-3,-1,-1
11,1,8,2,move2,swap,move2,1,swap,1-2,1-1,-1,-1
12,0,8,3,move2,move2,move2,1,move2,2-4,2-2,-1,-1
13,1,8,3,move1,move2,move2,0,move1,1-1,1-0,-1,-1
14,0,8,4,mobilize,move2,move2,0,mobilize,3-3,3-2,-1,-1
15,1,8,4,capture,move2,move2,0,capture,1-0,1-1,2-4,1-4
16,0,8,8,mobilize,move2,move2,0,mobilize,2-2,2-1,-1,-1
17,1,8,8,move1,move2,move2,0,move1,1-1,1-2,1-4,1-3
18,0,8,9,move1,move2,move2,0,move1,2-3,3-3,-1,-1
19,1,8,9,mobilize,move2,move2,0,mobilize,1-3,1-4,-1,-1
20,0,8,10,mobilize,capture,move2,1,capture,3-3,4-2,-1,-1
21,1,11,10,mobilize,move2,move2,1,move2,1-2,2-2,-1,-1
22,0,11,11,mobilize,swap,move2,1,swap,2-4,2-2,-1,-1
23,1,12,11,mobilize,capture,move2,1,capture,1-4,2-2,-1,-1
24,0,12,14,mobilize,move1,move2,1,move1,3-2,2-2,-1,-1
25,1,13,14,mobilize,move1,capture,2,capture,2-0,2-2,-1,-1
26,0,13,17,mobilize,move1,mobilize,2,mobilize,3-2,2-2,-1,-1
