turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move1,-1,None,-1,-1,-1,-1
1,1,0,0,move2,swap,move1,0,move2,1-0,1-1,2-0,2-1
2,0,0,0,move2,swap,swap,2,swap,1-4,0-4,-1,-1
3,1,1,0,move2,swap,swap,0,move2,1-1,2-2,-1,-1
4,0,1,0,mobilize,swap,swap,0,mobilize,0-4,0-2,-1,-1
5,1,2,0,move1,swap,swap,0,move1,2-1,1-1,3-0,3-1
6,0,2,0,move1,swap,swap,1,swap,3-4,3-1,-1,-1
7,1,3,0,move1,swap,swap,0,move1,1-1,1-2,-1,-1
8,0,3,0,move1,swap,move1,2,move1,2-4,1-2,-1,-1
9,1,4,0,move1,move2,move1,1,move2,2-4,1-2,-1,-1
10,0,4,0,move1,move1,move1,1,move1,2-4,0-4,-1,-1
11,1,5,0,move2,move1,move1,0,move2,3-4,3-3,-1,-1
12,0,5,0,capture,move1,move1,0,capture,0-4,0-3,-1,-1
13,1,9,0,mobilize,move1,move1,0,mobilize,1-2,0-2,-1,-1
14,0,9,0,mobilize,mobilize,move1,1,mobilize,1-4,0-4,-1,-1
15,1,10,0,move1,mobilize,move1,0,move1,1-2,1-3,3-3,2-3
16,0,10,0,move1,move2,move1,1,move2,0-3,0-2,3-1,3-0
17,1,11,0,capture,move2,move1,0,capture,1-3,1-2,-1,-1
18,0,11,0,capture,move2,move1,1,move2,3-0,4-0,-1,-1
19,1,15,0,move1,move2,move1,0,move1,1-2,0-2,-1,-1
20,0,15,0,move1,mobilize,move1,1,mobilize,4-0,3-0,-1,-1
21,1,16,0,capture,mobilize,move1,0,capture,2-3,1-3,-1,-1
22,0,16,3,swap,mobilize,move1,0,swap,1-4,1-3,-1,-1
23,1,17,3,swap,mobilize,capture,2,capture,1-0,1-1,-1,-1
24,0,17,4,capture,mobilize,capture,0,capture,1-4,2-2,-1,-1
25,1,20,4,move1,mobilize,capture,0,move1,1-4,0-4,-1,-1
26,0,20,4,move1,mobilize,capture,0,move1,2-2,2-3,-1,-1
27,1,23,4,move1,mobilize,capture,2,capture,1-4,2-4,-1,-1
28,0,23,5,move1,capture,capture,1,capture,2-3,2-2,3-0,2-0
29,1,26,5,move1,swap,capture,1,swap,1-4,2-4,-1,-1
30,0,26,6,move2,swap,capture,0,move2,2-0,3-0,-1,-1
31,1,29,6,move2,swap,capture,2,capture,1-4,2-4,-1,-1
32,0,29,7,move2,mobilize,capture,1,mobilize,3-0,1-1,-1,-1
33,1,32,7,move2,mobilize,move1,2,move1,1-4,2-4,-1,-1
34,0,32,7,move2,move1,move1,1,move1,2-4,3-4,2-2,2-1
35,1,33,7,move2,move2,move1,1,move2,1-2,2-2,-1,-1
36,0,33,7,swap,move2,move1,0,swap,3-4,4-3,-1,-1
37,1,34,7,move2,move2,move1,0,move2,3-0,2-1,-1,-1
38,0,34,7,move2,mobilize,move1,1,mobilize,3-0,4-1,-1,-1
39,1,35,7,mobilize,mobilize,move1,0,mobilize,1-4,1-2,-1,-1
