turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,mobilize,swap,-1,None,-1,-1,-1,-1
1,1,0,0,swap,mobilize,swap,1,mobilize,1-0,1-1,2-0,2-1
2,0,0,0,capture,mobilize,swap,0,capture,2-4,2-1,-1,-1
3,1,3,0,capture,mobilize,swap,0,capture,2-4,1-4,-1,-1
4,0,3,3,move1,mobilize,swap,0,move1,2-1,1-1,-1,-1
5,1,3,3,capture,mobilize,swap,0,capture,2-4,2-3,-1,-1
6,0,3,4,capture,move2,swap,1,move2,1-4,2-4,2-1,2-2
7,1,6,4,mobilize,move2,swap,0,mobilize,2-3,2-4,-1,-1
8,0,6,5,move1,move2,swap,0,move1,1-4,1-3,3-4,3-3
9,1,7,5,move1,move2,move2,2,move2,1-0,2-2,-1,-1
10,0,7,5,move2,move2,move2,0,move2,1-3,1-2,-1,-1
11,1,8,5,move2,move2,move2,0,move2,3-0,3-2,-1,-1
12,0,8,5,move1,move2,move2,0,move1,1-2,2-1,-1,-1
13,1,9,5,move1,mobilize,move2,1,mobilize,2-3,1-2,-1,-1
14,0,9,5,move1,mobilize,move2,0,move1,1-0,1-1,-1,-1
15,1,10,5,move1,mobilize,move2,2,move2,1-2,2-3,-1,-1
16,0,10,5,move1,mobilize,move2,0,move1,1-1,1-0,-1,-1
17,1,11,5,move1,mobilize,move1,2,move1,2-3,1-2,-1,-1
18,0,11,5,swap,mobilize,move1,0,swap,1-0,1-1,-1,-1
19,1,12,5,capture,mobilize,move1,0,capture,3-2,2-1,-1,-1
20,0,12,8,swap,mobilize,move1,0,swap,1-1,1-2,-1,-1
21,1,13,8,move1,mobilize,move1,0,move1,1-0,1-1,-1,-1
22,0,13,8,move1,mobilize,move1,0,move1,1-0,0-0,-1,-1
23,1,14,8,mobilize,mobilize,move1,0,mobilize,1-1,1-2,-1,-1
24,0,14,8,move2,mobilize,move1,0,move2,3-2,3-1,3-3,2-3
25,1,15,8,capture,mobilize,move1,0,capture,1-2,1-1,-1,-1
26,0,15,11,mobilize,mobilize,move1,0,mobilize,3-1,2-1,-1,-1
27,1,16,11,swap,mobilize,move1,0,swap,1-1,2-1,1-0,2-0
28,0,16,12,capture,mobilize,move1,0,capture,3-1,2-2,-1,-1
29,1,19,12,mobilize,mobilize,move1,0,mobilize,2-1,2-2,-1,-1
30,0,19,13,mobilize,mobilize,move1,0,mobilize,1-4,1-3,2-3,2-2
31,1,19,13,move1,mobilize,move1,0,move1,3-1,3-2,2-1,1-1
32,0,19,14,move1,move2,move1,1,move2,1-3,1-2,0-0,0-1
33,1,19,14,move1,move2,move1,0,move1,1-1,1-0,-1,-1
34,0,19,15,swap,move2,move1,0,swap,0-1,1-1,-1,-1
35,1,20,15,move1,move2,move1,0,move1,1-0,2-2,-1,-1
36,0,20,15,move1,move2,move1,0,move1,1-1,0-1,-1,-1
37,1,21,15,move2,move2,move1,0,move2,2-0,2-1,-1,-1
38,0,21,15,capture,move2,move1,0,capture,1-2,2-3,-1,-1
39,1,25,15,capture,move2,move1,0,capture,2-2,2-3,-1,-1
40,0,25,15,capture,move2,move1,1,move2,1-4,1-2,-1,-1
41,1,29,15,swap,move2,move1,0,swap,2-2,1-2,-1,-1
42,0,29,16,move2,move2,move1,0,move2,1-4,2-2,-1,-1
43,1,29,16,move1,move2,move1,0,move1,3-2,3-1,-1,-1
44,0,29,17,capture,move2,move1,0,capture,1-0,1-1,-1,-1
45,1,32,17,move1,move2,move1,0,move1,2-1,1-1,-1,-1
46,0,32,18,move1,move2,move1,1,move2,0-1,1-2,-1,-1
47,1,32,18,mobilize,move2,move1,0,mobilize,3-1,3-0,-1,-1
48,0,32,19,mobilize,capture,move1,1,capture,1-2,2-3,-1,-1
49,1,35,19,mobilize,swap,move1,1,swap,1-4,2-4,-1,-1
50,0,35,20,mobilize,move2,move1,1,move2,2-4,2-1,-1,-1
51,1,35,20,mobilize,move1,move1,1,move1,3-0,3-2,-1,-1
52,0,35,21,mobilize,capture,move1,1,capture,2-3,1-3,-1,-1
53,1,38,21,mobilize,move2,move1,1,move2,1-4,1-3,-1,-1
54,0,38,22,mobilize,move2,move1,1,move2,3-4,2-3,-1,-1
55,1,38,22,mobilize,move2,move1,0,mobilize,1-4,1-3,2-4,3-4
56,0,38,23,mobilize,mobilize,move1,1,mobilize,2-1,1-2,-1,-1
57,1,38,23,swap,mobilize,move1,0,swap,1-3,1-4,3-4,3-3
58,0,38,24,swap,mobilize,capture,2,capture,2-3,1-3,-1,-1
59,1,41,24,swap,mobilize,capture,2,capture,1-4,1-3,-1,-1
60,0,41,28,swap,mobilize,move1,2,move1,2-2,3-2,-1,-1
61,1,42,28,move2,mobilize,move1,0,move2,1-0,2-2,-1,-1
62,0,42,28,move1,mobilize,move1,0,move1,1-0,1-1,-1,-1
63,1,43,28,move1,move2,move1,1,move2,1-4,1-3,3-3,2-3
64,0,43,28,move1,move2,move1,0,move1,1-1,1-0,-1,-1
65,1,44,28,move1,move2,move1,1,move2,2-3,3-2,-1,-1
66,0,44,28,mobilize,move2,move1,0,mobilize,1-0,1-1,-1,-1
67,1,45,28,mobilize,move2,move1,1,move2,1-3,2-3,-1,-1
68,0,45,28,move1,move2,move1,0,move1,1-1,1-0,2-4,1-4
69,1,46,28,move1,move2,move1,0,move1,2-3,3-3,-1,-1
70,0,46,28,mobilize,move2,move1,0,mobilize,1-0,1-1,-1,-1
71,1,47,28,mobilize,swap,move1,1,swap,3-3,4-2,-1,-1
72,0,47,29,mobilize,capture,move1,1,capture,1-4,2-2,-1,-1
73,1,50,29,mobilize,capture,move1,1,capture,3-2,2-2,-1,-1
74,0,50,32,mobilize,move1,move1,1,move1,2-4,1-4,-1,-1
75,1,51,32,swap,move1,move1,0,swap,1-0,2-0,3-2,2-2
76,0,51,33,swap,move1,move1,0,swap,2-4,2-2,-1,-1
77,1,52,33,move1,move1,move1,0,move1,4-2,2-2,-1,-1
78,0,52,33,move2,move1,move1,0,move2,1-1,1-0,-1,-1
79,1,53,33,move2,move2,move1,1,move2,2-0,2-1,-1,-1
80,0,53,33,mobilize,move2,move1,0,mobilize,1-0,1-1,-1,-1
81,1,54,33,mobilize,move2,mobilize,2,mobilize,2-4,2-3,-1,-1
82,0,54,33,swap,move2,mobilize,0,swap,1-1,1-0,4-2,4-1
83,1,55,33,capture,move2,mobilize,0,capture,2-3,1-2,-1,-1
84,0,55,36,move1,move2,mobilize,0,move1,2-3,2-2,-1,-1
85,1,56,36,move2,move2,mobilize,0,move2,1-2,2-2,-1,-1
86,0,56,36,move2,move2,mobilize,0,move2,1-0,1-1,-1,-1
87,1,57,36,swap,move2,mobilize,0,swap,2-0,3-1,-1,-1
88,0,57,37,swap,move2,mobilize,0,swap,4-1,2-2,-1,-1
89,1,58,37,swap,move2,mobilize,0,swap,4-1,2-2,-1,-1
90,0,58,38,mobilize,move2,mobilize,0,mobilize,4-1,2-2,-1,-1
91,1,58,38,move1,move2,mobilize,0,move1,2-1,2-0,3-1,3-2
92,0,58,39,move1,move2,mobilize,0,move1,1-1,2-1,-1,-1
93,1,58,39,move1,move2,mobilize,0,move1,2-0,1-0,-1,-1
94,0,58,40,move1,mobilize,mobilize,1,mobilize,2-1,1-2,-1,-1
95,1,58,40,mobilize,mobilize,mobilize,0,mobilize,1-0,1-1,-1,-1
96,0,58,41,capture,mobilize,mobilize,0,capture,1-2,1-3,2-3,3-3
97,1,61,41,move2,mobilize,mobilize,0,move2,3-2,3-3,-1,-1
98,0,61,42,move2,capture,mobilize,1,capture,1-3,2-3,1-4,2-4
99,1,64,42,move2,move2,mobilize,1,move2,3-2,2-2,-1,-1
100,0,64,43,move2,move2,capture,2,capture,2-3,2-2,1-4,1-3
