game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,rule,A,57,52
1,expectimax,rule,B,45,62
2,expectimax,rule,B,54,56
3,expectimax,rule,A,59,52
4,expectimax,rule,B,42,67
5,expectimax,rule,A,58,50
6,expectimax,rule,B,45,57
7,expectimax,rule,draw,54,54
8,expectimax,rule,draw,0,0
9,expectimax,rule,B,43,65
10,expectimax,rule,B,40,66
11,expectimax,rule,A,55,51
12,expectimax,rule,B,53,57
13,expectimax,rule,B,46,63
14,expectimax,rule,B,50,59
15,expectimax,rule,B,55,60
16,expectimax,rule,B,48,57
17,expectimax,rule,B,37,73
18,expectimax,rule,A,63,48
19,expectimax,rule,A,59,53
20,expectimax,rule,A,53,46
21,expectimax,rule,A,56,51
22,expectimax,rule,A,58,50
23,expectimax,rule,B,41,66
24,expectimax,rule,B,42,66
25,expectimax,rule,A,64,41
26,expectimax,rule,A,62,48
27,expectimax,rule,B,49,62
28,expectimax,rule,A,81,30
29,expectimax,rule,A,73,32
