game,agent_a,agent_b,winner,score_a,score_b
0,mcts,expectimax,B,39,63
1,mcts,expectimax,B,41,62
2,mcts,expectimax,A,61,41
3,mcts,expectimax,A,52,47
4,mcts,expectimax,B,37,66
5,mcts,expectimax,A,66,41
6,mcts,expectimax,A,62,46
7,mcts,expectimax,B,43,67
8,mcts,expectimax,draw,0,0
9,mcts,expectimax,B,41,70
10,mcts,expectimax,B,48,54
11,mcts,expectimax,B,44,62
12,mcts,expectimax,B,0,1
13,mcts,expectimax,B,10,18
14,mcts,expectimax,B,50,55
15,mcts,expectimax,B,46,60
16,mcts,expectimax,B,53,57
17,mcts,expectimax,draw,3,3
18,mcts,expectimax,B,50,54
19,mcts,expectimax,B,39,63
20,mcts,expectimax,B,36,70
21,mcts,expectimax,B,31,65
22,mcts,expectimax,B,50,57
23,mcts,expectimax,draw,1,1
24,mcts,expectimax,draw,0,0
25,mcts,expectimax,A,56,52
26,mcts,expectimax,A,56,48
27,mcts,expectimax,A,55,53
28,mcts,expectimax,B,37,57
29,mcts,expectimax,B,47,49
