game,agent_a,agent_b,winner,score_a,score_b
0,minimax,greedy,B,47,55
1,minimax,greedy,A,75,29
2,minimax,greedy,A,70,37
3,minimax,greedy,A,72,28
4,minimax,greedy,B,48,53
5,minimax,greedy,A,69,30
6,minimax,greedy,A,58,32
7,minimax,greedy,A,70,33
8,minimax,greedy,draw,0,0
9,minimax,greedy,A,51,47
10,minimax,greedy,A,74,20
11,minimax,greedy,A,71,29
12,minimax,greedy,A,77,28
13,minimax,greedy,A,69,32
14,minimax,greedy,A,73,29
15,minimax,greedy,A,62,34
16,minimax,greedy,A,59,41
17,minimax,greedy,A,56,45
18,minimax,greedy,A,57,41
19,minimax,greedy,A,66,23
20,minimax,greedy,A,77,23
21,minimax,greedy,A,56,43
22,minimax,greedy,A,77,26
23,minimax,greedy,B,46,56
24,minimax,greedy,A,64,37
25,minimax,greedy,A,59,38
26,minimax,greedy,A,63,39
27,minimax,greedy,A,66,32
28,minimax,greedy,A,86,16
29,minimax,greedy,A,71,26
