game,agent_a,agent_b,winner,score_a,score_b
0,rule,greedy,A,61,45
1,rule,greedy,A,81,29
2,rule,greedy,A,76,30
3,rule,greedy,A,84,20
4,rule,greedy,A,77,30
5,rule,greedy,A,79,28
6,rule,greedy,A,72,33
7,rule,greedy,A,81,24
8,rule,greedy,draw,0,0
9,rule,greedy,A,77,30
10,rule,greedy,A,88,21
11,rule,greedy,A,74,30
12,rule,greedy,A,70,39
13,rule,greedy,A,87,18
14,rule,greedy,A,71,33
15,rule,greedy,A,77,31
16,rule,greedy,A,79,27
17,rule,greedy,A,8,7
18,rule,greedy,A,73,33
19,rule,greedy,A,82,19
20,rule,greedy,A,83,15
21,rule,greedy,A,66,39
22,rule,greedy,A,85,26
23,rule,greedy,A,76,34
24,rule,greedy,A,69,35
25,rule,greedy,A,89,19
26,rule,greedy,A,74,35
27,rule,greedy,A,69,40
28,rule,greedy,A,80,29
29,rule,greedy,A,1,0
