turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-0,1-1,2-0,2-1
2,0,0,0,move1,capture,mobilize,0,move1,2-4,2-3,-1,-1
3,1,0,0,swap,capture,mobilize,0,swap,3-0,2-0,-1,-1
4,0,0,1,swap,capture,move1,2,move1,1-4,2-4,2-3,2-2
5,1,3,1,swap,move1,move1,1,move1,2-1,2-2,-1,-1
6,0,3,1,mobilize,move1,move1,0,mobilize,2-4,2-1,-1,-1
7,1,3,1,mobilize,move1,move1,0,mobilize,1-1,0-1,2-0,1-0
8,0,3,2,mobilize,capture,move1,1,capture,2-1,2-2,-1,-1
9,1,6,2,mobilize,capture,move1,1,capture,2-4,3-4,-1,-1
10,0,6,6,mobilize,move2,move1,1,move2,1-4,2-4,-1,-1
11,1,6,6,mobilize,move2,mobilize,2,mobilize,2-0,2-1,-1,-1
12,0,6,7,move2,move2,mobilize,0,move2,1-4,1-3,3-4,3-3
13,1,6,7,move2,move2,mobilize,1,move2,2-1,1-2,-1,-1
14,0,6,8,move2,move2,capture,2,capture,1-3,2-3,3-3,3-2
15,1,9,8,move2,move2,swap,2,swap,1-2,2-2,-1,-1
16,0,9,9,move1,move2,swap,0,move1,3-2,2-2,-1,-1
17,1,10,9,move1,move2,move2,2,move2,1-2,2-2,-1,-1
18,0,10,9,move2,move2,move2,0,move2,1-4,1-3,-1,-1
19,1,11,9,capture,move2,move2,0,capture,0-1,1-1,-1,-1
20,0,11,12,move1,move2,move2,0,move1,1-2,1-1,-1,-1
21,1,12,12,move1,move2,move2,1,move2,2-0,3-0,-1,-1
22,0,12,12,swap,move2,move2,0,swap,1-3,1-4,-1,-1
23,1,13,12,swap,move1,move2,1,move1,3-0,3-1,-1,-1
24,0,13,13,move1,move1,move2,0,move1,1-4,2-2,-1,-1
25,1,13,13,move1,swap,move2,1,swap,3-1,2-1,-1,-1
26,0,13,14,move2,swap,move2,0,move2,2-3,1-3,-1,-1
27,1,14,14,move2,move1,move2,1,move1,1-4,2-2,-1,-1
28,0,14,14,capture,move1,move2,0,capture,1-4,0-4,-1,-1
29,1,18,14,move2,move1,move2,0,move2,2-2,1-2,-1,-1
30,0,18,14,capture,move1,move2,0,capture,1-3,1-2,-1,-1
