turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,1,0,move1,mobilize,mobilize,0,move1,1-4,1-3,-1,-1
3,1,2,0,move1,move1,mobilize,1,move1,1-0,1-1,3-0,3-1
4,0,2,0,move1,move1,mobilize,0,move1,2-4,1-4,-1,-1
5,1,3,0,move1,move1,capture,2,capture,1-1,2-1,3-1,3-2
6,0,3,0,move1,capture,capture,1,capture,3-4,3-3,-1,-1
7,1,7,0,move1,mobilize,capture,1,mobilize,3-2,3-3,-1,-1
8,0,7,0,move1,capture,capture,1,capture,1-3,0-3,2-4,2-3
9,1,11,0,move1,swap,capture,1,swap,2-2,2-3,-1,-1
10,0,11,1,move1,move1,capture,1,move1,2-4,2-2,-1,-1
11,1,14,1,move1,move1,move1,2,move1,2-4,1-4,-1,-1
12,0,14,2,move1,move1,capture,2,capture,1-4,1-3,-1,-1
13,1,17,2,move1,move1,move1,2,move1,2-1,2-2,-1,-1
14,0,17,2,move1,move1,move2,2,move2,0-3,0-4,-1,-1
15,1,18,2,move1,move1,capture,2,capture,2-4,2-2,-1,-1
16,0,18,2,move1,move2,capture,1,move2,1-3,0-3,-1,-1
17,1,19,2,swap,move2,capture,0,swap,2-1,3-1,-1,-1
18,0,19,2,swap,mobilize,capture,1,mobilize,0-3,1-2,-1,-1
19,1,23,2,swap,mobilize,mobilize,2,mobilize,2-2,1-2,-1,-1
20,0,23,3,move2,mobilize,mobilize,0,move2,2-4,2-2,-1,-1
21,1,23,3,move1,mobilize,mobilize,0,move1,3-1,3-0,-1,-1
22,0,23,4,move1,move2,mobilize,1,move2,0-4,0-3,1-4,1-3
23,1,23,4,swap,move2,mobilize,0,swap,3-0,3-1,-1,-1
24,0,23,5,swap,move2,move2,2,move2,0-3,0-4,1-3,1-2
25,1,24,5,swap,move2,move2,0,swap,2-4,2-2,-1,-1
26,0,24,6,mobilize,move2,move2,0,mobilize,2-4,2-2,-1,-1
27,1,24,6,swap,move2,move2,0,swap,3-1,3-0,2-4,2-3
28,0,24,7,swap,move1,move2,1,move1,0-4,2-4,-1,-1
29,1,25,7,move1,move1,move2,0,move1,3-0,2-2,-1,-1
30,0,25,7,move1,move1,mobilize,2,mobilize,2-4,4-4,-1,-1
31,1,26,7,mobilize,move1,mobilize,0,mobilize,2-3,3-3,-1,-1
32,0,26,7,mobilize,move1,swap,2,swap,3-0,4-0,1-2,1-1
33,1,27,7,mobilize,mobilize,swap,1,mobilize,3-3,2-3,-1,-1
34,0,27,7,swap,mobilize,swap,0,swap,4-4,4-3,1-1,0-1
35,1,28,7,swap,mobilize,swap,1,mobilize,2-3,1-3,3-2,3-3
36,0,28,8,swap,mobilize,move1,2,move1,4-3,2-2,-1,-1
37,1,29,8,move1,mobilize,move1,0,move1,4-3,2-2,-1,-1
38,0,29,8,capture,mobilize,move1,0,capture,0-1,0-0,-1,-1
39,1,33,8,capture,mobilize,move1,0,capture,3-3,4-3,-1,-1
40,0,33,11,move2,mobilize,move1,0,move2,1-4,1-3,-1,-1
41,1,34,11,move2,mobilize,capture,2,capture,1-0,1-1,-1,-1
42,0,34,11,move1,mobilize,capture,0,move1,0-0,0-2,-1,-1
43,1,35,11,move1,move2,capture,1,move2,1-1,1-2,3-3,3-2
44,0,35,11,move1,move1,capture,1,move1,0-2,1-3,-1,-1
45,1,39,11,move1,move1,move2,2,move2,1-2,1-3,-1,-1
46,0,39,11,move1,capture,move2,1,capture,1-4,1-3,-1,-1
47,1,43,11,move1,move2,move2,1,move2,1-2,1-3,-1,-1
48,0,43,11,move1,move2,swap,2,swap,1-4,1-3,-1,-1
49,1,44,11,move1,move2,capture,2,capture,3-2,1-3,-1,-1
50,0,44,14,move1,move2,move1,2,move1,3-2,2-2,-1,-1
