turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,4-6,5-6,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,4-0,4-1,-1,-1
4,0,0,0,move1,mobilize,move1,2,move1,3-6,4-6,5-6,6-6
5,1,0,0,capture,mobilize,move1,0,capture,3-0,4-0,-1,-1
6,0,0,0,capture,mobilize,capture,2,capture,6-6,6-5,-1,-1
7,1,0,0,capture,mobilize,capture,1,mobilize,4-0,3-0,4-1,5-1
8,0,0,0,capture,capture,capture,1,capture,4-6,5-6,6-5,6-6
9,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,0,swap,move1,move1,-1,None,-1,-1,-1,-1
11,1,0,0,swap,capture,move1,1,capture,5-1,4-1,-1,-1
12,0,0,0,swap,capture,move1,2,move1,2-6,2-5,-1,-1
13,1,0,0,swap,capture,move2,2,move2,3-0,4-0,-1,-1
14,0,0,0,swap,capture,capture,2,capture,2-5,0-5,-1,-1
15,1,0,0,swap,capture,capture,-1,None,-1,-1,-1,-1
16,0,0,0,move2,swap,mobilize,-1,None,-1,-1,-1,-1
17,1,3,0,mobilize,swap,mobilize,0,mobilize,3-1,3-3,-1,-1
18,0,3,0,move2,swap,mobilize,0,move2,0-5,0-6,5-6,4-6
19,1,6,0,move2,swap,move1,2,move1,4-0,3-0,4-1,3-1
20,0,6,0,move2,swap,move1,0,move2,6-6,5-5,-1,-1
21,1,9,0,swap,swap,move1,0,swap,3-1,3-2,-1,-1
22,0,9,0,swap,swap,move2,2,move2,5-5,4-5,-1,-1
23,1,12,0,swap,swap,swap,2,swap,3-0,3-1,-1,-1
24,0,12,3,swap,move1,swap,1,move1,4-5,3-3,-1,-1
25,1,15,3,move2,move1,swap,0,move2,4-5,3-3,-1,-1
26,0,15,3,move2,mobilize,swap,1,mobilize,0-6,0-5,-1,-1
27,1,18,3,move1,mobilize,swap,0,move1,3-1,2-2,-1,-1
28,0,18,3,move1,move1,swap,1,move1,0-5,1-5,4-6,3-6
29,1,21,3,move1,move1,swap,0,move1,2-2,1-2,-1,-1
30,0,21,3,capture,move1,swap,0,capture,3-6,4-6,-1,-1
31,1,25,3,capture,mobilize,swap,1,mobilize,1-2,1-3,-1,-1
32,0,25,3,capture,swap,swap,1,swap,1-5,1-6,4-6,5-6
33,1,28,3,capture,move2,swap,1,move2,1-3,1-6,-1,-1
34,0,28,4,capture,move1,swap,1,move1,4-5,4-6,-1,-1
35,1,32,4,capture,move1,move2,2,move2,1-6,1-3,-1,-1
36,0,32,4,capture,move2,move2,1,move2,1-6,1-5,-1,-1
37,1,36,4,capture,move1,move2,1,move1,3-2,1-2,-1,-1
38,0,36,4,capture,move1,move2,2,move2,4-6,5-5,-1,-1
39,1,43,4,capture,move1,move2,0,capture,1-3,1-5,1-2,-1
40,0,43,4,capture,move1,capture,2,capture,2-6,1-5,-1,-1
41,1,50,4,move2,move1,capture,0,move2,1-3,1-5,1-2,-1
42,0,50,4,swap,move1,capture,0,swap,5-5,5-4,-1,-1
43,1,54,4,swap,capture,capture,1,capture,1-2,2-2,-1,-1
44,0,54,7,mobilize,capture,capture,0,mobilize,5-4,3-3,-1,-1
45,1,56,7,mobilize,capture,capture,0,mobilize,5-4,5-3,2-2,1-2
46,0,56,7,mobilize,capture,capture,0,mobilize,2-6,3-6,3-3,3-4
47,1,57,7,capture,capture,capture,0,capture,5-3,5-2,1-2,1-1
48,0,57,7,capture,capture,capture,-1,None,-1,-1,-1,-1
49,1,57,7,move1,move1,mobilize,-1,None,-1,-1,-1,-1
50,0,57,7,move1,swap,mobilize,1,swap,3-4,3-5,-1,-1
