turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-6,3-4,-1,-1
3,1,3,0,move1,swap,capture,0,move1,3-1,3-4,3-0,-1
4,0,3,0,move1,swap,capture,0,move1,3-6,3-5,-1,-1
5,1,3,0,swap,swap,capture,0,swap,4-0,4-1,-1,-1
6,0,3,0,swap,swap,capture,-1,None,-1,-1,-1,-1
7,1,3,0,capture,move2,move2,-1,None,-1,-1,-1,-1
8,0,3,3,capture,mobilize,move2,1,mobilize,3-5,3-3,-1,-1
9,1,6,3,mobilize,mobilize,move2,0,mobilize,3-1,3-3,3-0,-1
10,0,6,3,mobilize,mobilize,move1,2,move1,3-6,3-4,-1,-1
11,1,6,3,mobilize,mobilize,move1,2,move1,3-1,3-2,-1,-1
12,0,6,6,capture,mobilize,move1,0,capture,2-6,3-6,3-4,3-3
13,1,9,6,move1,mobilize,move1,0,move1,3-2,3-3,-1,-1
14,0,9,6,move2,mobilize,move1,0,move2,3-6,3-5,-1,-1
15,1,12,6,move2,capture,move1,1,capture,3-2,3-3,3-0,3-1
16,0,12,6,mobilize,capture,move1,0,mobilize,3-5,3-4,-1,-1
17,1,18,6,mobilize,mobilize,move1,1,mobilize,3-3,3-4,-1,-1
18,0,18,6,move1,mobilize,move1,0,move1,3-6,3-5,2-6,2-5
19,1,21,6,move1,move2,move1,1,move2,3-1,3-2,4-1,4-2
20,0,21,6,move1,move2,move1,0,move1,3-5,3-4,-1,-1
21,1,24,6,move1,swap,move1,1,swap,4-2,3-1,-1,-1
22,0,24,9,move1,swap,move1,1,swap,2-5,3-3,-1,-1
23,1,27,9,move1,mobilize,move1,1,mobilize,2-5,3-3,-1,-1
24,0,27,9,move1,mobilize,move1,0,move1,2-5,2-4,-1,-1
25,1,30,9,move1,move1,move1,1,move1,3-2,2-2,3-1,2-1
26,0,30,9,capture,move1,move1,0,capture,2-4,2-5,-1,-1
27,1,36,9,move2,move1,move1,0,move2,3-3,3-4,-1,-1
28,0,36,9,swap,move1,move1,0,swap,2-5,1-4,-1,-1
29,1,39,9,swap,capture,move1,1,capture,2-1,3-1,-1,-1
30,0,39,12,move1,capture,move1,0,move1,1-4,3-3,-1,-1
31,1,40,12,mobilize,capture,move1,0,mobilize,1-4,1-3,-1,-1
32,0,40,15,move1,capture,move1,0,move1,2-6,2-5,4-6,4-5
33,1,41,15,move2,capture,move1,0,move2,3-1,2-1,-1,-1
34,0,41,18,swap,capture,move1,0,swap,4-5,3-4,-1,-1
35,1,44,18,move1,capture,move1,0,move1,1-3,3-3,-1,-1
36,0,44,22,move1,move2,move1,1,move2,3-4,3-3,-1,-1
37,1,47,22,move1,mobilize,move1,1,mobilize,2-2,3-3,-1,-1
38,0,47,23,mobilize,mobilize,move1,0,mobilize,2-5,3-5,-1,-1
39,1,50,23,swap,mobilize,move1,0,swap,2-0,1-0,2-1,1-1
40,0,50,26,capture,mobilize,move1,0,capture,1-3,3-3,-1,-1
41,1,51,26,capture,mobilize,move2,2,move2,1-1,1-2,-1,-1
42,0,51,29,capture,mobilize,move2,2,move2,3-5,2-4,-1,-1
43,1,52,29,capture,mobilize,capture,2,capture,1-0,1-1,-1,-1
44,0,52,32,capture,swap,capture,1,swap,2-4,2-5,3-4,3-5
45,1,56,32,capture,mobilize,capture,1,mobilize,1-2,3-3,-1,-1
46,0,56,35,move1,mobilize,capture,0,move1,1-2,1-1,-1,-1
47,1,63,35,move1,mobilize,capture,2,capture,1-3,1-2,-1,-1
48,0,63,35,move1,mobilize,capture,0,move1,3-5,3-4,-1,-1
49,1,70,35,move1,mobilize,mobilize,2,mobilize,3-3,3-4,-1,-1
50,0,70,35,move2,mobilize,mobilize,0,move2,2-5,2-4,-1,-1
