turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,1-0,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,3-5,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,1-0,0-0,-1,-1
6,0,0,0,capture,move2,swap,1,move2,4-6,4-5,-1,-1
7,1,0,0,capture,move2,swap,1,move2,0-0,0-2,-1,-1
8,0,0,3,capture,mobilize,swap,1,mobilize,3-5,3-3,-1,-1
9,1,0,3,capture,mobilize,swap,1,mobilize,0-2,0-1,4-0,5-0
10,0,0,6,capture,move1,swap,1,move1,3-6,3-5,4-5,4-4
11,1,0,6,capture,move1,swap,1,move1,0-1,1-1,-1,-1
12,0,0,9,capture,capture,swap,1,capture,4-4,3-4,-1,-1
13,1,3,9,capture,capture,move1,2,move1,3-0,3-3,-1,-1
14,0,3,12,move2,capture,move1,0,move2,3-4,3-3,-1,-1
15,1,3,12,capture,capture,move1,0,capture,1-1,3-1,-1,-1
16,0,3,15,mobilize,capture,move1,0,mobilize,3-0,2-0,-1,-1
17,1,3,15,mobilize,capture,move1,0,mobilize,2-0,1-0,5-0,6-0
18,0,3,18,move1,capture,move1,0,move1,3-0,4-0,3-4,3-3
19,1,3,18,move2,capture,move1,0,move2,1-0,2-0,-1,-1
20,0,3,21,move2,capture,move1,2,move1,3-5,3-4,-1,-1
21,1,3,21,move2,capture,swap,2,swap,3-1,3-2,-1,-1
22,0,3,27,move2,swap,swap,1,swap,3-3,3-2,-1,-1
23,1,3,27,mobilize,swap,swap,0,mobilize,3-0,3-2,-1,-1
24,0,3,30,mobilize,move1,swap,1,move1,4-0,3-2,-1,-1
25,1,3,30,capture,move1,swap,0,capture,2-0,3-0,6-0,5-0
26,0,3,36,mobilize,move1,swap,0,mobilize,3-2,3-0,3-3,-1
27,1,3,36,mobilize,move2,swap,1,move2,5-0,6-0,-1,-1
28,0,3,39,capture,move2,swap,0,capture,3-2,4-2,3-4,4-4
29,1,3,39,capture,capture,swap,1,capture,2-0,2-1,-1,-1
30,0,3,42,capture,capture,capture,2,capture,4-2,2-1,-1,-1
31,1,3,42,capture,capture,capture,-1,None,-1,-1,-1,-1
32,0,3,42,move1,move1,mobilize,-1,None,-1,-1,-1,-1
33,1,3,42,move1,move1,move1,2,move1,4-0,3-0,6-0,5-0
34,0,3,45,swap,move1,move1,0,swap,4-4,3-4,-1,-1
35,1,3,45,swap,move1,move2,2,move2,5-0,5-1,-1,-1
36,0,3,48,swap,move1,mobilize,2,mobilize,2-1,3-1,-1,-1
37,1,3,48,swap,move1,move2,2,move2,3-0,4-0,5-1,5-0
38,0,3,51,swap,move2,move2,1,move2,3-1,3-2,-1,-1
39,1,3,51,swap,move2,move2,2,move2,5-0,6-0,-1,-1
40,0,3,54,capture,move2,move2,0,capture,3-4,4-2,-1,-1
41,1,3,54,capture,move2,move1,2,move1,4-0,5-1,-1,-1
42,0,3,60,swap,move2,move1,0,swap,3-3,3-4,-1,-1
43,1,3,60,swap,move2,move1,2,move1,2-0,1-0,-1,-1
44,0,3,64,swap,move1,move1,1,move1,4-2,5-3,-1,-1
45,1,3,64,swap,move1,swap,2,swap,1-0,0-0,-1,-1
46,0,3,68,swap,mobilize,swap,1,mobilize,3-2,4-2,-1,-1
47,1,3,68,swap,move1,swap,1,move1,5-1,6-1,0-0,0-1
48,0,3,72,swap,mobilize,swap,1,mobilize,4-2,3-2,-1,-1
49,1,4,72,move2,mobilize,swap,0,move2,6-1,5-3,-1,-1
50,0,4,75,swap,mobilize,swap,0,swap,6-1,5-2,-1,-1
