turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,2-1,4-0,4-1
2,0,0,0,move1,capture,move1,2,move1,2-6,1-6,4-6,4-5
3,1,0,0,swap,capture,move1,0,swap,3-0,3-1,-1,-1
4,0,0,0,swap,capture,move1,2,move1,3-6,2-6,-1,-1
5,1,0,0,swap,capture,move1,2,move1,2-1,1-1,-1,-1
6,0,0,0,swap,capture,mobilize,2,mobilize,4-5,4-6,-1,-1
7,1,0,0,swap,capture,mobilize,2,mobilize,1-1,2-1,4-1,5-1
8,0,0,0,swap,capture,capture,2,capture,2-6,2-5,4-6,5-6
9,1,0,0,swap,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,0,capture,move2,mobilize,-1,None,-1,-1,-1,-1
11,1,3,0,capture,move2,mobilize,1,move2,3-1,3-3,-1,-1
12,0,3,0,capture,move2,move2,2,move2,2-5,2-6,5-6,5-5
13,1,7,0,capture,capture,move2,1,capture,5-1,5-3,-1,-1
14,0,7,0,capture,capture,swap,2,swap,5-5,6-4,-1,-1
15,1,10,0,capture,capture,move1,2,move1,5-3,6-4,-1,-1
