turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-6,3-5,-1,-1
3,1,0,0,move1,move1,mobilize,1,move1,3-1,3-2,4-0,4-1
4,0,0,0,move1,move1,move1,2,move1,2-6,2-5,4-6,3-6
5,1,3,0,capture,move1,move1,0,capture,3-2,3-3,-1,-1
6,0,3,3,capture,move1,move1,0,capture,3-5,3-3,3-6,-1
7,1,3,3,capture,mobilize,move1,1,mobilize,4-1,3-1,-1,-1
8,0,3,3,capture,mobilize,capture,2,capture,3-6,2-6,-1,-1
9,1,3,3,capture,swap,capture,1,swap,2-0,2-1,3-1,3-2
10,0,3,3,capture,move1,capture,1,move1,3-5,3-2,-1,-1
11,1,6,3,move1,move1,capture,0,move1,3-5,2-5,-1,-1
12,0,6,6,move1,move1,capture,2,capture,3-6,3-5,-1,-1
13,1,6,6,move1,move1,capture,0,move1,2-1,3-1,-1,-1
14,0,6,9,move1,move1,move2,2,move2,3-2,3-1,-1,-1
15,1,6,9,move1,move1,capture,2,capture,4-0,3-1,-1,-1
16,0,6,12,move1,move1,move2,2,move2,3-2,3-1,-1,-1
