turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,4-0,4-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,3-6,3-5,4-6,5-6
3,1,0,0,move1,capture,swap,2,swap,2-0,2-1,3-0,4-0
4,0,0,0,move1,capture,swap,0,move1,5-6,5-5,-1,-1
5,1,0,0,move1,capture,swap,0,move1,2-1,2-2,-1,-1
6,0,0,0,mobilize,capture,swap,0,mobilize,5-5,5-6,-1,-1
7,1,0,0,mobilize,capture,swap,0,mobilize,2-2,3-2,4-1,4-2
8,0,0,0,mobilize,capture,capture,2,capture,3-5,3-2,-1,-1
9,1,0,0,capture,capture,capture,0,capture,3-5,3-6,4-2,5-2
10,0,0,3,move2,capture,capture,0,move2,2-6,3-6,-1,-1
11,1,0,3,mobilize,capture,capture,0,mobilize,2-0,1-1,-1,-1
12,0,0,6,move2,capture,capture,0,move2,2-6,1-6,3-2,3-3
13,1,0,6,move2,capture,capture,0,move2,1-1,0-1,-1,-1
14,0,0,9,capture,capture,capture,0,capture,1-6,1-5,-1,-1
15,1,0,9,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,0,9,swap,move1,move2,-1,None,-1,-1,-1,-1
17,1,0,9,swap,move2,move2,1,move2,4-0,4-1,-1,-1
18,0,0,13,swap,capture,move2,1,capture,1-5,1-3,-1,-1
