turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,3-5,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,4-0,4-1,-1,-1
6,0,0,0,capture,move2,swap,1,move2,4-6,4-5,-1,-1
7,1,3,0,capture,move2,swap,1,move2,3-1,3-3,-1,-1
8,0,3,3,mobilize,move2,swap,0,mobilize,3-5,3-3,3-6,-1
9,1,3,3,mobilize,move2,swap,0,mobilize,2-0,2-1,4-1,3-1
10,0,3,6,mobilize,move1,swap,1,move1,3-5,3-3,-1,-1
11,1,6,6,mobilize,move1,move1,2,move1,3-0,3-3,-1,-1
12,0,6,6,mobilize,capture,move1,1,capture,4-5,3-5,-1,-1
13,1,12,6,mobilize,move1,move1,1,move1,3-1,3-0,-1,-1
14,0,12,6,mobilize,move2,move1,1,move2,2-6,2-5,-1,-1
15,1,15,6,capture,move2,move1,0,capture,2-1,2-2,3-1,3-2
16,0,15,9,mobilize,move2,move1,0,mobilize,3-5,3-3,3-6,-1
17,1,18,9,mobilize,move2,move1,0,mobilize,2-0,2-1,3-2,3-3
18,0,18,9,mobilize,move1,move1,1,move1,2-5,3-4,-1,-1
19,1,21,9,mobilize,move2,move1,1,move2,2-2,3-2,-1,-1
20,0,21,9,mobilize,move1,move1,1,move1,3-6,2-5,-1,-1
21,1,24,9,mobilize,swap,move1,1,swap,2-1,3-1,-1,-1
22,0,24,12,mobilize,swap,move1,1,swap,2-5,3-3,-1,-1
23,1,27,12,mobilize,mobilize,move1,1,mobilize,3-1,3-3,-1,-1
24,0,27,12,mobilize,mobilize,move1,2,move1,3-1,4-1,-1,-1
25,1,30,12,mobilize,mobilize,capture,2,capture,2-5,2-4,-1,-1
26,0,30,15,mobilize,mobilize,mobilize,2,mobilize,3-4,3-3,-1,-1
27,1,33,15,move2,mobilize,mobilize,0,move2,3-2,3-3,2-0,2-1
28,0,33,15,swap,mobilize,mobilize,0,swap,4-1,3-2,-1,-1
29,1,36,15,capture,mobilize,mobilize,0,capture,2-4,3-4,-1,-1
30,0,36,18,move1,mobilize,mobilize,0,move1,2-4,3-4,-1,-1
31,1,39,18,move1,move1,mobilize,1,move1,2-1,3-1,2-0,3-0
32,0,39,18,swap,move1,mobilize,0,swap,2-4,3-4,-1,-1
33,1,42,18,move2,move1,mobilize,0,move2,3-0,3-2,-1,-1
