turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,1-6,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,4-0,4-1,-1,-1
6,0,0,0,capture,move2,swap,1,move2,1-6,1-5,-1,-1
7,1,3,0,capture,move2,swap,1,move2,3-1,3-3,-1,-1
8,0,3,3,capture,move2,mobilize,2,mobilize,3-6,3-3,-1,-1
9,1,6,3,mobilize,move2,mobilize,0,mobilize,3-6,4-6,-1,-1
10,0,6,6,mobilize,move2,move1,2,move1,1-5,0-5,2-6,2-5
11,1,6,6,move1,move2,move1,0,move1,3-6,3-5,4-1,3-1
12,0,6,9,capture,move2,move1,0,capture,0-5,0-4,-1,-1
13,1,9,9,move1,move2,move1,0,move1,3-5,2-5,-1,-1
14,0,9,12,move1,move2,move1,1,move2,2-6,1-5,-1,-1
15,1,9,12,capture,move2,move1,0,capture,3-5,3-4,-1,-1
16,0,9,15,capture,mobilize,move1,1,mobilize,0-4,1-4,-1,-1
17,1,12,15,mobilize,mobilize,move1,0,mobilize,3-4,3-3,-1,-1
18,0,12,16,move1,mobilize,move1,0,move1,1-4,1-3,1-5,2-5
19,1,15,16,move1,move2,move1,1,move2,3-4,3-3,3-1,3-2
20,0,15,17,move1,move1,move1,1,move1,2-6,3-5,-1,-1
21,1,18,17,swap,move1,move1,0,swap,3-0,3-1,-1,-1
22,0,18,21,swap,move1,move1,0,swap,2-5,3-3,-1,-1
23,1,21,21,mobilize,move1,move1,0,mobilize,3-1,3-3,-1,-1
24,0,21,22,move1,move1,move1,0,move1,3-5,3-6,3-1,2-1
25,1,24,22,capture,move1,move1,0,capture,2-5,2-4,-1,-1
26,0,24,23,capture,move1,capture,2,capture,2-1,1-1,-1,-1
27,1,30,23,move2,move1,capture,0,move2,3-3,3-6,3-2,-1
28,0,30,24,move2,swap,capture,1,swap,2-6,1-6,-1,-1
29,1,33,24,capture,swap,capture,0,capture,2-4,3-4,-1,-1
30,0,33,27,capture,move2,capture,1,move2,1-3,3-3,-1,-1
31,1,37,27,mobilize,move2,capture,0,mobilize,3-4,3-3,-1,-1
32,0,37,27,mobilize,mobilize,capture,1,mobilize,1-1,1-2,-1,-1
33,1,41,27,mobilize,mobilize,capture,0,mobilize,3-4,3-3,3-2,2-2
