turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,3-6,3-5
3,1,0,0,move1,capture,swap,2,swap,2-0,2-1,4-0,4-1
4,0,0,0,move1,capture,swap,0,move1,3-5,3-4,-1,-1
5,1,0,0,move1,capture,swap,0,move1,2-1,2-2,-1,-1
6,0,0,3,mobilize,capture,swap,0,mobilize,3-4,3-3,-1,-1
7,1,3,3,mobilize,capture,mobilize,2,mobilize,4-1,3-3,-1,-1
8,0,3,6,mobilize,capture,mobilize,1,capture,4-1,3-1,-1,-1
9,1,6,6,capture,capture,mobilize,0,capture,2-2,3-2,2-0,2-1
10,0,6,6,capture,capture,move2,2,move2,2-5,2-4,4-1,4-0
11,1,9,6,capture,capture,mobilize,2,mobilize,2-1,3-1,-1,-1
12,0,9,6,capture,capture,move2,2,move2,2-4,1-4,4-0,4-1
13,1,15,6,move2,capture,move2,0,move2,3-1,4-1,-1,-1
14,0,15,7,capture,capture,move2,0,capture,1-4,1-3,-1,-1
15,1,18,7,capture,capture,swap,2,swap,3-1,2-2,-1,-1
16,0,18,10,capture,capture,move1,2,move1,1-3,3-3,-1,-1
17,1,22,10,move2,capture,move1,0,move2,3-2,3-3,-1,-1
18,0,22,10,move2,capture,move1,0,move2,3-6,3-4,-1,-1
19,1,26,10,capture,capture,move1,0,capture,3-2,3-3,-1,-1
20,0,26,13,move1,capture,move1,0,move1,3-4,3-3,-1,-1
21,1,27,13,move2,capture,move1,0,move2,2-0,2-1,-1,-1
22,0,27,16,swap,capture,move1,0,swap,3-4,3-3,-1,-1
23,1,31,16,move1,capture,move1,0,move1,2-1,3-3,-1,-1
24,0,31,19,move1,move1,move1,1,move1,2-1,2-2,-1,-1
25,1,35,19,swap,move1,move1,0,swap,2-0,1-0,-1,-1
26,0,35,22,swap,move1,move1,0,swap,2-1,3-3,-1,-1
27,1,38,22,mobilize,move1,move1,0,mobilize,1-3,3-3,-1,-1
28,0,38,23,mobilize,move1,move1,0,mobilize,2-6,2-5,4-6,4-5
29,1,41,23,mobilize,move1,move1,1,move1,2-1,1-1,-1,-1
