turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,2-1,4-0,4-1
2,0,0,0,move1,capture,move1,2,move1,2-6,2-5,4-6,4-5
3,1,0,0,swap,capture,move1,0,swap,3-0,2-0,-1,-1
4,0,0,0,swap,capture,move1,2,move1,3-6,3-5,-1,-1
5,1,0,0,swap,capture,move1,2,move1,2-0,3-0,-1,-1
6,0,0,0,swap,capture,mobilize,2,mobilize,2-5,2-4,-1,-1
7,1,0,0,swap,capture,mobilize,2,mobilize,2-1,3-1,3-0,4-0
8,0,0,0,swap,capture,capture,2,capture,2-4,3-4,4-5,4-4
9,1,0,0,capture,capture,capture,0,capture,4-1,4-4,-1,-1
10,0,0,3,move2,capture,capture,0,move2,4-1,4-0,-1,-1
11,1,3,3,move2,capture,mobilize,2,mobilize,4-4,3-4,-1,-1
12,0,3,6,move2,move2,mobilize,1,move2,4-1,3-1,-1,-1
13,1,6,6,move2,move2,mobilize,1,move2,4-4,3-3,-1,-1
14,0,6,6,capture,move2,mobilize,0,capture,2-6,3-6,-1,-1
15,1,9,6,capture,move2,swap,2,swap,3-0,3-1,2-0,2-1
16,0,9,9,move1,move2,swap,0,move1,3-5,3-3,3-6,-1
17,1,9,9,move2,move2,swap,0,move2,2-1,2-2,-1,-1
18,0,9,12,move2,move2,swap,0,move2,3-5,3-3,-1,-1
19,1,12,12,move2,move2,capture,2,capture,3-1,3-3,-1,-1
20,0,12,12,move1,move2,capture,0,move1,4-1,3-2,-1,-1
21,1,18,12,move1,move2,move2,2,move2,3-3,3-2,-1,-1
22,0,18,12,move1,swap,move2,1,swap,2-6,3-5,-1,-1
23,1,21,12,move1,move1,move2,1,move1,2-0,3-1,-1,-1
24,0,21,12,move1,move1,move2,0,move1,2-0,2-1,-1,-1
25,1,24,12,swap,move1,move2,0,swap,2-2,3-2,-1,-1
26,0,24,15,swap,move1,move2,0,swap,2-1,3-3,-1,-1
27,1,27,15,mobilize,move1,move2,0,mobilize,3-1,3-3,-1,-1
28,0,27,15,mobilize,capture,move2,1,capture,3-1,4-1,-1,-1
29,1,33,15,mobilize,capture,move2,1,capture,3-3,3-5,3-2,-1
30,0,33,15,move1,capture,move2,0,move1,3-6,3-5,2-6,2-5
31,1,39,15,move1,mobilize,move2,1,mobilize,3-3,3-5,3-2,-1
32,0,39,15,move1,move1,move2,1,move1,2-6,3-6,2-5,3-5
33,1,42,15,move1,move1,move2,0,move1,2-1,3-1,-1,-1
