turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-6,3-4,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,2-1,3-1,-1,-1
6,0,0,3,capture,move2,swap,1,move2,3-4,3-3,-1,-1
7,1,3,3,capture,move2,move2,2,move2,3-1,3-3,-1,-1
8,0,3,6,mobilize,move2,move2,0,mobilize,3-1,3-0,-1,-1
9,1,6,6,mobilize,mobilize,move2,1,mobilize,4-0,5-1,-1,-1
10,0,6,6,move1,mobilize,move2,0,move1,2-6,2-5,3-1,3-2
11,1,9,6,move1,mobilize,move2,0,move1,2-0,1-0,-1,-1
12,0,9,6,capture,mobilize,move2,0,capture,2-5,2-4,-1,-1
13,1,15,6,move1,mobilize,move2,0,move1,3-3,3-2,-1,-1
14,0,15,7,move1,mobilize,move2,2,move2,2-4,1-3,-1,-1
15,1,18,7,move1,mobilize,capture,2,capture,5-1,4-1,-1,-1
16,0,18,8,move1,mobilize,capture,1,mobilize,2-6,2-5,4-6,4-5
17,1,21,8,move1,mobilize,capture,1,mobilize,1-0,1-1,4-1,3-1
18,0,21,9,move1,move1,capture,1,move1,2-5,2-4,4-5,3-5
19,1,24,9,move1,move2,capture,1,move2,3-1,3-2,-1,-1
20,0,24,10,move1,move2,capture,0,move1,3-5,2-5,-1,-1
21,1,27,10,swap,move2,capture,0,swap,3-2,4-2,-1,-1
22,0,27,13,swap,move2,capture,0,swap,1-3,3-3,-1,-1
23,1,31,13,mobilize,move2,capture,0,mobilize,4-2,3-3,-1,-1
24,0,31,14,mobilize,move1,capture,1,move1,4-2,5-3,-1,-1
25,1,35,14,mobilize,capture,capture,1,capture,1-1,1-0,-1,-1
26,0,35,15,move2,capture,capture,0,move2,2-4,1-4,2-5,1-5
27,1,42,15,move2,capture,move2,2,move2,1-3,1-4,-1,-1
