turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-1,2-3,2-0,-1
4,0,3,0,move1,move1,capture,1,move1,2-4,2-1,-1,-1
5,1,6,0,move1,move1,swap,2,swap,2-4,1-4,-1,-1
6,0,6,0,move1,move1,capture,2,capture,1-4,2-4,-1,-1
7,1,9,0,move1,move1,move2,2,move2,1-4,2-4,-1,-1
8,0,9,1,move2,move1,move2,0,move2,2-1,2-2,-1,-1
9,1,9,1,mobilize,move1,move2,0,mobilize,3-0,2-1,-1,-1
10,0,9,2,mobilize,move1,move2,0,mobilize,2-4,2-3,3-4,3-3
11,1,9,2,move1,move1,move2,0,move1,2-0,3-0,2-1,3-1
12,0,9,3,move1,move1,move2,0,move1,3-3,3-2,-1,-1
13,1,9,3,capture,move1,move2,0,capture,1-4,1-3,-1,-1
14,0,9,7,move1,move1,move2,0,move1,3-2,3-1,-1,-1
15,1,9,7,move1,move1,move2,2,move2,1-3,1-1,-1,-1
16,0,9,8,capture,move1,move2,0,capture,2-3,3-3,-1,-1
17,1,9,8,capture,move1,mobilize,2,mobilize,3-0,2-0,-1,-1
18,0,9,9,capture,mobilize,mobilize,1,mobilize,3-3,2-3,-1,-1
19,1,9,9,capture,move1,mobilize,1,move1,1-1,2-1,2-0,3-0
20,0,9,13,move2,move1,mobilize,0,move2,2-2,2-1,-1,-1
21,1,9,13,move1,move1,mobilize,0,move1,3-0,2-1,-1,-1
22,0,9,14,swap,move1,mobilize,0,swap,3-2,3-3,-1,-1
23,1,10,14,swap,move1,mobilize,0,swap,1-0,2-2,-1,-1
24,0,10,14,mobilize,move1,mobilize,0,mobilize,3-3,2-1,-1,-1
25,1,11,14,move1,move1,mobilize,0,move1,2-0,3-0,3-3,3-2
26,0,11,14,capture,move1,mobilize,0,capture,1-0,2-0,-1,-1
27,1,15,14,mobilize,move1,mobilize,0,mobilize,2-2,2-3,-1,-1
28,0,15,14,move2,move1,mobilize,0,move2,1-4,1-3,2-1,1-1
29,1,16,14,swap,move1,mobilize,0,swap,3-0,2-1,-1,-1
30,0,16,14,capture,move1,mobilize,0,capture,2-0,2-1,-1,-1
31,1,20,14,move2,move1,mobilize,0,move2,2-0,2-1,-1,-1
32,0,20,14,capture,move1,mobilize,0,capture,1-1,1-2,-1,-1
33,1,24,14,move1,move1,mobilize,0,move1,2-2,1-2,-1,-1
34,0,24,14,mobilize,move1,mobilize,0,mobilize,1-3,2-3,-1,-1
35,1,25,14,mobilize,swap,mobilize,1,swap,2-0,2-1,-1,-1
36,0,25,15,mobilize,swap,mobilize,1,swap,1-4,2-2,-1,-1
37,1,25,15,mobilize,move2,mobilize,1,move2,1-4,2-3,-1,-1
38,0,25,16,mobilize,mobilize,mobilize,1,mobilize,1-4,1-3,-1,-1
39,1,25,16,move1,mobilize,mobilize,0,move1,2-1,3-1,2-3,3-3
40,0,25,17,move1,swap,mobilize,1,swap,1-3,1-2,2-4,2-3
41,1,26,17,move1,move1,mobilize,1,move1,3-1,2-2,-1,-1
42,0,26,17,move2,move1,mobilize,0,move2,3-1,2-1,-1,-1
43,1,27,17,move1,move1,mobilize,0,move1,3-3,4-2,-1,-1
44,0,27,17,capture,move1,mobilize,0,capture,1-2,1-3,-1,-1
45,1,31,17,capture,move1,mobilize,0,capture,2-2,2-3,-1,-1
46,0,31,20,move1,move1,mobilize,0,move1,2-1,2-2,-1,-1
47,1,32,20,move1,move1,mobilize,2,mobilize,1-0,1-1,3-2,2-2
48,0,32,20,move1,move1,mobilize,0,move1,1-3,1-2,-1,-1
49,1,33,20,move2,move1,mobilize,0,move2,4-2,3-2,-1,-1
50,0,33,20,move1,move1,mobilize,0,move1,1-4,1-3,-1,-1
