turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,1-2,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-1,2-4,2-0,-1
4,0,3,0,move1,swap,capture,0,move1,3-4,4-4,-1,-1
5,1,3,0,swap,swap,capture,0,swap,3-0,3-1,-1,-1
6,0,3,0,swap,capture,capture,1,capture,1-2,2-0,-1,-1
7,1,6,0,swap,move2,capture,1,move2,2-1,2-0,-1,-1
8,0,6,0,swap,move2,capture,1,move2,2-4,3-4,-1,-1
9,1,7,0,swap,mobilize,capture,1,mobilize,3-1,2-2,-1,-1
10,0,7,0,swap,mobilize,capture,1,mobilize,3-4,3-3,1-4,2-4
11,1,11,0,swap,mobilize,move1,2,move1,2-2,2-4,2-1,-1
12,0,11,0,swap,mobilize,move1,2,move1,3-3,3-4,-1,-1
13,1,12,0,swap,mobilize,capture,2,capture,2-1,1-1,-1,-1
14,0,12,0,swap,move1,capture,1,move1,3-4,2-4,4-4,4-3
15,1,16,0,swap,move1,move2,2,move2,1-2,1-4,1-1,-1
16,0,16,0,swap,move1,capture,2,capture,1-4,1-3,-1,-1
17,1,20,0,swap,move1,mobilize,2,mobilize,1-2,1-3,-1,-1
18,0,20,0,mobilize,move1,mobilize,0,mobilize,1-4,1-1,-1,-1
19,1,20,0,move1,move1,mobilize,0,move1,1-4,1-3,2-2,2-3
20,0,20,0,move2,move1,mobilize,0,move2,2-4,1-4,-1,-1
21,1,21,0,move2,move1,mobilize,1,move1,2-3,2-2,-1,-1
22,0,21,0,move2,move1,swap,2,swap,1-4,2-4,1-1,1-0
23,1,22,0,move2,swap,swap,1,swap,1-3,2-3,-1,-1
24,0,22,0,mobilize,swap,swap,0,mobilize,4-3,3-2,-1,-1
25,1,22,0,mobilize,move1,swap,1,move1,2-2,3-2,-1,-1
26,0,22,1,mobilize,move1,move1,2,move1,2-4,2-3,-1,-1
27,1,22,1,mobilize,mobilize,move1,1,mobilize,2-4,3-4,-1,-1
28,0,22,1,move2,mobilize,move1,0,move2,1-0,2-0,2-2,2-1
29,1,23,1,move2,move1,move1,1,move1,3-4,3-3,1-2,2-2
30,0,23,1,capture,move1,move1,0,capture,2-0,1-0,-1,-1
31,1,27,1,capture,move1,move1,0,capture,3-3,2-3,-1,-1
32,0,27,1,capture,move1,move1,2,move1,1-0,2-0,-1,-1
33,1,31,1,move1,move1,move1,0,move1,2-2,2-1,-1,-1
34,0,31,1,move1,move1,capture,2,capture,2-0,1-0,-1,-1
35,1,32,1,swap,move1,capture,0,swap,3-3,2-3,-1,-1
36,0,32,1,swap,move1,capture,1,move1,1-0,1-1,-1,-1
37,1,36,1,swap,move1,move2,2,move2,2-3,2-4,-1,-1
38,0,36,1,swap,move1,mobilize,2,mobilize,1-4,1-3,-1,-1
39,1,37,1,move2,move1,mobilize,0,move2,3-2,1-3,-1,-1
40,0,37,1,move2,move2,mobilize,1,move2,1-1,1-2,-1,-1
41,1,38,1,move2,move2,mobilize,0,move2,1-3,0-2,-1,-1
42,0,38,1,move2,capture,mobilize,1,capture,2-4,3-3,-1,-1
43,1,42,1,move2,mobilize,mobilize,1,mobilize,2-2,1-2,-1,-1
44,0,42,1,mobilize,mobilize,mobilize,0,mobilize,1-4,1-2,-1,-1
45,1,43,1,capture,mobilize,mobilize,0,capture,2-3,1-3,0-2,0-3
46,0,43,1,capture,move1,mobilize,1,move1,1-2,1-1,3-3,2-3
47,1,47,1,swap,move1,mobilize,0,swap,1-3,2-3,-1,-1
48,0,47,1,swap,move1,swap,2,swap,1-1,0-1,1-4,2-4
49,1,47,1,move1,move1,swap,0,move1,2-2,3-2,-1,-1
50,0,47,2,swap,move1,swap,0,swap,0-1,0-2,-1,-1
