turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,1,mobilize,2-0,2-1,3-0,4-0
2,0,0,1,move1,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,move1,move1,move1,1,move1,2-1,3-1,4-0,3-0
4,0,0,2,move1,move1,move1,0,move1,3-4,3-3,-1,-1
5,1,0,2,capture,move1,move1,0,capture,1-0,0-0,-1,-1
6,0,0,3,capture,move1,capture,2,capture,1-4,2-4,-1,-1
7,1,0,3,capture,mobilize,capture,1,mobilize,3-1,2-1,-1,-1
8,0,0,7,capture,mobilize,capture,2,capture,2-2,2-1,-1,-1
9,1,0,7,capture,swap,capture,1,swap,1-0,2-0,3-0,3-1
10,0,0,8,capture,move1,capture,1,move1,3-3,3-1,-1,-1
11,1,0,8,capture,move1,capture,1,move1,3-3,2-3,-1,-1
12,0,0,12,capture,move1,capture,0,capture,2-4,2-3,-1,-1
13,1,0,12,capture,move1,capture,1,move1,1-0,1-1,-1,-1
14,0,0,13,capture,move2,capture,1,move2,2-4,2-3,-1,-1
15,1,0,13,capture,capture,capture,1,capture,1-1,0-2,-1,-1
16,0,0,17,move2,capture,capture,0,move2,2-2,2-0,2-3,-1
17,1,0,17,swap,capture,capture,0,swap,0-2,1-3,-1,-1
18,0,0,21,swap,mobilize,capture,1,mobilize,2-3,1-3,-1,-1
19,1,0,21,mobilize,mobilize,capture,0,mobilize,2-0,3-1,-1,-1
20,0,0,25,mobilize,mobilize,move2,2,move2,2-0,1-0,-1,-1
21,1,0,25,mobilize,mobilize,move1,2,move1,3-1,3-3,-1,-1
22,0,0,26,mobilize,move2,move1,1,move2,2-3,1-3,2-0,2-1
23,1,0,26,mobilize,swap,move1,1,swap,3-3,3-2,-1,-1
24,0,0,27,mobilize,move2,move1,1,move2,2-1,0-0,-1,-1
25,1,0,27,mobilize,swap,move1,1,swap,3-2,4-3,-1,-1
26,0,0,28,mobilize,move1,move1,1,move1,1-3,2-1,-1,-1
27,1,0,28,move2,move1,move1,0,move2,1-3,1-4,4-3,3-3
28,0,0,29,move2,move1,move1,1,move1,2-1,1-1,-1,-1
29,1,0,29,move2,move1,move1,2,move1,3-3,3-4,-1,-1
30,0,0,30,move2,move1,swap,2,swap,0-0,0-1,-1,-1
31,1,0,30,mobilize,move1,swap,0,mobilize,1-4,0-3,-1,-1
32,0,0,31,mobilize,move1,swap,2,swap,0-1,0-3,-1,-1
33,1,0,31,capture,move1,swap,0,capture,1-0,0-0,3-4,3-3
34,0,0,35,swap,move1,swap,0,swap,1-1,0-1,-1,-1
35,1,1,35,mobilize,move1,swap,0,mobilize,3-3,2-2,-1,-1
36,0,1,35,mobilize,move2,swap,1,move2,1-1,0-1,-1,-1
37,1,2,35,mobilize,move2,move2,2,move2,1-0,0-1,-1,-1
38,0,2,35,mobilize,swap,move2,1,swap,0-3,2-3,-1,-1
39,1,2,35,move1,swap,move2,0,move1,0-1,1-1,2-2,2-1
40,0,2,36,move1,swap,mobilize,2,mobilize,2-3,2-2,-1,-1
41,1,2,36,move1,mobilize,mobilize,1,mobilize,2-1,1-0,-1,-1
42,0,2,37,move2,mobilize,mobilize,0,move2,3-3,2-3,-1,-1
43,1,2,37,move2,mobilize,mobilize,0,move2,0-0,0-1,-1,-1
44,0,2,38,move2,mobilize,capture,2,capture,2-1,3-1,2-3,1-3
45,1,2,38,capture,mobilize,capture,0,capture,1-0,2-0,-1,-1
46,0,2,39,capture,move1,capture,1,move1,3-1,3-2,1-3,2-3
47,1,2,39,capture,move2,capture,1,move2,1-1,1-2,-1,-1
48,0,2,43,capture,move2,capture,2,capture,2-2,1-2,-1,-1
49,1,2,43,capture,move1,capture,1,move1,2-0,3-0,-1,-1
50,0,2,44,capture,move1,capture,1,move1,2-3,3-3,-1,-1
