turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,mobilize,0,move1,3-5,3-4,-1,-1
3,1,0,0,move1,capture,swap,2,swap,2-2,2-1,4-2,3-2
4,0,0,4,move1,capture,swap,0,move1,3-4,3-3,-1,-1
5,1,4,4,move1,capture,move1,2,move1,2-1,3-3,-1,-1
6,0,4,7,move1,mobilize,move1,1,mobilize,2-1,3-1,-1,-1
7,1,8,7,mobilize,mobilize,move1,0,mobilize,3-2,2-2,-1,-1
8,0,8,7,capture,mobilize,move1,0,capture,2-1,2-0,5-4,5-3
9,1,12,7,capture,capture,move1,1,capture,3-1,3-2,2-2,2-3
10,0,12,7,capture,capture,move2,2,move2,5-3,4-3,-1,-1
11,1,19,7,mobilize,capture,move2,0,mobilize,3-3,4-3,-1,-1
12,0,19,7,move2,capture,move2,0,move2,2-0,2-1,3-5,3-4
13,1,26,7,move2,move2,move2,1,move2,3-3,3-4,-1,-1
14,0,26,7,capture,move2,move2,0,capture,3-5,3-4,-1,-1
15,1,33,7,swap,move2,move2,0,swap,3-3,3-4,-1,-1
16,0,33,11,move1,move2,move2,0,move1,1-4,3-3,-1,-1
17,1,33,11,move2,move2,move2,0,move2,1-4,2-4,-1,-1
18,0,33,15,move2,move2,move2,0,move2,2-1,3-1,-1,-1
19,1,33,15,capture,move2,move2,0,capture,3-2,2-2,-1,-1
20,0,33,22,move1,move2,move2,0,move1,3-3,2-3,-1,-1
21,1,33,22,move1,move2,move2,1,move2,1-2,2-3,-1,-1
22,0,33,26,swap,move2,move2,0,swap,3-1,3-2,-1,-1
23,1,37,26,move1,move2,move2,0,move1,2-2,3-3,-1,-1
24,0,37,26,move1,move2,move2,0,move1,3-5,3-4,-1,-1
25,1,41,26,move1,swap,move2,1,swap,2-4,1-3,-1,-1
26,0,41,30,move1,swap,move2,1,swap,3-4,3-3,-1,-1
27,1,45,30,move1,move1,move2,1,move1,1-3,3-3,-1,-1
28,0,45,30,move1,move1,move2,0,move1,1-3,1-2,-1,-1
29,1,49,30,move1,move1,move2,2,move2,3-4,2-4,-1,-1
30,0,49,30,swap,move1,move2,0,swap,1-2,1-1,-1,-1
31,1,53,30,move1,move1,move2,0,move1,2-4,2-2,-1,-1
32,0,53,30,move1,move1,move2,0,move1,1-1,1-0,-1,-1
33,1,57,30,move1,move1,move2,2,move2,2-2,1-3,-1,-1
34,0,57,30,swap,move1,move2,0,swap,1-0,1-1,-1,-1
35,1,61,30,capture,move1,move2,0,capture,1-3,2-4,-1,-1
36,0,61,33,mobilize,move1,move2,0,mobilize,1-3,2-3,-1,-1
37,1,65,33,mobilize,move1,move2,0,mobilize,2-4,2-3,3-1,2-1
38,0,65,33,move1,move1,move2,0,move1,1-1,1-0,1-3,1-2
39,1,69,33,mobilize,move1,move2,0,mobilize,2-1,2-2,-1,-1
40,0,69,33,swap,move1,move2,0,swap,1-0,1-1,1-2,1-3
41,1,73,33,capture,move1,move2,0,capture,2-2,3-2,-1,-1
42,0,73,36,mobilize,move1,move2,0,mobilize,2-2,3-2,-1,-1
43,1,77,36,mobilize,move2,move2,1,move2,3-1,3-2,-1,-1
44,0,77,36,mobilize,move2,move2,0,mobilize,2-2,2-1,1-1,1-0
45,1,81,36,mobilize,move1,move2,1,move1,3-2,4-3,-1,-1
46,0,81,36,mobilize,move1,move2,2,move2,2-1,3-2,-1,-1
47,1,85,36,mobilize,move1,capture,2,capture,2-3,3-4,-1,-1
48,0,85,39,mobilize,move1,move1,2,move1,3-2,3-3,-1,-1
49,1,89,39,move2,move1,move1,0,move2,3-4,3-3,3-1,4-1
50,0,89,39,capture,move1,move1,0,capture,3-2,2-3,-1,-1
