turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,move1,2,move1,3-5,2-5,1-4,0-4
3,1,0,0,swap,capture,move1,0,swap,3-1,3-2,-1,-1
4,0,0,0,swap,capture,move1,2,move1,0-4,1-4,-1,-1
5,1,4,0,swap,capture,move1,2,move1,3-2,3-3,-1,-1
6,0,4,4,mobilize,capture,move1,0,mobilize,5-4,3-3,-1,-1
7,1,4,4,mobilize,capture,move1,0,mobilize,5-4,4-4,2-2,3-2
8,0,4,8,capture,capture,move1,0,capture,2-5,2-4,1-4,1-5
9,1,7,8,capture,capture,move1,0,capture,3-2,3-3,-1,-1
10,0,7,8,capture,capture,move2,2,move2,1-5,0-5,-1,-1
11,1,11,8,capture,capture,mobilize,2,mobilize,4-4,3-3,-1,-1
12,0,11,8,capture,capture,move2,2,move2,3-5,4-5,0-5,1-5
13,1,15,8,capture,capture,move2,2,move2,4-2,4-3,-1,-1
14,0,15,8,capture,capture,capture,2,capture,1-5,0-4,-1,-1
15,1,15,8,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,15,8,swap,move1,move2,-1,None,-1,-1,-1,-1
17,1,19,8,swap,move1,move2,2,move2,3-2,4-2,-1,-1
18,0,19,12,capture,move1,move2,0,capture,4-5,3-3,-1,-1
19,1,22,12,move1,move1,move2,0,move1,4-3,3-3,-1,-1
20,0,22,16,move1,move1,move2,2,move2,2-4,3-3,-1,-1
21,1,22,16,swap,move1,move2,0,swap,4-5,4-4,-1,-1
22,0,22,20,swap,move1,move1,2,move1,0-4,0-5,-1,-1
23,1,26,20,move1,move1,move1,0,move1,4-2,3-3,-1,-1
24,0,26,20,move1,move1,swap,2,swap,3-5,3-4,-1,-1
25,1,30,20,move1,move1,move2,2,move2,4-4,3-4,-1,-1
26,0,30,20,move1,move1,mobilize,2,mobilize,4-2,4-0,-1,-1
27,1,34,20,move1,move1,mobilize,0,move1,3-4,3-5,-1,-1
28,0,34,20,move2,move1,mobilize,0,move2,4-4,5-4,-1,-1
29,1,38,20,move2,move1,move1,2,move1,3-5,3-4,4-3,4-4
30,0,38,20,move2,mobilize,move1,1,mobilize,5-4,5-3,-1,-1
31,1,42,20,move2,mobilize,move1,2,move1,4-4,4-3,-1,-1
32,0,42,20,move1,mobilize,move1,0,move1,4-0,2-0,-1,-1
33,1,46,20,swap,mobilize,move1,0,swap,3-4,4-4,-1,-1
34,0,46,20,swap,capture,move1,1,capture,5-3,6-3,0-5,0-4
35,1,53,20,swap,mobilize,move1,1,mobilize,4-3,6-3,3-3,-1
36,0,53,24,capture,mobilize,move1,0,capture,3-5,3-3,-1,-1
37,1,56,24,swap,mobilize,move1,0,swap,4-3,3-3,-1,-1
38,0,56,24,swap,move1,move1,1,move1,2-0,3-0,5-4,5-5
39,1,60,24,swap,capture,move1,1,capture,4-3,3-3,-1,-1
40,0,60,28,capture,capture,move1,0,capture,3-0,3-3,-1,-1
41,1,60,28,capture,capture,mobilize,2,mobilize,4-4,3-4,-1,-1
42,0,60,32,capture,capture,swap,2,swap,5-5,5-4,0-4,0-5
43,1,64,32,capture,capture,mobilize,2,mobilize,3-0,3-3,-1,-1
44,0,64,32,capture,capture,move1,2,move1,3-0,2-0,5-4,5-3
45,1,68,32,capture,capture,move2,2,move2,3-4,2-4,-1,-1
46,0,68,32,capture,capture,swap,2,swap,2-0,3-0,-1,-1
47,1,72,32,capture,capture,capture,2,capture,3-5,0-5,-1,-1
48,0,72,32,capture,capture,capture,-1,None,-1,-1,-1,-1
49,1,72,32,move2,move2,move2,-1,None,-1,-1,-1,-1
50,0,72,32,move1,move2,move2,0,move1,3-5,4-4,-1,-1
