turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,5-2,3-2,-1,-1
2,0,0,4,capture,swap,capture,2,capture,3-5,3-3,-1,-1
3,1,4,4,capture,move1,capture,1,move1,3-1,3-3,-1,-1
4,0,4,7,move1,move1,capture,0,move1,3-1,3-2,-1,-1
5,1,8,7,swap,move1,capture,0,swap,5-2,4-2,-1,-1
6,0,8,11,capture,move1,capture,0,capture,1-4,3-3,-1,-1
7,1,8,11,capture,move2,capture,1,move2,1-4,1-5,-1,-1
8,0,8,15,capture,move2,capture,1,move2,5-4,3-4,-1,-1
9,1,8,15,capture,mobilize,capture,1,mobilize,1-2,0-2,-1,-1
10,0,8,19,capture,mobilize,capture,1,mobilize,3-1,3-2,3-4,2-4
11,1,11,19,capture,mobilize,move1,2,move1,4-2,3-2,-1,-1
12,0,11,23,capture,move1,move1,1,move1,3-5,3-4,2-4,2-3
13,1,11,23,capture,capture,move1,1,capture,1-5,1-4,-1,-1
14,0,11,27,capture,capture,move1,2,move1,3-4,2-4,-1,-1
15,1,14,27,move2,capture,move1,0,move2,1-4,2-4,-1,-1
16,0,14,31,capture,capture,move1,0,capture,3-5,3-4,-1,-1
17,1,14,31,capture,capture,mobilize,2,mobilize,4-2,4-1,-1,-1
18,0,14,35,capture,capture,mobilize,2,mobilize,3-4,3-5,2-3,2-4
19,1,17,35,move1,capture,mobilize,0,move1,1-4,2-4,-1,-1
20,0,17,39,move1,capture,move2,2,move2,3-5,3-4,5-4,4-4
21,1,17,39,move1,capture,move1,2,move1,0-2,0-1,-1,-1
22,0,17,46,move1,swap,move1,1,swap,3-4,1-4,4-4,-1
23,1,21,46,move1,swap,move1,1,swap,4-1,3-3,-1,-1
24,0,21,50,move1,mobilize,move1,1,mobilize,4-1,3-3,-1,-1
25,1,21,50,move1,mobilize,move1,2,move1,0-1,0-0,-1,-1
26,0,21,54,move1,mobilize,move1,0,move1,4-4,4-3,-1,-1
27,1,21,54,move1,mobilize,mobilize,2,mobilize,3-1,2-1,-1,-1
28,0,21,58,move2,mobilize,mobilize,0,move2,4-3,4-4,-1,-1
29,1,21,58,move2,mobilize,swap,2,swap,2-1,2-0,4-1,4-2
30,0,21,62,swap,mobilize,swap,0,swap,4-4,4-3,-1,-1
31,1,25,62,capture,mobilize,swap,0,capture,4-2,3-3,-1,-1
32,0,25,66,capture,mobilize,mobilize,2,mobilize,4-2,3-3,-1,-1
33,1,25,66,capture,mobilize,mobilize,2,mobilize,2-0,3-0,0-0,1-0
34,0,25,73,capture,mobilize,mobilize,0,capture,3-3,3-0,3-4,-1
35,1,25,73,capture,swap,mobilize,1,swap,1-0,2-0,4-2,5-2
36,0,25,77,capture,capture,mobilize,1,capture,3-4,3-1,-1,-1
37,1,28,77,move2,capture,mobilize,0,move2,3-4,3-3,-1,-1
38,0,28,81,capture,capture,mobilize,0,capture,3-1,3-3,-1,-1
39,1,31,81,capture,move2,mobilize,1,move2,3-4,3-3,-1,-1
40,0,31,85,capture,move2,swap,2,swap,5-4,4-4,4-3,3-3
41,1,35,85,capture,move2,move2,2,move2,5-2,3-3,-1,-1
42,0,35,88,move1,move2,move2,0,move1,4-4,3-4,-1,-1
43,1,39,88,move1,capture,move2,1,capture,3-1,5-1,-1,-1
44,0,39,91,move1,move1,move2,1,move1,5-2,5-1,-1,-1
45,1,43,91,move1,move1,move1,2,move1,2-0,2-1,-1,-1
46,0,43,91,move1,move1,move1,0,move1,4-4,3-4,-1,-1
47,1,47,91,move1,move1,move1,2,move1,2-1,2-2,-1,-1
48,0,47,91,mobilize,move1,move1,0,mobilize,5-2,4-2,-1,-1
49,1,51,91,move2,move1,move1,0,move2,3-1,3-2,2-2,2-3
50,0,51,91,move1,move1,move1,0,move1,4-2,4-4,-1,-1
