turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,1,mobilize,1-2,1-3,5-2,5-3
2,0,0,4,move1,mobilize,move1,2,move1,3-5,3-3,-1,-1
3,1,0,4,move1,mobilize,move1,2,move1,1-3,0-3,-1,-1
4,0,0,8,move1,move1,move1,1,move1,5-4,6-4,1-4,2-4
5,1,0,8,move1,move1,capture,2,capture,0-3,0-2,-1,-1
6,0,0,12,capture,move1,capture,0,capture,6-4,6-5,-1,-1
7,1,0,12,capture,mobilize,capture,1,mobilize,3-1,3-0,-1,-1
8,0,0,16,capture,capture,capture,1,capture,6-5,6-4,2-4,2-3
9,1,0,16,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,23,swap,capture,capture,0,swap,3-3,5-3,2-3,-1
11,1,4,23,move1,capture,capture,0,move1,3-1,3-3,-1,-1
12,0,4,26,move1,capture,move1,2,move1,2-3,3-3,-1,-1
13,1,4,26,move1,capture,capture,2,capture,3-0,2-0,-1,-1
14,0,4,30,move1,capture,capture,0,move1,2-3,3-3,-1,-1
15,1,4,30,move2,capture,capture,0,move2,1-2,2-2,-1,-1
16,0,4,34,capture,capture,capture,0,capture,6-4,5-4,-1,-1
17,1,4,34,capture,capture,capture,-1,None,-1,-1,-1,-1
18,0,4,34,move2,swap,mobilize,-1,None,-1,-1,-1,-1
19,1,4,34,move2,swap,mobilize,2,mobilize,2-0,2-1,0-2,0-3
20,0,4,38,move2,swap,move2,2,move2,3-1,3-0,5-4,5-3
21,1,4,38,move2,swap,move1,2,move1,2-2,1-3,-1,-1
22,0,4,42,move2,swap,move2,2,move2,3-0,2-0,-1,-1
23,1,4,42,move2,swap,swap,2,swap,1-3,2-4,-1,-1
24,0,4,46,move2,swap,move2,2,move2,2-0,2-1,-1,-1
25,1,4,46,swap,swap,move2,0,swap,2-4,1-3,-1,-1
26,0,4,50,swap,swap,move1,2,move1,2-1,3-2,-1,-1
27,1,4,50,swap,swap,move2,2,move2,1-3,2-3,-1,-1
28,0,4,54,mobilize,swap,move2,0,mobilize,3-2,2-3,-1,-1
29,1,4,54,move1,swap,move2,0,move1,0-3,0-4,3-2,2-2
30,0,4,58,move1,swap,move2,1,swap,2-3,2-0,-1,-1
31,1,4,58,move1,swap,move1,2,move1,2-3,2-4,-1,-1
32,0,4,62,move1,swap,move1,1,swap,2-0,2-2,-1,-1
33,1,4,62,move1,swap,mobilize,2,mobilize,2-4,3-4,-1,-1
34,0,4,66,move1,swap,move2,2,move2,2-2,3-2,5-3,6-3
35,1,4,66,move1,swap,move2,0,move1,2-0,3-0,-1,-1
36,0,4,70,move1,swap,move2,2,move2,6-3,5-2,-1,-1
37,1,4,70,move1,swap,move2,2,move2,3-4,4-5,-1,-1
38,0,4,74,mobilize,swap,move2,0,mobilize,3-2,3-1,-1,-1
39,1,4,74,move1,swap,move2,0,move1,4-5,3-5,0-4,1-4
40,0,4,78,move1,swap,mobilize,2,mobilize,5-2,3-2,-1,-1
41,1,4,78,capture,swap,mobilize,0,capture,1-4,0-4,-1,-1
42,0,4,82,capture,capture,mobilize,1,capture,3-1,3-0,-1,-1
43,1,4,82,capture,capture,move2,2,move2,3-5,3-6,3-1,4-1
44,0,4,86,capture,capture,capture,2,capture,3-0,5-0,-1,-1
45,1,4,86,capture,capture,capture,-1,None,-1,-1,-1,-1
46,0,4,93,capture,capture,capture,1,capture,3-3,3-6,3-2,-1
47,1,7,93,capture,move1,capture,1,move1,3-1,3-2,-1,-1
48,0,7,97,capture,move2,capture,1,move2,3-5,3-4,-1,-1
49,1,7,97,capture,mobilize,capture,1,mobilize,4-1,4-2,-1,-1
50,0,7,104,capture,mobilize,capture,0,capture,3-3,3-1,3-4,-1
