turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,move1,2,move1,3-5,3-4,5-4,4-4
3,1,0,0,swap,capture,move1,0,swap,2-2,3-2,-1,-1
4,0,0,4,swap,capture,move1,2,move1,3-4,3-3,-1,-1
5,1,4,4,move1,capture,move1,0,move1,3-1,3-3,-1,-1
6,0,4,7,move1,mobilize,move1,1,mobilize,3-1,3-2,-1,-1
7,1,8,7,move1,mobilize,move1,1,mobilize,1-2,2-2,4-2,3-2
8,0,8,7,capture,mobilize,move1,0,capture,1-4,2-4,-1,-1
9,1,15,7,capture,mobilize,move1,0,capture,3-2,3-1,-1,-1
10,0,15,7,capture,mobilize,move2,2,move2,4-4,3-4,-1,-1
11,1,22,7,mobilize,mobilize,move2,0,mobilize,3-3,3-4,-1,-1
12,0,22,7,mobilize,mobilize,move2,2,move2,5-4,3-4,-1,-1
13,1,26,7,mobilize,mobilize,move2,2,move2,2-2,3-1,-1,-1
14,0,26,7,mobilize,mobilize,capture,2,capture,2-4,2-5,-1,-1
15,1,33,7,mobilize,mobilize,swap,2,swap,3-3,3-4,-1,-1
16,0,33,11,mobilize,mobilize,move1,2,move1,5-4,3-3,-1,-1
17,1,33,11,mobilize,mobilize,move2,2,move2,5-4,5-3,-1,-1
18,0,33,15,move2,mobilize,move2,0,move2,3-5,3-4,2-5,2-4
19,1,33,15,capture,mobilize,move2,0,capture,5-3,4-2,-1,-1
20,0,33,22,move1,mobilize,move2,0,move1,3-3,3-2,-1,-1
21,1,33,22,move1,mobilize,move2,2,move2,1-2,3-2,-1,-1
22,0,33,26,move1,mobilize,swap,2,swap,2-4,3-5,-1,-1
23,1,37,26,move1,mobilize,move1,2,move1,3-1,3-3,-1,-1
24,0,37,26,move1,mobilize,move1,0,move1,3-1,2-1,-1,-1
25,1,41,26,swap,mobilize,move1,0,swap,4-2,4-3,-1,-1
