turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-2,3-2,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-5,5-5,-1,-1
3,1,0,0,capture,move1,capture,1,move1,5-2,5-4,-1,-1
4,0,0,3,move1,move1,capture,0,move1,5-5,5-4,-1,-1
5,1,4,3,swap,move1,capture,0,swap,3-2,3-3,-1,-1
6,0,4,7,capture,move1,capture,0,capture,5-2,3-3,-1,-1
7,1,4,7,capture,move2,capture,1,move2,5-2,4-2,-1,-1
8,0,4,11,capture,move2,capture,1,move2,1-4,3-4,-1,-1
9,1,4,11,capture,mobilize,capture,1,mobilize,1-2,3-2,-1,-1
10,0,4,18,mobilize,mobilize,capture,0,mobilize,3-3,3-2,3-4,-1
11,1,4,18,move1,mobilize,capture,0,move1,4-2,3-2,1-2,2-2
12,0,4,22,move1,mobilize,capture,0,move1,5-5,4-5,-1,-1
13,1,7,22,move1,mobilize,capture,2,capture,3-2,3-3,-1,-1
14,0,7,26,move1,move1,capture,1,move1,4-5,5-5,3-4,3-3
15,1,10,26,move1,move1,move2,2,move2,3-2,3-3,-1,-1
16,0,10,30,move1,move1,capture,2,capture,3-5,3-3,-1,-1
17,1,13,30,move1,move1,mobilize,2,mobilize,3-2,3-3,-1,-1
18,0,13,30,move1,move1,mobilize,2,mobilize,5-5,4-5,5-4,5-3
19,1,17,30,move1,move1,mobilize,0,move1,3-2,3-3,-1,-1
20,0,17,30,move2,move1,mobilize,0,move2,5-3,5-2,-1,-1
21,1,21,30,move2,move1,mobilize,1,move1,2-2,3-2,-1,-1
22,0,21,30,swap,move1,mobilize,0,swap,3-5,4-4,-1,-1
23,1,25,30,swap,move1,mobilize,0,swap,3-1,5-2,-1,-1
24,0,25,34,mobilize,move1,mobilize,0,mobilize,4-4,3-3,-1,-1
25,1,25,34,move1,move1,mobilize,0,move1,5-2,4-2,4-4,4-3
26,0,25,38,move1,move1,move1,2,move1,4-5,3-5,3-1,4-1
27,1,25,38,capture,move1,move1,0,capture,3-2,3-1,-1,-1
28,0,25,45,move2,move1,move1,0,move2,4-1,4-2,-1,-1
