turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,5-2,3-2,-1,-1
2,0,0,0,capture,swap,capture,2,capture,5-4,4-4,-1,-1
3,1,3,0,capture,swap,move1,2,move1,3-2,3-5,3-1,-1
4,0,3,0,capture,swap,move1,2,move1,4-4,3-4,-1,-1
5,1,6,0,swap,swap,move1,0,swap,3-2,3-4,3-1,-1
6,0,6,0,swap,swap,capture,2,capture,3-5,3-4,-1,-1
7,1,9,0,swap,swap,move2,2,move2,3-2,3-4,3-1,-1
8,0,9,0,swap,swap,move2,2,move2,5-4,4-5,-1,-1
9,1,9,0,swap,swap,mobilize,2,mobilize,3-1,5-1,-1,-1
10,0,9,0,swap,swap,mobilize,2,mobilize,4-5,4-6,1-4,1-5
11,1,13,0,swap,swap,move1,2,move1,5-1,5-2,3-2,3-3
12,0,13,0,swap,swap,move1,2,move1,4-6,5-6,-1,-1
13,1,17,0,swap,swap,capture,2,capture,5-2,5-3,-1,-1
14,0,17,0,swap,move1,capture,1,move1,5-6,5-3,-1,-1
15,1,21,0,move2,move1,capture,0,move2,1-2,1-5,-1,-1
16,0,21,0,capture,move1,capture,0,capture,3-5,2-4,-1,-1
17,1,25,0,capture,mobilize,capture,1,mobilize,1-5,0-5,-1,-1
18,0,25,0,capture,mobilize,capture,1,mobilize,5-3,5-4,1-2,0-2
19,1,29,0,capture,move1,capture,1,move1,5-6,4-6,0-5,0-6
20,0,29,0,capture,move2,capture,1,move2,2-4,2-3,-1,-1
21,1,36,0,capture,move2,move1,2,move1,3-3,2-3,-1,-1
22,0,36,0,capture,move2,swap,2,swap,3-5,2-5,-1,-1
23,1,40,0,capture,move2,swap,2,swap,0-6,2-5,-1,-1
