turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,3-0,1-2,2-2
2,0,0,0,move1,capture,move1,2,move1,3-5,3-4,5-4,4-4
3,1,0,0,swap,capture,move1,0,swap,5-2,4-2,-1,-1
4,0,0,0,swap,capture,move1,2,move1,1-4,2-4,-1,-1
5,1,0,0,move1,capture,move1,0,move1,2-2,2-4,-1,-1
6,0,0,4,mobilize,capture,move1,0,mobilize,3-4,3-3,-1,-1
7,1,0,4,mobilize,capture,mobilize,2,mobilize,2-4,3-4,-1,-1
8,0,0,11,mobilize,capture,mobilize,1,capture,3-3,3-4,-1,-1
9,1,0,11,mobilize,capture,capture,2,capture,3-0,2-0,3-1,3-2
10,0,0,18,mobilize,move2,capture,1,move2,3-3,3-2,-1,-1
11,1,0,18,mobilize,move2,capture,0,mobilize,3-1,2-1,4-2,4-3
12,0,0,25,mobilize,move2,move2,2,move2,3-3,4-3,-1,-1
13,1,0,25,move2,move2,move2,0,move2,2-1,1-1,3-1,4-1
14,0,0,29,capture,move2,move2,0,capture,4-4,4-3,-1,-1
15,1,0,29,capture,swap,move2,1,swap,2-0,4-0,-1,-1
16,0,0,33,capture,swap,move1,2,move1,2-2,4-2,-1,-1
17,1,3,33,move2,swap,move1,0,move2,4-1,4-2,4-0,-1
18,0,3,37,move2,swap,move1,0,move2,3-5,4-4,-1,-1
19,1,3,37,capture,swap,move1,0,capture,4-0,5-0,-1,-1
20,0,3,44,move1,swap,move1,0,move1,4-3,4-1,4-4,-1
