turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-1,3-2,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,3-5,3-4,1-4,1-3
3,1,3,0,move1,swap,mobilize,1,swap,1-2,1-3,-1,-1
4,0,3,4,move1,swap,mobilize,0,move1,3-4,3-3,-1,-1
5,1,7,4,move1,move1,mobilize,1,move1,1-2,3-3,-1,-1
6,0,7,4,move1,move1,mobilize,2,mobilize,1-2,1-3,5-4,5-5
7,1,11,4,mobilize,move1,mobilize,0,mobilize,5-2,4-2,-1,-1
8,0,11,4,mobilize,move1,capture,2,capture,1-3,1-4,3-5,3-4
9,1,18,4,mobilize,move1,capture,2,capture,3-3,3-4,-1,-1
10,0,18,4,mobilize,move2,capture,1,move2,3-5,4-5,-1,-1
11,1,22,4,mobilize,mobilize,capture,1,mobilize,4-2,3-1,-1,-1
12,0,22,4,move2,mobilize,capture,0,move2,5-5,5-6,4-5,4-4
13,1,26,4,move2,mobilize,capture,0,move2,3-1,2-2,-1,-1
14,0,26,4,capture,mobilize,capture,0,capture,1-4,2-3,-1,-1
15,1,33,4,swap,mobilize,capture,0,swap,3-3,2-3,-1,-1
16,0,33,8,move1,mobilize,capture,0,move1,4-4,3-3,-1,-1
17,1,36,8,move1,mobilize,move2,2,move2,3-2,3-3,-1,-1
18,0,36,8,move1,mobilize,move2,2,move2,5-6,4-5,-1,-1
19,1,40,8,move1,mobilize,capture,2,capture,4-4,3-3,-1,-1
